BOG_ID,PRODUCT_ID,LOCATION_ID,GRADE_NAME,GRADE,PRODUCTION_RATE,EFF_START,EFF_END,TM_STAMP
BOG_DIE3,DIE3,ASSY-M3,1,1,0.9,-,-,-
BOG_DIE3,DIE3,ASSY-M3,2,2,0.02,-,-,-
BOG_DIE3,DIE3,ASSY-M3,3,3,0.08,-,-,-
BOG_DIE4,DIE4,ASSY-M3,1,1,0.85,-,-,-
BOG_DIE4,DIE4,ASSY-M3,2,2,0.1,-,-,-
BOG_DIE4,DIE4,ASSY-M3,3,3,0.05,-,-,-
BOG_DIE2,DIE2,ASSY-M2,1,1,0.98,-,-,-
BOG_DIE2,DIE2,ASSY-M2,2,2,0.01,-,-,-
BOG_DIE2,DIE2,ASSY-M2,3,3,0.01,-,-,-
BOG_DIE1,DIE1,ASSY-M2,1,1,0.9,-,-,-
BOG_DIE1,DIE1,ASSY-M2,2,2,0.03,-,-,-
BOG_DIE1,DIE1,ASSY-M2,3,3,0.07,-,-,-
