BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END,OBSOLETE
BOM_220-0129,-,220-0129,-,1,1,280-0798,-,-,0.05,-,-,-,-
BOM_223-0011,-,223-0011,-,1,8,280-0431,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,10,280-0650,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,1,280-0698,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,5,282-0041,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,12,288-0001,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,13,288-0005,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,15,310-0063,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,16,310-0284,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,14,310-0414-01,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,17,313-0001,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,6,320-0412,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,2,320-0438,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,7,320-0443,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,11,320-0493,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,9,320-0611,-,-,1,-,-,-,-
BOM_223-0011,-,223-0011,-,1,4,VirtualProduct_223-0011_A1,-,-,1,-,-,-,-
BOM_223-0012,-,223-0012,-,1,1,301-0022,-,-,1,-,-,-,-
BOM_223-0012,-,223-0012,-,1,2,VirtualProduct_223-0012_A1,-,-,1,-,-,-,-
BOM_260-0102,-,260-0102,-,1,6,280-0439,-,-,1,-,-,-,-
BOM_260-0102,-,260-0102,-,1,7,280-0440,-,-,1,-,-,-,-
BOM_260-0102,-,260-0102,-,1,8,280-0441,-,-,1,-,-,-,-
