BOR_ID,IDX,RESALT_ID,RATE
BOR_WTEST-M1_P4-P8-VA-Q,1,RA_HANDLER-Q-M1,1
BOR_WTEST-M1_P4-P8-VA-Q,2,RA_TESTER-P4-P8-M1,1
BOR_WTEST-M1_P4-P8-VA-Q,3,RA_LB-Q-VA-M1,1
BOR_WTEST-M1_P4-P8-VA-O,1,RA_HANDLER-O-M1,1
BOR_WTEST-M1_P4-P8-VA-O,2,RA_TESTER-P4-P8-M1,1
BOR_WTEST-M1_P4-P8-VA-O,3,RA_LB-O-VA-M1,1
BOR_WTEST-M2_P4-P8-VA-Q,1,RA_HANDLER-Q-M2,1
BOR_WTEST-M2_P4-P8-VA-Q,2,RA_TESTER-P4-P8-M2,1
BOR_WTEST-M2_P4-P8-VA-Q,3,RA_LB-Q-VA-M2,1
BOR_WTEST-M2_P4-P8-VA-O,1,RA_HANDLER-O-M2,1
BOR_WTEST-M2_P4-P8-VA-O,2,RA_TESTER-P4-P8-M2,1
BOR_WTEST-M2_P4-P8-VA-O,3,RA_LB-O-VA-M2,1
BOR_WTEST-M1_P4-P8-VB-Q,1,RA_HANDLER-Q-M1,1
BOR_WTEST-M1_P4-P8-VB-Q,2,RA_TESTER-P4-P8-M1,1
BOR_WTEST-M1_P4-P8-VB-Q,3,RA_LB-Q-VB-M1,1
BOR_WTEST-M1_P4-P8-VB-O,1,RA_HANDLER-O-M1,1
BOR_WTEST-M1_P4-P8-VB-O,2,RA_TESTER-P4-P8-M1,1
BOR_WTEST-M1_P4-P8-VB-O,3,RA_LB-O-VB-M1,1
BOR_WTEST-M2_P4-P8-VB-Q,1,RA_HANDLER-Q-M2,1
BOR_WTEST-M2_P4-P8-VB-Q,2,RA_TESTER-P4-P8-M2,1
BOR_WTEST-M2_P4-P8-VB-Q,3,RA_LB-Q-VB-M2,1
BOR_WTEST-M2_P4-P8-VB-O,1,RA_HANDLER-O-M2,1
BOR_WTEST-M2_P4-P8-VB-O,2,RA_TESTER-P4-P8-M2,1
BOR_WTEST-M2_P4-P8-VB-O,3,RA_LB-O-VB-M2,1
BOR_WTEST-M2_P4-P8-N-Q,1,RA_HANDLER-Q-M2,1
BOR_WTEST-M2_P4-P8-N-Q,2,RA_TESTER-P4-P8-M2,1
BOR_WTEST-M2_P4-P8-N-Q,3,RA_LB-Q-N-M2,1
BOR_WTEST-M1_P4-PPRO,1,RA_HANDLER-M1,1
BOR_WTEST-M1_P4-PPRO,2,RA_TESTER-P4-M1,1
BOR_WTEST-M1_P4-PPRO,3,RA_LB-PPRO-M1,1
BOR_WPROB-M1_P4-P8-VA,1,RA_PROBER-M1,1
BOR_WPROB-M1_P4-P8-VA,2,RA_PC-VA-M1,1
BOR_WPROB-M1_P4-P8-VA,3,RA_TESTER-P4-P8-M1,1
BOR_WPROB-M2_P4-P8-VA,1,RA_PROBER-M2,1
BOR_WPROB-M2_P4-P8-VA,2,RA_PC-VA-M2,1
BOR_WPROB-M2_P4-P8-VA,3,RA_TESTER-P4-P8-M2,1
BOR_WPROB-M1_P4-P8-VB,1,RA_PROBER-M1,1
BOR_WPROB-M1_P4-P8-VB,2,RA_PC-VB-M1,1
BOR_WPROB-M1_P4-P8-VB,3,RA_TESTER-P4-P8-M1,1
BOR_WPROB-M2_P4-P8-VB,1,RA_PROBER-M2,1
BOR_WPROB-M2_P4-P8-VB,2,RA_PC-VB-M2,1
BOR_WPROB-M2_P4-P8-VB,3,RA_TESTER-P4-P8-M2,1
BOR_WPROB-M2_P4-P8-N,1,RA_PROBER-M2,1
BOR_WPROB-M2_P4-P8-N,2,RA_PC-N-M2,1
BOR_WPROB-M2_P4-P8-N,3,RA_TESTER-P4-P8-M2,1
BOR_WPROB-M1_P4-PPRO,1,RA_PROBER-M1,1
BOR_WPROB-M1_P4-PPRO,2,RA_PC-PPRO-M1,1
BOR_WPROB-M1_P4-PPRO,3,RA_TESTER-P4-M1,1
BOR_FIN-ASSY,1,RA_FIN-ASSY,1
BOR_ASSY-M2,1,RA_ASSY-M2,1
BOR_ASSY-M3,1,RA_ASSY-M3,1
BOR_DB-M3,1,RA_DB-M3,1
BOR_DB-M2,1,RA_DB-M2,1
BOR_WBUMP-M2,1,RA_WBUMP-M2,1
BOR_WBUMP-M3,1,RA_WBUMP-M3,1
BOR_FAB1,1,RA_FAB1,1
BOR_PCK_DOCK_DC1,1,RA_PCK_DOCK_DC1,1
BOR_PCK_DOCK_DC2,1,RA_PCK_DOCK_DC2,1
BOR_PCK_DOCK_FA,1,RA_PCK_DOCK_FA,1
BOR_RCV_DOCK_DC1,1,RA_RCV_DOCK_DC1,1
BOR_RCV_DOCK_DC2,1,RA_RCV_DOCK_DC2,1
BOR_RCV_DOCK_DC3,1,RA_RCV_DOCK_DC3,1
BOR_RCV_DOCK_V1,1,RA_RCV_DOCK_V1,1
BOR_RCV_DOCK_V2,1,RA_RCV_DOCK_V2,1
T_BOR_MOVE,1,T_RESALT_MOVE,1
BOR_FAB2,1,RA_FAB2,1
