BORA_ID,BOR_ID,PREFERENCE
BORA_WTEST-M1-ROOM-VA,BOR_WTEST-M1_P4-P8-VA-Q,1
BORA_WTEST-M1-ROOM-VA,BOR_WTEST-M1_P4-P8-VA-O,2
BORA_WTEST-M1-HOT-VA,BOR_WTEST-M1_P4-P8-VA-Q,1
BORA_WTEST-M1-HOT-VA,BOR_WTEST-M1_P4-P8-VA-O,2
BORA_WTEST-M1-COLD-VA,BOR_WTEST-M1_P4-P8-VA-Q,1
BORA_WTEST-M1-COLD-VA,BOR_WTEST-M1_P4-P8-VA-O,2
BORA_WTEST-M2-ROOM-VA,BOR_WTEST-M2_P4-P8-VA-Q,1
BORA_WTEST-M2-ROOM-VA,BOR_WTEST-M2_P4-P8-VA-O,2
BORA_WTEST-M2-HOT-VA,BOR_WTEST-M2_P4-P8-VA-Q,1
BORA_WTEST-M2-HOT-VA,BOR_WTEST-M2_P4-P8-VA-O,2
BORA_WTEST-M2-COLD-VA,BOR_WTEST-M2_P4-P8-VA-Q,1
BORA_WTEST-M2-COLD-VA,BOR_WTEST-M2_P4-P8-VA-O,2
BORA_WTEST-M1-ROOM-VB,BOR_WTEST-M1_P4-P8-VB-Q,1
BORA_WTEST-M1-ROOM-VB,BOR_WTEST-M1_P4-P8-VB-O,2
BORA_WTEST-M2-ROOM-VB,BOR_WTEST-M2_P4-P8-VB-Q,1
BORA_WTEST-M2-ROOM-VB,BOR_WTEST-M2_P4-P8-VB-O,2
BORA_WTEST-M2-ROOM-N,BOR_WTEST-M2_P4-P8-N-Q,1
BORA_WTEST-M1-ROOM-PPRO,BOR_WTEST-M1_P4-PPRO,1
BORA_WTEST-M1-HOT-PPRO,BOR_WTEST-M1_P4-PPRO,1
BORA_WPROB-M1-VA,BOR_WPROB-M1_P4-P8-VA,1
BORA_WPROB-M2-VA,BOR_WPROB-M2_P4-P8-VA,1
BORA_WPROB-M1-VB,BOR_WPROB-M1_P4-P8-VB,1
BORA_WPROB-M2-VB,BOR_WPROB-M2_P4-P8-VB,1
BORA_WPROB-M2-N,BOR_WPROB-M2_P4-P8-N,1
BORA_WPROB-M1-PPRO,BOR_WPROB-M1_P4-PPRO,1
BORA_FIN-ASSY,BOR_FIN-ASSY,1
BORA_ASSY-M2,BOR_ASSY-M2,1
BORA_ASSY-M3,BOR_ASSY-M3,1
BORA_DB-M3,BOR_DB-M3,1
BORA_DB-M2,BOR_DB-M2,1
BORA_WBUMP-M2,BOR_WBUMP-M2,1
BORA_WBUMP-M3,BOR_WBUMP-M3,1
BORA_FAB1,BOR_FAB1,1
BORA_PCK_DOCK_DC1,BOR_PCK_DOCK_DC1,1
BORA_PCK_DOCK_DC2,BOR_PCK_DOCK_DC2,1
BORA_PCK_DOCK_FA,BOR_PCK_DOCK_FA,1
BORA_RCV_DOCK_DC1,BOR_RCV_DOCK_DC1,1
BORA_RCV_DOCK_DC2,BOR_RCV_DOCK_DC2,1
BORA_RCV_DOCK_DC3,BOR_RCV_DOCK_DC3,1
BORA_RCV_DOCK_V1,BOR_RCV_DOCK_V1,1
BORA_RCV_DOCK_V2,BOR_RCV_DOCK_V2,1
T_BORALT_MOVE,T_BOR_MOVE,1
BORA_FAB2,BOR_FAB2,1
