CUSTOMER_ID,CUSTOMER_DESCRIPTION,CustomerPref,CUSTOMER_HIER_LEVEL_1,CUSTOMER_HIER_LEVEL_2,CUSTOMER_HIER_LEVEL_3
ALL_EAST_CUST1,ALL_EAST_CUST1,10,ALL_EAST_CUST1,ALL_EAST,ALL
ALL_CENTRAL_CUST1,ALL_CENTRAL_CUST1,10,ALL_CENTRAL_CUST1,ALL_CENTRAL,ALL
ALL_CENTRAL_CUST2,ALL_CENTRAL_CUST2,10,ALL_CENTRAL_CUST2,ALL_CENTRAL,ALL
ALL_WEST_CUST1,ALL_WEST_CUST1,10,ALL_WEST_CUST1,ALL_WEST,ALL
ALL_WEST_CUST2,ALL_WEST_CUST2,10,ALL_WEST_CUST2,ALL_WEST,ALL
ALL_WEST_CUST3,ALL_WEST_CUST3,10,ALL_WEST_CUST3,ALL_WEST,ALL
ALL_EAST_CUST2,ALL_EAST_CUST2,10,ALL_EAST_CUST2,ALL_EAST,ALL
ALL_EAST_CUST3,ALL_EAST_CUST3,10,ALL_EAST_CUST3,ALL_EAST,ALL
ALL_EAST_CUST4,ALL_EAST_CUST4,10,ALL_EAST_CUST4,ALL_EAST,ALL
ALL_CENTRAL_CUST3,ALL_CENTRAL_CUST3,10,ALL_CENTRAL_CUST3,ALL_CENTRAL,ALL
ALL_WEST_CUST4,ALL_WEST_CUST4,10,ALL_WEST_CUST4,ALL_WEST,ALL
