CUSTOMER_ID,CUSTOMER_DESCRIPTION,CustomerPref,CUSTOMER_HIER_LEVEL_1,CUSTOMER_HIER_LEVEL_2,CUSTOMER_HIER_LEVEL_3
100417,北京百度网讯科技有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100217,新华三信息技术有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200639,SQ Technology (Shanghai)  Corporation,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100200,Ericsson (China) Communications,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200030,Google LLC,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200191,Jabil-Coriant,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100185,深圳融溢科技有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100023,华为技术有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200627,EGENTRY Inc.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200641,ALPHA NETWORKS INC,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
PSM01,Innolight Technology USA Inc.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200499,Celestica LLC (6100),1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200608,Celestica India Private Ltd,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200028,LucaTech Technology,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200022,OptoWiz Co.  Ltd,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200372,Arrcus Network Different,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200530,ADVA Optical Networking SE,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200542,Precision Optical Transceivers UK Limite,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200643,Flextronics International  Europe B. V.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200539,KITE BIRD MALAYSIA SDN. BHD.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200540,GLORYBIRD JAPAN G.K.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100082,腾讯科技(深圳)有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200006,Ficer Technology Co.,Ltd,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100391,阿里云计算有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200382,Keysight Technologies, Inc.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200294,Interface Masters Technologies,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200357,Delta Electronics, Inc.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200296,Jabil-IXIA,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200433,INGRASYS (SINGAPORE) PTE. LTD,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200610,PANOPTICS CO., LTD,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200580,Nvidia Corporation,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200145,HAKUTO CO.LTD,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200390,Aceville Pte. Ltd.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200065,Cisco Systems,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200271,Ericsson AB (EAB),1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200036,VITEX,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200618,CREATEOPTICS TECHNOLOGY LIMITED,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200088,Amazon-AWS,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100300,北京字跳网络技术有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200495,Ciena Global Products Company, Ltd.,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200275,Do Networks Limited,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200146,ADVA Optical Networking,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200090,Add-On Computer Peripherals LLC,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200109,Precision Optical Transceivers,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200452,Tencent Cloud LLC,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200550,Tencent (Thailand) Company Limited,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200535,ORIENTAL POWER HOLDINGS LIMITED,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200026,FlexOptix GmbH,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200465,LAUDREN Electronique,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200071,Juniper Networks,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100408,阿里云计算（张北）有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200114,HYVE USA-AWS,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200568,Kite Bird Korea Yuhan Hoesa,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
100042,深圳市中兴康讯电子有限公司,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200469,Fabrinet,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200378,Jabil Circuit Sdn Bhd,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
200474,Cloud Network Technology Singapore Pte.Ltd,1,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3
