DEMAND_ID,DESCRIPTION,CUSTOMER_ID,STATUS,PRIORITY,REQ_DUE_DATE,COMMITTED_DUE_TIME,PRODUCT_ID,LOCATION_ID,QUANTITY,LATE_DEMAND_PENALTY,SHORT_DEMAND_PENALTY,REVENUE,ALLOCATION_S,DM_SPEC_S,ASSY_LOC_S,FAB_LOC_S,DEMAND_ID_S,WIRE_COLOR_S
DEMAND_1,-,ALL_EAST_CUST1,1,1,8/26/2022,-,FG3,VMI1,1000,-,-,10,FREE,Free,-,-,DEMAND_1,GOLD
DEMAND_2,-,ALL_CENTRAL_CUST1,1,1,8/26/2022,-,FG3,VMI1,1000,-,-,10,FREE,Free,-,-,DEMAND_2,GOLD;COPPER
DEMAND_3,-,ALL_CENTRAL_CUST2,1,1,7/22/2022,-,FG4,VMI2,1000,-,-,10,FREE,Free,ASSY-M2,-,DEMAND_3,-
DEMAND_4,-,ALL_WEST_CUST1,1,1,7/15/2022,-,FG4,VMI2,1000,-,-,10,DEMAND_4,Free,-,-,DEMAND_4,-
DEMAND_5,-,ALL_EAST_CUST1,1,100,8/21/2022,-,FG1a,FG-DC1,1000,-,-,10,FREE,Free,-,FAB2;FAB1,DEMAND_5,-
DEMAND_6,-,ALL_EAST_CUST1,1,100,8/21/2022,-,FG1a,FG-DC1,1000,-,-,10,FREE,Free,-,FAB1,DEMAND_6,-
DEMAND_7,-,ALL_EAST_CUST1,1,1,7/31/2022,-,FG4,VMI2,1000,-,-,10,VIP,Free,-,-,DEMAND_6,-
DATP1,-,ALL_EAST_CUST2,3,100,7/15/2022,-,FG2,VMI1,1000,-,-,10,FREE,Free,-,-,-,-
DATP2,-,ALL_WEST_CUST2,3,100,7/22/2022,-,FG2,VMI1,1000,-,-,10,FREE,Free,-,-,-,-
Order-1,-,ALL_EAST_CUST1,1,10,7/15/2022,-,FG1a,FG-DC1,8000,-,-,10,FREE,Free,-,FAB1,-,-
Order-2,-,ALL_EAST_CUST1,1,11,7/15/2022,-,FG1a,FG-DC1,8000,-,-,10,FREE,Value1,-,FAB1,-,-
Order-3,-,ALL_EAST_CUST1,1,12,7/15/2022,-,FG1a,FG-DC1,8000,-,-,10,FREE,Value1,-,-,-,-
Order-4,-,ALL_EAST_CUST1,1,13,7/15/2022,-,FG1a,FG-DC1,8000,-,-,10,FREE,Free,-,-,-,-
Order-5,-,ALL_EAST_CUST1,1,14,7/15/2022,-,FG1a,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-6,-,ALL_CENTRAL_CUST1,1,15,7/15/2022,-,FG1b,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-7,-,ALL_CENTRAL_CUST2,1,16,7/15/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-8,-,ALL_EAST_CUST1,1,17,7/15/2022,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-9,-,ALL_EAST_CUST1,1,18,7/15/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-10,-,ALL_EAST_CUST1,1,19,7/15/2022,-,FG4,VMI1,5000,-,-,10,FREE,Value1,-,-,-,-
Order-11,-,ALL_EAST_CUST1,1,20,8/19/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,FAB1,-,-
