CASE,LOCATION,COMLOCATION,COMLOCATION_UDA_PROD_AREA,CAPACITY,UOM,BUILDPOLICY,BUILDEARLYLIMIT,BUILD AHEAD,START,END,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,COMMODITY,VENDOR,CATEGORY,RELATION,PLANNER,TIME_LEVEL,CORRESPONDS
-,ASSY-M2,-,ASSY,200000,WEEK,-,-,-,1,-1,ASSY_M2_PKG1,ASSY_M2,ASSY,,,,,Planner2,FixedWeek,
-,ASSY-M3,-,ASSY,200000,WEEK,-,-,-,1,-1,ASSY_M3_PKG1,ASSY_M3,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M2,ASM1a@ASSY-M2,-,30000,WEEK,-,-,-,1,-1,ASSY_M2_PKG1,ASSY_M2,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M2,ASM1b@ASSY-M2,-,30000,WEEK,-,-,-,1,-1,ASSY_M2_PKG1,ASSY_M2,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M2,ASM1c@ASSY-M2,-,30000,WEEK,-,-,-,1,-1,ASSY_M2_PKG1,ASSY_M2,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M2,ASM2@ASSY-M2,-,30000,WEEK,-,-,-,1,-1,ASSY_M2_PKG1,ASSY_M2,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M2,ASM3@ASSY-M2,-,30000,WEEK,-,-,-,1,-1,ASSY_M2_PKG1,ASSY_M2,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M2,ASM4@ASSY-M2,-,30000,WEEK,-,-,-,1,-1,ASSY_M2_PKG1,ASSY_M2,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M3,ASM3@ASSY-M3,-,30000,WEEK,-,-,-,1,-1,ASSY_M3_PKG1,ASSY_M3,ASSY,,,,,Planner2,FixedWeek,
,ASSY-M3,ASM4@ASSY-M3,-,30000,WEEK,-,-,-,1,-1,ASSY_M3_PKG1,ASSY_M3,ASSY,,,,,Planner2,FixedWeek,
