CASE,LOCATION,COMLOCATION,COMLOCATION_UDA_PROD_AREA,COMLOCATION_UDA_TECHNOLOGY,COMLOCATION_UDA_SHARED,COMLOCATION_UDA_PACKAGE,CAPACITY,UOM,BUILDPOLICY,BUILDEARLYLIMIT,BUILD AHEAD,START,END,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,COMMODITY,VENDOR,CATEGORY,RELATION,PLANNER,TIME_LEVEL,CORRESPONDS
-,ASSY-M2,-,ASSY,-,-,-,300000,WEEK,-,-,-,1,-1,ASSY_M2_PKG,ASSY_M2,ASSY,-,-,-,-,Planner2,FixedWeek,-
-,ASSY-M2,-,ASSY,-,-,BGA,200000,WEEK,-,-,-,1,-1,ASSY_M2_BGA,ASSY_M2,ASSY,-,-,-,-,Planner2,FixedWeek,-
-,ASSY-M2,-,ASSY,-,-,FPBGA,150000,WEEK,-,-,-,1,-1,ASSY_M2_FPBGA,ASSY_M2,ASSY,-,-,-,-,Planner2,FixedWeek,-
-,ASSY-M3,-,ASSY,-,-,-,50000,WEEK,-,-,-,1,-1,ASSY_M3_PKG,ASSY_M3,ASSY,-,-,-,-,Planner2,FixedWeek,-
-,ASSY-M3,-,ASSY,-,-,BGA,30000,WEEK,-,-,-,1,-1,ASSY_M3_BGA,ASSY_M3,ASSY,-,-,-,-,Planner2,FixedWeek,-
-,ASSY-M3,-,ASSY,-,-,FPBGA,30000,WEEK,-,-,-,1,-1,ASSY_M3_FPBGA,ASSY_M3,ASSY,-,-,-,-,Planner2,FixedWeek,-
-,FAB1,-,FAB,-,-,-,10000,WEEK,-,-,-,1,-1,FAB_FAB1,FAB_FAB1,FAB,-,-,-,-,Planner2,FixedWeek,-
-,FAB1,-,FAB,PMOS,-,-,9000,WEEK,-,-,-,1,-1,FAB_FAB1,FAB_FAB1,FAB,-,-,-,-,Planner2,FixedWeek,-
-,FAB1,-,FAB,PIC,-,-,4000,WEEK,-,-,-,1,-1,FAB_FAB1,FAB_FAB1,FAB,-,-,-,-,Planner2,FixedWeek,-
-,FAB1,-,FAB,-,SHARED,-,2200,WEEK,-,-,-,1,-1,FAB_FAB1,FAB_FAB1,FAB,-,-,-,-,Planner2,FixedWeek,-
-,FAB2,-,FAB,-,-,-,2500,WEEK,-,-,-,1,-1,FAB_FAB2,FAB_FAB2,FAB,-,-,-,-,Planner2,FixedWeek,-
-,FAB2,-,FAB,PMOS,-,-,1250,WEEK,-,-,-,1,-1,FAB_FAB2,FAB_FAB2,FAB,-,-,-,-,Planner2,FixedWeek,-
-,FAB2,-,FAB,PIC,-,-,0,WEEK,-,-,-,1,-1,FAB_FAB2,FAB_FAB2,FAB,-,-,-,-,Planner2,FixedWeek,-
