PRODUCT_ID,LOCATION,PREFERENCE,COST,MIN_SUPPLY,MAX_SUPPLY,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY,VENDOR_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
RAW,FAB1,1,1,25,500000,1,1,Vendor0,-,-,PURCHASE_RAW,PURCHASE_RAW,PURCHASE,1
RAW,FAB2,1,1,25,500000,1,1,Vendor0,-,-,PURCHASE_RAW,PURCHASE_RAW,PURCHASE,1
COMPONENT11,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT11,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT12,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT12,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT13,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT13,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT21,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT21,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT22,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT22,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT23,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT23,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT31,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT31,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT32,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT32,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT33,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT33,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT41,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT41,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT42,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT42,PURCHASE_COMPONENT,PURCHASE,1
COMPONENT43,FIN-ASSY,1,1,5000,50000000,1,1,Vendor0,-,-,PURCHASE_COMPONENT43,PURCHASE_COMPONENT,PURCHASE,1
