PRODUCT_ID,LOCATION,PREFERENCE,COST,MIN_SUPPLY,MAX_SUPPLY,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY,VENDOR_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
283-0046-27,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
283-0046-29,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
283-0046-31,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
283-0046-33,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
280-0932,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0341,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_COMPONENT,ALL,1
140-0221,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_COMPONENT,ALL,1
140-0834,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_COMPONENT,ALL,1
140-0246,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_COMPONENT,ALL,1
140-0179,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_COMPONENT,ALL,1
140-0386,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_COMPONENT,ALL,1
223-0011,SUB_PREF,1,1,50000,50000000,1,1,Vendor1,-,-,SUB_PREF,SUBCON,ALL,1
223-0012,SUB_PREF,1,1,50000,50000000,1,1,Vendor1,-,-,SUB_PREF,SUBCON,ALL,1
320-0611,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
320-0493,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
280-0431,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
282-0041,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
320-0443,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
282-0040,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
288-0005,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
320-0438,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
280-0650,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
320-0412,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
280-0698,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
288-0001,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
280-0848,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
301-0022,VMI2,1,1,50000,50000000,1,1,Vendor2,-,-,VMI2,PURCHASE_ASSEMBLY,ALL,1
504-1532,SUB_PCBA,1,1,50000,50000000,1,1,Vendor1,-,-,SUB_PCBA,SUBCON,ALL,1
100-0086,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0024,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0061,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0122,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0025,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0033,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0038,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0074,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0062,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0088,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0073,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0115,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
100-0021,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
130-0077,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
120-0129,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
120-0051,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0341,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0221,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0834,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0246,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0179,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0386,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
120-0121,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
120-0143,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
120-0202,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
199-0001,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
160-1153,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
140-0253,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0308,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0177,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0298,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0002,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0064,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0243,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0237,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0252,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0161,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0272,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0241,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0267,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0207,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0273,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0011,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0213,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
110-0001,VMI1,1,1,50000,50000000,1,1,Vendor0,-,-,VMI1,PURCHASE_COMPONENT,ALL,1
