PRODUCT_ID,LOCATION,ROUTE_ID,PREFERENCE,COST,BOM_ID,BOG_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost,UDA_string_-_-_DMDSPEC,UDA_string_to_workorder_no_ASSY_LOC,UDA_string_to_workorder_no_FAB_LOC
FG3,FIN-ASSY,FIN-ASSY,1,0,FG3,-,-,-,MFG_FG3,MFG_FG,MFG,1,-,-,-
TEST3,WTEST-M1,WTEST-M1-ROOM-HOT-COLD-VA,1,0.01,TEST3,-,-,-,MFG_TEST3,MFG_TEST,MFG,1,-,-,-
TEST3,WTEST-M2,WTEST-M2-ROOM-HOT-COLD-VA,1,0.01,TEST3,-,-,-,MFG_TEST3,MFG_TEST,MFG,1,-,-,-
ASM3,ASSY-M3,ASSY-M3,1,0.01,ASM3,-,-,-,MFG_ASM3,MFG_ASM,MFG,1,-,ASSY-M3,-
ASM3,ASSY-M2,ASSY-M2,1,0.01,ASM3,-,-,-,MFG_ASM3,MFG_ASM,MFG,1,-,ASSY-M2,-
DIE3,ASSY-M3,DB-M3,1,0,DIE3,BOG_DIE3,-,-,MFG_DIE3,MFG_DIE,MFG,1,-,ASSY-M3,-
DIE3,ASSY-M2,DB-M2,1,0,DIE3,BOG_DIE3,-,-,MFG_DIE3,MFG_DIE,MFG,1,-,ASSY-M2,-
PROBE3,WPROB-M2,WPROB-M2-VA,1,50,PROBE3,-,-,-,MFG_PROBE3,MFG_PROBE,MFG,1,-,-,-
PROBE3,WPROB-M1,WPROB-M1-VA,1,50,PROBE3,-,-,-,MFG_PROBE3,MFG_PROBE,MFG,1,-,-,-
BUMP3,WBUMP-M2,WBUMP-M2,1,50,BUMP3,-,-,-,MFG_BUMP3,MFG_BUMP,MFG,1,-,-,-
BUMP3,WBUMP-M3,WBUMP-M3,1,50,BUMP3,-,-,-,MFG_BUMP3,MFG_BUMP,MFG,1,-,-,-
WAFER3,FAB1,FAB1,1,1500,WAFER3,-,-,-,MFG_WAFER3,MFG_WAFER,MFG,1,-,-,FAB1
WAFER3,FAB2,FAB2,1,1500,WAFER3,-,-,-,MFG_WAFER3,MFG_WAFER,MFG,1,-,-,FAB2
FG4,FIN-ASSY,FIN-ASSY,1,0,FG4,-,-,-,MFG_FG4,MFG_FG,MFG,1,-,-,-
TEST4,WTEST-M1,WTEST-M1-ROOM-VB,1,0.01,TEST4,-,-,-,MFG_TEST4,MFG_TEST,MFG,1,-,-,-
TEST4,WTEST-M2,WTEST-M2-ROOM-VB,1,0.01,TEST4,-,-,-,MFG_TEST4,MFG_TEST,MFG,1,-,-,-
ASM4,ASSY-M3,ASSY-M3,1,0.01,ASM4,-,-,-,MFG_ASM4,MFG_ASM,MFG,1,-,ASSY-M3,-
ASM4,ASSY-M2,ASSY-M2,1,0.01,ASM4,-,-,-,MFG_ASM4,MFG_ASM,MFG,1,-,ASSY-M2,-
DIE4,ASSY-M3,DB-M3,1,0,DIE4,BOG_DIE4,-,-,MFG_DIE4,MFG_DIE,MFG,1,-,ASSY-M3,-
DIE4,ASSY-M2,DB-M2,1,0,DIE4,BOG_DIE4,-,-,MFG_DIE4,MFG_DIE,MFG,1,-,ASSY-M2,-
PROBE4,WPROB-M2,WPROB-M2-VB,1,50,PROBE4,-,-,-,MFG_PROBE4,MFG_PROBE,MFG,1,-,-,-
PROBE4,WPROB-M1,WPROB-M1-VB,1,50,PROBE4,-,-,-,MFG_PROBE4,MFG_PROBE,MFG,1,-,-,-
BUMP4,WBUMP-M2,WBUMP-M2,1,50,BUMP4,-,-,-,MFG_BUMP4,MFG_BUMP,MFG,1,-,-,-
BUMP4,WBUMP-M3,WBUMP-M3,1,50,BUMP4,-,-,-,MFG_BUMP4,MFG_BUMP,MFG,1,-,-,-
WAFER4,FAB1,FAB1,1,1500,WAFER4,-,-,-,MFG_WAFER4,MFG_WAFER,MFG,1,-,-,FAB1
WAFER4,FAB2,FAB2,1,1500,WAFER4,-,-,-,MFG_WAFER4,MFG_WAFER,MFG,1,-,-,FAB2
FG2,FIN-ASSY,FIN-ASSY,1,0,FG2,-,-,-,MFG_FG2,MFG_FG,MFG,1,-,-,-
TEST2,WTEST-M2,WTEST-M2-ROOM-N,1,0.01,TEST2,-,-,-,MFG_TEST2,MFG_TEST,MFG,1,-,-,-
ASM2,ASSY-M2,ASSY-M2,1,0.01,ASM2,-,-,-,MFG_ASM2,MFG_ASM,MFG,1,-,ASSY-M2,-
DIE2,ASSY-M2,DB-M2,1,0,DIE2,BOG_DIE2,-,-,MFG_DIE2,MFG_DIE,MFG,1,-,ASSY-M2,-
PROBE2,WPROB-M2,WPROB-M2-N,1,50,PROBE2,-,-,-,MFG_PROBE2,MFG_PROBE,MFG,1,-,-,-
BUMP2,WBUMP-M2,WBUMP-M2,1,50,BUMP2,-,-,-,MFG_BUMP2,MFG_BUMP,MFG,1,-,-,-
WAFER2,FAB1,FAB1,1,1500,WAFER2,-,-,-,MFG_WAFER2,MFG_WAFER,MFG,1,-,-,FAB1
WAFER2,FAB2,FAB2,1,1500,WAFER2,-,-,-,MFG_WAFER2,MFG_WAFER,MFG,1,-,-,FAB2
FG1a,FIN-ASSY,FIN-ASSY,1,0,FG1a,-,-,-,MFG_FG1a,MFG_FG,MFG,1,-,-,-
TEST1a,WTEST-M1,WTEST-M1-ROOM-PPRO,1,0.01,TEST1a,-,-,-,MFG_TEST1a,MFG_TEST,MFG,1,-,-,-
ASM1a,ASSY-M2,ASSY-M2,1,0.01,ASM1a,-,-,-,MFG_ASM1a,MFG_ASM,MFG,1,-,ASSY-M2,-
DIE1,ASSY-M2,DB-M2,1,0,DIE1,BOG_DIE1,-,-,MFG_DIE1,MFG_DIE,MFG,1,-,ASSY-M2,-
PROBE1,WPROB-M1,WPROB-M1-PPRO,1,50,PROBE1,-,-,-,MFG_PROBE1,MFG_PROBE,MFG,1,-,-,-
WAFER1,FAB1,FAB1,1,1500,WAFER1,-,-,-,MFG_WAFER1,MFG_WAFER,MFG,1,-,-,FAB1
WAFER1,FAB2,FAB2,1,1500,WAFER1,-,-,-,MFG_WAFER1,MFG_WAFER,MFG,1,-,-,FAB2
FG1c,FIN-ASSY,FIN-ASSY,1,0,FG1c,-,-,-,MFG_FG1c,MFG_FG,MFG,1,-,-,-
TEST1c,WTEST-M1,WTEST-M1-ROOM-PPRO,1,0.01,TEST1c,-,-,-,MFG_TEST1c,MFG_TEST,MFG,1,-,-,-
ASM1c,ASSY-M2,ASSY-M2,1,0.01,ASM1c,-,-,-,MFG_ASM1c,MFG_ASM,MFG,1,-,ASSY-M2,-
