PRODUCT_ID,LOCATION,ROUTE_ID,PREFERENCE,COST,BOM_ID,BOG_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,process_unit_cost,UDA_string_DMDSPEC,UDA_string_to_workorder_no_ASSY_LOC,UDA_string_to_workorder_no_FAB_LOC
260-0250,1000,ROUTE_OB,1,0,BOM_260-0250,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
260-0250,2000,ROUTE_OB,1,0,BOM_260-0250,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
260-0306,1000,ROUTE_OB,1,0,BOM_260-0306,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
260-0306,2000,ROUTE_OB,1,0,BOM_260-0306,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
260-0325,1000,ROUTE_OB,1,0,BOM_260-0325,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
260-0325,2000,ROUTE_OB,1,0,BOM_260-0325,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
260-0555,1000,ROUTE_OB,1,0,BOM_260-0555,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
260-0555,2000,ROUTE_OB,1,0,BOM_260-0555,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-27,1000,ROUTE_TX COC,1,0,BOM_280-1093-27,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-27,2000,ROUTE_TX COC,1,0,BOM_280-1093-27,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-29,1000,ROUTE_TX COC,1,0,BOM_280-1093-29,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_280-2169_P1,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-2169_P1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_280-2169_P1,2000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-2169_P1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_280-2169_T1,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-2169_T1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_280-2169_T1,2000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-2169_T1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_280-2169_T2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-2169_T2,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_280-2169_T2,2000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-2169_T2,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-29,2000,ROUTE_TX COC,1,0,BOM_280-1093-29,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-31,1000,ROUTE_TX COC,1,0,BOM_280-1093-31,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-31,2000,ROUTE_TX COC,1,0,BOM_280-1093-31,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-33,1000,ROUTE_TX COC,1,0,BOM_280-1093-33,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1093-33,2000,ROUTE_TX COC,1,0,BOM_280-1093-33,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1391,1000,ROUTE_Preform,1,0,BOM_280-1391,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_500-3264-007_A1,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_500-3264-007_A1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_500-3264-007_A1,2000,ROUTE_dummy,1,0,BOM_VirtualProduct_500-3264-007_A1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_500-3264-010_A1,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_500-3264-010_A1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_500-3264-010_A1,2000,ROUTE_dummy,1,0,BOM_VirtualProduct_500-3264-010_A1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
VirtualProduct_500-3264-020_A1,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_500-3264-020_A1,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1391,2000,ROUTE_Preform,1,0,BOM_280-1391,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
280-1392,1000,ROUTE_Preform,1,0,BOM_280-1392,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1,-,-,-
