OPERATION_ID,PRODUCT_ID,RESOURCE_ID,START_DATE,END_DATE,MIN_WAIT_TIME,MAX_WAIT_TIME,DEFAULT_SETUP_TIME,PROCESS_TIME_FIRST_BATCH,PROCESS_TIME_FIRST_UNIT,UPH,POST_PROCESSING_TIME,BATCH_SCALE_FACTOR,YIELD_FACTOR,YIELD_LOST_QTY,BORA_ID,SETUP_TYPE,PROCESS_TYPE,CAPABLE_TYPE,TRANSFER_LOT_SIZE
WTEST-M1-ROOM-VA,TEST3,HANDLER-O-M1,-,-,-,-,24,-,-,1400,-,-,-,-,BORA_WTEST-M1-ROOM-VA,-,-,-,-
WTEST-M1-HOT-VA,TEST3,HANDLER-O-M1,-,-,-,-,24,-,-,1400,-,-,-,-,BORA_WTEST-M1-HOT-VA,-,-,-,-
WTEST-M1-COLD-VA,TEST3,HANDLER-O-M1,-,-,-,-,24,-,-,1400,48,-,-,-,BORA_WTEST-M1-COLD-VA,-,-,-,-
WTEST-M2-ROOM-VA,TEST3,HANDLER-O-M2,-,-,-,-,24,-,-,1400,-,-,-,-,BORA_WTEST-M2-ROOM-VA,-,-,-,-
WTEST-M2-HOT-VA,TEST3,HANDLER-O-M2,-,-,-,-,24,-,-,1400,-,-,-,-,BORA_WTEST-M2-HOT-VA,-,-,-,-
WTEST-M2-COLD-VA,TEST3,HANDLER-O-M2,-,-,-,-,24,-,-,1400,48,-,-,-,BORA_WTEST-M2-COLD-VA,-,-,-,-
WTEST-M1-ROOM-VB,TEST4,HANDLER-O-M1,-,-,-,-,24,-,-,1400,48,-,-,-,BORA_WTEST-M1-ROOM-VB,-,-,-,-
WTEST-M2-ROOM-VB,TEST4,HANDLER-O-M2,-,-,-,-,24,-,-,1400,48,-,-,-,BORA_WTEST-M2-ROOM-VB,-,-,-,-
WTEST-M2-ROOM-N,TEST2,HANDLER-Q-M2,-,-,-,-,12,-,-,960,48,-,-,-,BORA_WTEST-M2-ROOM-N,-,-,-,-
WTEST-M1-ROOM-PPRO,TEST1a,-,-,-,-,-,12,-,-,776,48,-,-,-,BORA_WTEST-M1-ROOM-PPRO,-,-,-,-
WTEST-M1-ROOM-PPRO,TEST1c,-,-,-,-,-,12,-,-,776,48,-,-,-,BORA_WTEST-M1-ROOM-PPRO,-,-,-,-
WTEST-M1-ROOM-PPRO,TEST1b,-,-,-,-,-,12,-,-,776,-,-,-,-,BORA_WTEST-M1-ROOM-PPRO,-,-,-,-
WTEST-M1-HOT-PPRO,TEST1b,HANDLER-M1,-,-,-,-,12,-,-,776,48,-,-,-,BORA_WTEST-M1-HOT-PPRO,-,-,-,-
WPROB-M1-VA,PROBE3,-,-,-,-,-,6,-,-,0.89,24,-,-,-,-,-,-,-,-
WPROB-M2-VA,PROBE3,-,-,-,-,-,6,-,-,0.89,24,-,-,-,-,-,-,-,-
WPROB-M1-VB,PROBE4,-,-,-,-,-,6,-,-,0.89,24,-,-,-,-,-,-,-,-
WPROB-M2-VB,PROBE4,-,-,-,-,-,6,-,-,0.89,24,-,-,-,-,-,-,-,-
WPROB-M2-N,PROBE2,-,-,-,-,-,6,-,-,0.7388,24,-,-,-,-,-,-,-,-
WPROB-M1-PPRO,PROBE1,-,-,-,-,-,6,-,-,0.7388,24,-,-,-,-,-,-,-,-
ASSY-M3,ASM3,-,-,-,-,-,-,-,-,-,336,-,-,-,-,-,-,-,-
ASSY-M2,ASM3,-,-,-,-,-,-,-,-,-,288,-,-,-,-,-,-,-,-
ASSY-M3,ASM4,-,-,-,-,-,-,-,-,-,336,-,-,-,-,-,-,-,-
ASSY-M2,ASM4,-,-,-,-,-,-,-,-,-,288,-,-,-,-,-,-,-,-
ASSY-M2,ASM2,-,-,-,-,-,-,-,-,-,288,-,-,-,-,-,-,-,-
ASSY-M2,ASM1a,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
ASSY-M2,ASM1c,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
ASSY-M2,ASM1b,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
DB-M3,DIE4,-,-,-,-,-,-,-,-,-,-,-,0.85,-,-,-,-,-,-
DB-M2,DIE4,-,-,-,-,-,-,-,-,-,-,-,0.85,-,-,-,-,-,-
DB-M3,DIE3,-,-,-,-,-,-,-,-,-,-,-,0.85,-,-,-,-,-,-
DB-M2,DIE3,-,-,-,-,-,-,-,-,-,-,-,0.85,-,-,-,-,-,-
DB-M2,DIE2,-,-,-,-,-,-,-,-,-,-,-,0.88,-,-,-,-,-,-
DB-M2,DIE1,-,-,-,-,-,-,-,-,-,-,-,0.88,-,-,-,-,-,-
WBUMP-M2,BUMP3,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
WBUMP-M3,BUMP3,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
WBUMP-M2,BUMP4,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
WBUMP-M3,BUMP4,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
WBUMP-M2,BUMP2,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-
FAB1,WAFER3,-,-,-,-,-,-,-,-,-,1680,-,-,-,-,-,-,-,-
FAB1,WAFER4,-,-,-,-,-,-,-,-,-,1680,-,-,-,-,-,-,-,-
FAB1,WAFER2,-,-,-,-,-,-,-,-,-,1512,-,-,-,-,-,-,-,-
FAB1,WAFER1,-,-,-,-,-,-,-,-,-,1512,-,-,-,-,-,-,-,-
