OPERATION_ID,PRODUCT_ID,RESOURCE_ID,START_DATE,END_DATE,MIN_WAIT_TIME,MAX_WAIT_TIME,DEFAULT_SETUP_TIME,PROCESS_TIME_FIRST_BATCH,PROCESS_TIME_FIRST_UNIT,UPH,POST_PROCESSING_TIME,BATCH_SCALE_FACTOR,YIELD_FACTOR,YIELD_LOST_QTY,BORA_ID,SETUP_TYPE,PROCESS_TYPE,CAPABLE_TYPE,TRANSFER_LOT_SIZE
OP_TXCOC_CRYSTAL,-,-,-,-,-,-,-,-,-,0.07,-,-,-,-,-,-,-,-,-
OP_TXCOC_LASER,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-
OP_TXCOC_GT,-,-,-,-,-,-,-,-,-,1.36,-,-,-,-,-,-,-,-,-
OP_TXCOC_WB,-,-,-,-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-
OP_TXCOC_BI,-,-,-,-,-,-,-,-,-,0.68,-,-,-,-,-,-,-,-,-
OP_Preform_ASSY,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-
OP_Preform_TX_LENS,-,-,-,-,-,-,-,-,-,0.44,-,-,-,-,-,-,-,-,-
OP_Preform_RX_LENS,-,-,-,-,-,-,-,-,-,0.44,-,-,-,-,-,-,-,-,-
OP_Preform_TX_CLENS,-,-,-,-,-,-,-,-,-,0.34,-,-,-,-,-,-,-,-,-
OP_Preform_RX_CLENS,-,-,-,-,-,-,-,-,-,0.34,-,-,-,-,-,-,-,-,-
OP_Preform_OB,-,-,-,-,-,-,-,-,-,0.28,-,-,-,-,-,-,-,-,-
OP_Preform_LASER,-,-,-,-,-,-,-,-,-,0.15,50,-,-,-,-,-,-,-,-
OP_CB_DA,-,-,-,-,-,-,45.6,-,-,1.86,-,-,-,-,-,-,-,-,-
OP_CB_WB,-,-,-,-,-,-,-,-,-,0.41,-,-,-,-,-,-,-,-,-
OP_CB_ASSY,-,-,-,-,-,-,-,-,-,1.17,-,-,-,-,-,-,-,-,-
OP_CB_RXLENS,-,-,-,-,-,-,-,-,-,0.19,-,-,-,-,-,-,-,-,-
OP_CB_TXLENS,-,-,-,-,-,-,7.13,-,-,0.8,-,-,-,-,-,-,-,-,-
OP_CB_TEST,-,-,-,-,-,-,-,-,-,0.16,5.61,-,-,-,-,-,-,-,-
OP_OB_TCT,-,-,-,-,-,-,1.43,-,-,0.06,-,-,-,-,-,-,-,-,-
OP_OB_RXAA,-,-,-,-,-,-,-,-,-,1.83,-,-,-,-,-,-,-,-,-
OP_OB_TXAA,-,-,-,-,-,-,-,-,-,3.86,-,-,-,-,-,-,-,-,-
OP_OB_TEST,-,-,-,-,-,-,6.66,-,-,1.43,2.62,-,-,-,-,-,-,-,-
OP_Module_ASSY,-,-,-,-,-,-,-,-,-,1.42,-,-,-,-,-,-,-,-,-
OP_Module_TCT,-,-,-,-,-,-,2.04,-,-,0.08,-,-,-,-,-,-,-,-,-
OP_Module_BI,-,-,-,-,-,-,-,-,-,0.21,-,-,-,-,-,-,-,-,-
OP_Module_ATS,-,-,-,-,-,-,-,-,-,2.18,-,-,-,-,-,-,-,-,-
OP_Module_LINK,-,-,-,-,-,-,-,-,-,0.67,-,-,-,-,-,-,-,-,-
OP_Module_OVERLOAD,-,-,-,-,-,-,-,-,-,0.52,-,-,-,-,-,-,-,-,-
OP_Module_PrePKG,-,-,-,-,-,-,-,-,-,1.48,-,-,-,-,-,-,-,-,-
OP_Module_PostPKG,-,-,-,-,-,-,-,-,-,1.15,-,-,-,-,-,-,-,-,-
