OPERATION_ID,DESCRIPTION,MIN_WAIT_TIME,MAX_WAIT_TIME,DEFAULT_SETUP_TIME,FIRST_BATCH_TIME,FIRST_UNIT_TIME,UPH,POST_PROCESSING_TIME,BATCH_SCALE_FACTOR,YIELD_FACTOR,YIELD_LOST_QTY,BORA_ID,SETUP_TYPE,PROCESS_TYPE,CAPABLE_TYPE,TRANSFER_LOT_SIZE,
WTEST-M1-ROOM-VA,-,-,-,-,-,-,-,-,-,0.99,-,BORA_WTEST-M1-ROOM-VA,-,-,-,-,-
WTEST-M1-HOT-VA,-,-,-,-,-,-,-,-,-,0.95,-,BORA_WTEST-M1-HOT-VA,-,-,-,-,-
WTEST-M1-COLD-VA,-,-,-,-,-,-,-,-,-,0.95,-,BORA_WTEST-M1-COLD-VA,-,-,-,-,-
WTEST-M2-ROOM-VA,-,-,-,-,-,-,-,-,-,0.99,-,BORA_WTEST-M2-ROOM-VA,-,-,-,-,-
WTEST-M2-HOT-VA,-,-,-,-,-,-,-,-,-,0.95,-,BORA_WTEST-M2-HOT-VA,-,-,-,-,-
WTEST-M2-COLD-VA,-,-,-,-,-,-,-,-,-,0.95,-,BORA_WTEST-M2-COLD-VA,-,-,-,-,-
WTEST-M1-ROOM-VB,-,-,-,-,-,-,-,-,-,0.98,-,BORA_WTEST-M1-ROOM-VB,-,-,-,-,-
WTEST-M2-ROOM-VB,-,-,-,-,-,-,-,-,-,0.98,-,BORA_WTEST-M2-ROOM-VB,-,-,-,-,-
WTEST-M2-ROOM-N,-,-,-,-,-,-,-,-,-,0.98,-,BORA_WTEST-M2-ROOM-N,-,-,-,-,-
WTEST-M1-ROOM-PPRO,-,-,-,-,-,-,-,-,-,0.99,-,BORA_WTEST-M1-ROOM-PPRO,-,-,-,-,-
WTEST-M1-HOT-PPRO,-,-,-,-,-,-,-,-,-,0.95,-,BORA_WTEST-M1-HOT-PPRO,-,-,-,-,-
WPROB-M1-VA,-,-,-,-,-,-,-,-,-,1,-,BORA_WPROB-M1-VA,-,-,-,-,-
WPROB-M2-VA,-,-,-,-,-,-,-,-,-,1,-,BORA_WPROB-M2-VA,-,-,-,-,-
WPROB-M1-VB,-,-,-,-,-,-,-,-,-,1,-,BORA_WPROB-M1-VB,-,-,-,-,-
WPROB-M2-VB,-,-,-,-,-,-,-,-,-,1,-,BORA_WPROB-M2-VB,-,-,-,-,-
WPROB-M2-N,-,-,-,-,-,-,-,-,-,1,-,BORA_WPROB-M2-N,-,-,-,-,-
WPROB-M1-PPRO,-,-,-,-,-,-,-,-,-,1,-,BORA_WPROB-M1-PPRO,-,-,-,-,-
FIN-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_FINASSY,-,-,-,-,-
ASSY-M2,-,-,-,-,-,-,-,-,-,0.99,-,BORA_ASSY-M2,-,-,-,-,-
ASSY-M3,-,-,-,-,-,-,-,-,-,0.99,-,BORA_ASSY-M3,-,-,-,-,-
DB-M3,-,-,-,-,-,-,-,-,-,1,-,BORA_DB-M3,-,-,-,-,-
DB-M2,-,-,-,-,-,-,-,-,-,1,-,BORA_DB-M2,-,-,-,-,-
WBUMP-M2,-,-,-,-,-,-,-,-,-,1,-,BORA_WBUMP-M2,-,-,-,-,-
WBUMP-M3,-,-,-,-,-,-,-,-,-,1,-,BORA_WBUMP-M3,-,-,-,-,-
FAB1,-,-,-,-,-,-,-,-,-,1,-,BORA_FAB1,-,-,-,-,-
T_VMI2_FG-DC3_MOVE_Trans,-,-,-,-,-,-,-,24,-,1,0,T_BORALT_MOVE,-,-,-,-,-
T_VMI2_FG-DC3_MOVE_Rcv,-,-,-,-,-,5,720,0,-,1,0,BORA_RCV_DCOCK_V2,-,-,-,-,-
T_VMI2_FG-DC2_MOVE_Trans,-,-,-,-,-,-,-,24,-,1,0,T_BORALT_MOVE,-,-,-,-,-
T_VMI2_FG-DC2_MOVE_Rcv,-,-,-,-,-,5,720,0,-,1,0,BORA_RCV_DCOCK_V2,-,-,-,-,-
T_VMI2_FG-DC1_MOVE_Trans,-,-,-,-,-,-,-,96,-,1,0,T_BORALT_MOVE,-,-,-,-,-
T_VMI2_FG-DC1_MOVE_Rcv,-,-,-,-,-,5,720,0,-,1,0,BORA_RCV_DCOCK_V2,-,-,-,-,-
T_VMI1_FG-DC1_MOVE_Trans,-,-,-,-,-,-,-,24,-,1,0,T_BORALT_MOVE,-,-,-,-,-
T_VMI1_FG-DC1_MOVE_Rcv,-,-,-,-,-,5,720,0,-,1,0,BORA_RCV_DCOCK_V1,-,-,-,-,-
T_FG-DC1_FIN-ASSY_MOVE_Trans,-,-,-,-,-,-,-,24,-,1,0,T_BORALT_MOVE,-,-,-,-,-
T_FG-DC2_FIN-ASSY_MOVE_Trans,-,-,-,-,-,-,-,96,-,1,0,T_BORALT_MOVE,-,-,-,-,-
T_FG-DC3_FIN-ASSY_MOVE_Trans,-,-,-,-,-,-,-,96,-,1,0,T_BORALT_MOVE,-,-,-,-,-
FAB2,-,-,-,-,-,-,-,-,-,1,-,BORA_FAB2,-,-,-,-,-
