PRODUCT_ID,DESCRIPTION,PRODUCT_TYPE,PRODAREA,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,FG_HIER_LEVEL_1,FG_HIER_LEVEL_2,FG_HIER_LEVEL_3,END_ITEM,A_MAT_STATUS,LATE_FORECAST,LATE_SALES
FG1a,-,P,FG,FG_ProductGroupX_ProductFamilyA,FG_ProductGroupX,0-FG,ProductGroupX_ProductFamilyA_FG1,ProductGroupX_ProductFamilyA,ProductGroupX,-,50,-,-
FG1b,-,P,FG,FG_ProductGroupX_ProductFamilyA,FG_ProductGroupX,0-FG,ProductGroupX_ProductFamilyA_FG1,ProductGroupX_ProductFamilyA,ProductGroupX,-,50,-,-
FG1c,-,P,FG,FG_ProductGroupX_ProductFamilyA,FG_ProductGroupX,0-FG,ProductGroupX_ProductFamilyA_FG1,ProductGroupX_ProductFamilyA,ProductGroupX,-,50,-,-
FG2,-,P,FG,FG_ProductGroupX_ProductFamily3,FG_ProductGroupX,0-FG,ProductGroupX_ProductFamily3_FG2,ProductGroupX_ProductFamily3,ProductGroupX,-,50,-,-
FG3,-,P,FG,FG_ProductGroupX_ProductFamilyB,FG_ProductGroupX,0-FG,ProductGroupX_ProductFamilyB_FG3,ProductGroupX_ProductFamilyB,ProductGroupX,-,50,-,-
FG4,-,P,FG,FG_ProductGroupX_ProductFamilyB,FG_ProductGroupX,0-FG,ProductGroupX_ProductFamilyB_FG4,ProductGroupX_ProductFamilyB,ProductGroupX,-,50,-,-
TEST1a,-,P,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,-,-,-,-,50,-,-
TEST1b,-,P,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,-,-,-,-,50,-,-
TEST1c,-,P,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,-,-,-,-,50,-,-
TEST2,-,P,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,-,-,-,-,50,-,-
TEST3,-,P,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,-,-,-,-,50,-,-
TEST4,-,P,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,-,-,-,-,50,-,-
ASM1a,-,P,ASSY,ASSY_WIREBOND_BGA,ASSY_WIREBOND,2-ASSY,-,-,-,-,50,-,-
ASM1b,-,P,ASSY,ASSY_WIREBOND_BGA,ASSY_WIREBOND,2-ASSY,-,-,-,-,50,-,-
ASM1c,-,P,ASSY,ASSY_WIREBOND_BGA,ASSY_WIREBOND,2-ASSY,-,-,-,-,50,-,-
ASM2,-,P,ASSY,ASSY_FLIPCHIP_FPBGA,ASSY_FLIPCHIP,2-ASSY,-,-,-,-,50,-,-
