PRODUCT_ID,DESCRIPTION,PRODUCT_TYPE,PRODAREA,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,FG_HIER_LEVEL_1,FG_HIER_LEVEL_2,FG_HIER_LEVEL_3,END_ITEM,A_MAT_STATUS,LATE_FORECAST,LATE_SALES
AON6538,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PS3G4M1TA4-die,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PS3G4M1-die,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PSG4M1-die,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PG4M1-die,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PS3G4M1TA4,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PSG4M1,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PG4M1,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q#PS3G4M1T,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q@GM#PS3,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q@GM#PS,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q@GM#P,-,P,-,-,-,-,-,-,-,-,-,-,-
JSN182Q@GM,-,M,-,-,-,-,-,-,-,-,-,-,-
