PRODUCT_ID,DESCRIPTION,PRODUCT_TYPE,PRODAREA,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,FG_HIER_LEVEL_1,FG_HIER_LEVEL_2,FG_HIER_LEVEL_3,END_ITEM,DP_COMP,FG_COMP,VIRTUAL,DP_COMP_KEY,FG_COMP_KEY,VIRTUAL_KEY,A_MAT_STATUS,LATE_FORECAST,LATE_SALES
#N/A@domestic_others,Virtual Product for FG Substitute ,M,MODULE,NA,NA,NA,NA,NA,NA,-,,,,,,,-,-,-
100-0024,Capacitor;0.1uF;±10%;0201;X5R;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0107,Cap;LMK042BJ102KC;1nF;01005;10V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0108,Cap;JMK042BJ103KC;10nF;01005;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0122,Capacitor;0.47uF;±10%;0402;X7R;10V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0227,Capacitor;22uF;±20%;0603;X6S;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0064,Resistor;0201;±1%;10K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0213,Resistor;0201;±5%;47K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0237,Resistor;0201;±1%;1M ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0241,Resistor;0201;±1%;4.7K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0295,Resistor;0201;±1%;127K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0298,Resistor;0201;±1%;0.05W;39K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0308,Resistor;0201;±1% 46.4k ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
