PRODUCT_ID,DESCRIPTION,LOCATION,PRODUCT_TYPE,RESOLUTION,MIN_LOT_SIZE,MAX_LOT_SIZE,STD_LOT_SIZE,INCR_LOT_SIZE,BUILD_PERIOD,OBSOLETE,TIME_FENCE,CYCLE_TYPE, CYCLE_FAMILY ,INVENTORY,REVENUE,SHARE_FLAG,MIX,PROD_AREA,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,Product_Unit_Cost,UDA_string_-_-_LOC_ID,UDA_float_-_-_HOLD_COST,UDA_string_-_-_PRODUCT_FAMILY,UDA_string_-_-_PRODUCT_GROUP,UDA_string_-_-_TECHNOLOGY,UDA_string_-_-_PACKAGE,UDA_string_-_-_SHARED,UDA_string_-_-_FAB_LOC,UDA_string_-_-_MASK_LAYERS,UDA_string_-_-_WAFER_SIZE,UDA_string_-_-_BUMP_LOC,UDA_string_-_-_BUMP_TYPE,UDA_string_-_-_PROBE_LOC,UDA_string_-_-_PACKAGE_FAMILY,UDA_string_-_-_ASSY_LOC,UDA_string_-_-_TEST_LOC,UDA_string_-_-_A_MAT_STATUS
FG1a,-,FG-DC1,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0.00327,ProductFamilyA,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG1a,-,FG-DC3,1,D,1,85000,85000,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG1a,-,FIN-ASSY,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG1b,-,FG-DC1,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0.00327,ProductFamilyA,ProductGroupX,-,-,-,-,  ,  ,-,-,-,-,-,-,50
FG1b,-,FG-DC3,1,D,1,25033,25033,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG1b,-,FIN-ASSY,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG1c,-,FG-DC1,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0.00327,ProductFamilyA,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG1c,-,FG-DC3,1,D,1,28424,28424,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamily3,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG1c,-,FIN-ASSY,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG2,-,FG-DC1,1,D,1,28424,28424,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamily3,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG2,-,FG-DC2,1,D,1,28424,28424,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamily3,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG2,-,FIN-ASSY,1,D,1,28424,28424,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamily3,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG2,-,VMI1,1,D,1,28424,28424,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,VMI1,0.00327,ProductFamily3,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG2,-,VMI2,1,D,1,28424,28424,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,VMI2,0.00327,ProductFamily3,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG3,-,FG-DC1,1,D,1,85000,85000,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG3,-,FG-DC2,1,D,1,85000,85000,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG3,-,FIN-ASSY,1,D,1,85000,85000,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG3,-,VMI1,1,D,1,85000,85000,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,VMI1,0.00327,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG3,-,VMI2,1,D,1,85000,85000,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,VMI2,0.00327,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG4,-,FG-DC1,1,D,1,25033,25033,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG4,-,FG-DC2,1,D,1,25033,25033,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG4,-,FIN-ASSY,1,D,1,25033,25033,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG4,-,VMI1,1,D,1,25033,25033,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,VMI1,0.00327,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
FG4,-,VMI2,1,D,1,25033,25033,1,-,-,-,factor,2,-,-,-,-,FG,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,VMI2,0.00327,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
TEST1a,-,FIN-ASSY,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
TEST1a,-,WTEST-M1,1,D,1,31262,31262,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,WTEST-M1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,WTEST-M1,50
TEST1b,-,FIN-ASSY,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
TEST1b,-,WTEST-M1,1,D,1,31262,31262,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,WTEST-M1,0,-,-,-,-,-,-,  ,  ,-,-,-,-,-,WTEST-M1,50
TEST1c,-,FIN-ASSY,1,D,1,31262,31262,1,-,-,-,factor,2,-,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
TEST1c,-,WTEST-M1,1,D,1,31262,31262,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyA,TEST_ProductGroupX,1-TEST,1,WTEST-M1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,WTEST-M1,50
TEST2,-,FIN-ASSY,1,D,1,28424,28424,1,-,-,-,factor,2,-,-,-,-,TEST,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamily3,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
TEST2,-,WTEST-M2,1,D,1,28424,28424,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamily3,TEST_ProductGroupX,1-TEST,1,WTEST-M2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,WTEST-M2,50
TEST3,-,FIN-ASSY,1,D,1,85000,85000,1,-,-,-,factor,2,-,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
TEST3,-,WTEST-M1,1,D,1,85000,85000,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,WTEST-M1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,WTEST-M1,50
TEST3,-,WTEST-M2,1,D,1,85000,85000,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,WTEST-M2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,WTEST-M2,50
TEST4,-,FIN-ASSY,1,D,1,25033,25033,1,-,-,-,factor,2,-,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,FG-DC1,0,ProductFamilyB,ProductGroupX,-,-,-,-,-,-,-,-,-,-,-,-,50
TEST4,-,WTEST-M1,1,D,1,25033,25033,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,WTEST-M1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,WTEST-M1,50
TEST4,-,WTEST-M2,1,D,1,25033,25033,1,21,-,-,factor,2,-1,-,-,-,TEST,TEST_ProductGroupX_ProductFamilyB,TEST_ProductGroupX,1-TEST,1,WTEST-M2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,WTEST-M2,50
ASM1a,-,ASSY-M2,1,D,1,31262,31262,1,21,-,-,factor,2,-1,-,-,-,ASSY,ASSY_WIREBOND_256BGA,ASSY_WIREBOND,2-ASSY,1,ASSY-M2,0,-,-,-,BGA,-,-,-,-,-,-,-,WIREBOND,ASSY-M2,-,50
ASM1a,-,WTEST-M1,1,D,1,31262,31262,1,-,-,-,factor,2,-1,-,-,-,ASSY,ASSY_WIREBOND_256BGA,ASSY_WIREBOND,2-ASSY,1,WTEST-M1,0,-,-,-,BGA,-,-,-,-,-,-,-,WIREBOND,-,-,50
ASM1b,-,ASSY-M2,1,D,1,31262,31262,1,21,-,-,factor,2,-1,-,-,-,ASSY,ASSY_WIREBOND_256BGA,ASSY_WIREBOND,2-ASSY,1,ASSY-M2,0,-,-,-,BGA,-,-,  ,  ,-,-,-,WIREBOND,ASSY-M2,-,50
ASM1b,-,WTEST-M1,1,D,1,31262,31262,1,-,-,-,factor,2,-1,-,-,-,ASSY,ASSY_WIREBOND_256BGA,ASSY_WIREBOND,2-ASSY,1,WTEST-M1,0,-,-,-,BGA,-,-,  ,  ,-,-,-,WIREBOND,-,-,50
ASM1c,-,ASSY-M2,1,D,1,31262,31262,1,21,-,-,factor,2,-1,-,-,-,ASSY,ASSY_WIREBOND_256BGA,ASSY_WIREBOND,2-ASSY,1,ASSY-M2,0,-,-,-,BGA,-,-,-,-,-,-,-,WIREBOND,ASSY-M2,-,50
