OPERATION_ID,RESALT_ID,PREFERENCE,RES_ID,ELEM_IX
-,RA_TESTER-P4-P8-M1,1,TESTER-P4-M1,1
-,RA_TESTER-P4-P8-M1,2,TESTER-P8-M1,2
-,RA_TESTER-P4-P8-M2,1,TESTER-P4-M2,1
-,RA_TESTER-P4-P8-M2,2,TESTER-P8-M2,2
-,RA_HANDLER-Q-M1,1,HANDLER-Q-M1,1
-,RA_HANDLER-Q-M2,1,HANDLER-Q-M2,1
-,RA_HANDLER-O-M1,1,HANDLER-O-M1,1
-,RA_HANDLER-O-M2,1,HANDLER-O-M2,1
-,RA_LB-Q-VA-M1,1,LB-Q-VA-M1,1
-,RA_LB-Q-VA-M2,1,LB-Q-VA-M2,1
-,RA_LB-O-VA-M1,1,LB-O-VA-M1,1
-,RA_LB-O-VA-M2,1,LB-O-VA-M2,1
-,RA_PC-VA-M1,1,PC-VA-M1,1
-,RA_PC-VA-M2,1,PC-VA-M2,1
-,RA_PC-VB-M1,1,PC-VB-M1,1
-,RA_PC-VB-M2,1,PC-VB-M2,1
-,RA_PC-N-M2,1,PC-N-M2,1
-,RA_PC-PPRO-M1,1,PC-PPRO-M1,1
-,RA_PROBER-M1,1,PROBER-M1,1
-,RA_PROBER-M2,1,PROBER-M2,1
-,RA_HANDLER-M1,1,HANDLER-M1,1
-,RA_TESTER-P4-M1,1,TESTER-P4-M1,1
-,RA_LB-PPRO-M1,1,LB-PPRO-M1,1
-,RA_LB-Q-VB-M1,1,LB-Q-VB-M1,1
-,RA_LB-Q-VB-M2,1,LB-Q-VB-M2,1
-,RA_LB-O-VB-M1,1,LB-O-VB-M1,1
-,RA_LB-O-VB-M2,1,LB-O-VB-M2,1
-,RA_LB-Q-N-M2,1,LB-Q-N-M2,1
-,RA_FIN-ASSY,1,FIN-ASSY,1
-,RA_ASSY-M2,1,ASSY-M2,1
-,RA_ASSY-M3,1,ASSY-M3,1
-,RA_DB-M3,1,DB-M3,1
-,RA_DB-M2,1,DB-M2,1
-,RA_WBUMP-M2,1,WBUMP-M2,1
-,RA_WBUMP-M3,1,WBUMP-M3,1
-,RA_FAB1,1,FAB1,1
-,RA_PCK_DOCK_DC1,1,PCK_DOCK_DC1,1
-,RA_PCK_DOCK_DC2,1,PCK_DOCK_DC2,1
-,RA_PCK_DOCK_FA,1,PCK_DOCK_FA,1
-,RA_RCV_DOCK_DC1,1,RCV_DOCK_DC1,1
-,RA_RCV_DOCK_DC2,1,RCV_DOCK_DC2,1
-,RA_RCV_DOCK_DC3,1,RCV_DOCK_DC3,1
-,RA_RCV_DOCK_V1,1,RCV_DOCK_V1,1
-,RA_RCV_DOCK_V2,1,RCV_DOCK_V2,1
-,T_RESALT_MOVE,1,T_RES_MOVE,1
-,RA_FAB2,1,FAB2,1
