RESOURCE_ID,START_TIME,OFFSET,CAP_FACTOR,PATTERN_ID
TESTER-P4-M1,-,-,6,24x7
TESTER-P4-M2,-,-,8,24x7
TESTER-P8-M1,-,-,1,24x7
TESTER-P8-M2,-,-,2,24x7
HANDLER-Q-M1,-,-,2,24x7
HANDLER-Q-M2,-,-,4,24x7
HANDLER-O-M1,-,-,1,24x7
HANDLER-O-M2,-,-,2,24x7
LB-Q-VA-M1,-,-,1,24x7
LB-Q-VA-M2,-,-,1,24x7
LB-O-VA-M1,-,-,1,24x7
LB-O-VA-M2,-,-,1,24x7
PC-VA-M1,-,-,1,24x7
PC-VA-M2,-,-,1,24x7
PC-VB-M1,-,-,1,24x7
PC-VB-M2,-,-,1,24x7
PC-N-M2,-,-,1,24x7
PC-PPRO-M1,-,-,3,24x7
PROBER-M1,-,-,4,24x7
PROBER-M2,-,-,8,24x7
HANDLER-M1,-,-,3,24x7
LB-PPRO-M1,-,-,3,24x7
LB-Q-VB-M1,-,-,1,24x7
LB-Q-VB-M2,-,-,1,24x7
LB-O-VB-M1,-,-,1,24x7
LB-O-VB-M2,-,-,1,24x7
LB-Q-N-M2,-,-,1,24x7
PCK_DOCK_DC1,-,-,1,24x7
PCK_DOCK_DC2,-,-,1,8x5
PCK_DOCK_DC2,-,-,1,8x5
PCK_DOCK_FA,-,-,5,24x7
RCV_DOCK_DC1,-,-,3,24x7
RCV_DOCK_DC2,-,-,3,24x7
RCV_DOCK_DC3,-,-,3,24x7
RCV_DOCK_V1,-,-,2,24x7
RCV_DOCK_V2,-,-,2,24x7
