RESOURCE_ID,DESCRIPTION,LOCATION,RES_TYPE,BATCH_PERIOD,BATCH_TYPE,AVG_BATCH_VOLUME,MIN_BATCH_VOLUME,MAX_BATCH_VOLUME,SPEED_FACTOR,MULTI_RES_FACTOR,CARE,DELAY_ALLOWED,PERIOD_MGR_ID,SETUP_MATRIX_ID,CAPABLE_TYPE,MIX_TYPE,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,OpOverrideType,HIER_LEVEL_3_bak,HIER_LEVEL_1_bak
RESOURCE_TXCOC_CRYSTAL_Machine,-,2000,M,-,-,-,-,-,-,3,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_LASER_Machine,-,2000,M,-,-,-,-,-,-,2,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_GT_Machine,-,2000,M,-,-,-,-,-,-,5,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_WB_Machine,-,2000,M,-,-,-,-,-,-,1,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_BI_Machine,-,2000,M,-,-,-,-,-,-,22,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_CRYSTAL_s_Machine,-,2000,M,-,-,-,-,-,-,0.96,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_LASER_s_Machine,-,2000,M,-,-,-,-,-,-,0.29,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_GT_s_Machine,-,2000,M,-,-,-,-,-,-,5,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_WB_s_Machine,-,2000,M,-,-,-,-,-,-,0.3,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_TXCOC_BI_s_Machine,-,2000,M,-,-,-,-,-,-,6,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_Preform_LASER_Machine,-,2000,M,-,-,-,-,-,-,12,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_Preform_LASER_s_Machine,-,2000,M,-,-,-,-,-,-,5.5,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_CB_DA_Machine,-,2000,M,-,-,-,-,-,-,6,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_CB_TXLENS_Machine,-,2000,M,-,-,-,-,-,-,2,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_CB_WB_Machine,-,2000,M,-,-,-,-,-,-,1,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_CB_DA_s_Machine,-,2000,M,-,-,-,-,-,-,3364,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_CB_TXLENS_s_Machine,-,2000,M,-,-,-,-,-,-,1133,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_CB_WB_s_Machine,-,2000,M,-,-,-,-,-,-,612,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_OB_TXAA_Machine,-,2000,M,-,-,-,-,-,-,5,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_OB_RXAA_Machine,-,2000,M,-,-,-,-,-,-,4,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_OB_TCT_Machine,-,2000,M,-,-,-,-,-,-,1,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_OB_TXAA_s_Machine,-,2000,M,-,-,-,-,-,-,5,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
RESOURCE_OB_RXAA_s_Machine,-,2000,M,-,-,-,-,-,-,4,2,-,SCP,-,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-
