PRODAREA,ROUTE_ID,SEGMENT_ID,SEGMENT_IX,STEP_IX,OPERATION_ID
TEST,WTEST-M1-ROOM-HOT-COLD-VA,WTEST-M1-ROOM-HOT-COLD-VA,1,1,WTEST-M1-ROOM-VA
TEST,WTEST-M1-ROOM-HOT-COLD-VA,WTEST-M1-ROOM-HOT-COLD-VA,1,2,WTEST-M1-HOT-VA
TEST,WTEST-M1-ROOM-HOT-COLD-VA,WTEST-M1-ROOM-HOT-COLD-VA,1,3,WTEST-M1-COLD-VA
TEST,WTEST-M2-ROOM-HOT-COLD-VA,WTEST-M2-ROOM-HOT-COLD-VA,1,1,WTEST-M2-ROOM-VA
TEST,WTEST-M2-ROOM-HOT-COLD-VA,WTEST-M2-ROOM-HOT-COLD-VA,1,2,WTEST-M2-HOT-VA
TEST,WTEST-M2-ROOM-HOT-COLD-VA,WTEST-M2-ROOM-HOT-COLD-VA,1,3,WTEST-M2-COLD-VA
TEST,WTEST-M1-ROOM-VB,WTEST-M1-ROOM-VB,1,1,WTEST-M1-ROOM-VB
TEST,WTEST-M2-ROOM-VB,WTEST-M2-ROOM-VB,1,1,WTEST-M2-ROOM-VB
TEST,WTEST-M2-ROOM-N,WTEST-M2-ROOM-N,1,1,WTEST-M2-ROOM-N
TEST,WTEST-M1-ROOM-PPRO,WTEST-M1-ROOM-PPRO,1,1,WTEST-M1-ROOM-PPRO
TEST,WTEST-M1-ROOM-HOT-PPRO,WTEST-M1-ROOM-HOT-PPRO,1,1,WTEST-M1-ROOM-PPRO
TEST,WTEST-M1-ROOM-HOT-PPRO,WTEST-M1-ROOM-HOT-PPRO,1,2,WTEST-M1-HOT-PPRO
PROBE,WPROB-M1-VA,WPROB-M1-VA,1,1,WPROB-M1-VA
PROBE,WPROB-M2-VA,WPROB-M2-VA,1,1,WPROB-M2-VA
PROBE,WPROB-M1-VB,WPROB-M1-VB,1,1,WPROB-M1-VB
PROBE,WPROB-M2-VB,WPROB-M2-VB,1,1,WPROB-M2-VB
PROBE,WPROB-M2-N,WPROB-M2-N,1,1,WPROB-M2-N
PROBE,WPROB-M1-PPRO,WPROB-M1-PPRO,1,1,WPROB-M1-PPRO
FG,FIN-ASSY,FIN-ASSY,1,1,FIN-ASSY
ASSY,ASSY-M3,ASSY-M3,1,1,ASSY-M3
ASSY,ASSY-M2,ASSY-M2,1,1,ASSY-M2
DB,DB-M3,DB-M3,1,1,DB-M3
DB,DB-M2,DB-M2,1,1,DB-M2
BUMP,WBUMP-M2,WBUMP-M2,1,1,WBUMP-M2
BUMP,WBUMP-M3,WBUMP-M3,1,1,WBUMP-M3
FAB,FAB1,FAB1,1,1,FAB1
FG,T_VMI2_FG-DC3_MOVE,T_VMI2_FG-DC3_MOVE,1,1,T_VMI2_FG-DC3_MOVE_Trans
FG,T_VMI2_FG-DC2_MOVE,T_VMI2_FG-DC2_MOVE,1,1,T_VMI2_FG-DC2_MOVE_Trans
FG,T_VMI2_FG-DC1_MOVE,T_VMI2_FG-DC1_MOVE,1,1,T_VMI2_FG-DC1_MOVE_Trans
FG,T_VMI1_FG-DC1_MOVE,T_VMI1_FG-DC1_MOVE,1,1,T_VMI1_FG-DC1_MOVE_Trans
FG,T_FG-DC1_FIN-ASSY_MOVE,T_FG-DC1_FIN-ASSY_MOVE,1,1,T_FG-DC1_FIN-ASSY_MOVE_Trans
FG,T_FG-DC2_FIN-ASSY_MOVE,T_FG-DC2_FIN-ASSY_MOVE,1,1,T_FG-DC2_FIN-ASSY_MOVE_Trans
FG,T_FG-DC3_FIN-ASSY_MOVE,T_FG-DC3_FIN-ASSY_MOVE,1,1,T_FG-DC3_FIN-ASSY_MOVE_Trans
FAB,FAB2,FAB2,1,1,FAB2
