SUPPLY_ID,DESCRIPTION,VENDOR_ID,LOCATION_ID,PRODUCT_ID,SUPPLY_DATE,QTY,STATUS,METHOD,COST,FAB_LOC,FAB_PART_ID,LOT_ID,TECHNOLOGY,MASK_LAYERS,WAFER_SIZE,MAT_TYPE,PASSIVATION,BUMP_LOC,PROBE_LOC,DB_LOC,PACKAGE_FAMILY,PACKAGE,ASSY_LOC,TEST_LOC,DM_SPEC,DEMAND_ID,WIRE_COLOR,PROD_AREA
Inv-1,FG3,-,VMI1,FG3,7/11/2017,5000,f,-,1500000,-,WAFER3,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-2,FG3,-,VMI2,FG3,7/11/2017,3000,f,-,1500000,-,WAFER3,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-3,FG1a,-,FG-DC1,FG1a,7/11/2017,15000,f,-,150000,-,WAFER1,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-4,FG1b,-,FG-DC1,FG1b,7/11/2017,20000,f,-,200000,-,WAFER1,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-5,FG1c,-,FG-DC1,FG1c,7/11/2017,10000,f,-,100000,-,WAFER1,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-6,FG2,-,FG-DC1,FG2,-,12000,s,-,6000,-,-,-,-,-,-,-,-,WBUMP-M2,WPROB-M2,-,-,-,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-7,FG3,-,FG-DC1,FG3,-,60000,s,-,6000,-,-,-,-,-,-,-,-,WBUMP-M3,WPROB-M3,-,-,-,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-8,FG4,-,FG-DC1,FG4,-,6000,s,-,6000,-,-,-,-,-,-,-,-,WBUMP-M4,WPROB-M4,-,-,-,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-9,FG1a,-,FIN-ASSY,FG1a,-,150000,s,-,150000,-,WAFER1,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-10,FG1b,-,FIN-ASSY,FG1b,-,200000,s,-,200000,-,WAFER1,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-11,FG1c,-,FIN-ASSY,FG1c,-,100000,s,-,100000,-,WAFER1,-,28HPC,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-12,FG2,-,FIN-ASSY,FG2,-,12000,s,-,6000,-,-,-,-,-,-,-,-,WBUMP-M2,WPROB-M2,-,-,-,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-13,FG3,-,FIN-ASSY,FG3,-,60000,s,-,6000,-,-,-,-,-,-,-,-,WBUMP-M3,WPROB-M3,-,-,-,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-14,FG4,-,FIN-ASSY,FG4,-,60000,s,-,6000,-,-,-,-,-,-,-,-,WBUMP-M4,WPROB-M4,-,-,-,ASSY-M2,WTEST-M2,Free,-,-,-
Inv-15,RAW,-,FAB1,RAW,-,500,s,-,500,FAB1,WAFER4,,28HPM,47,12,-,PI,-,-,-,-,-,-,-,Free,-,-,-
Inv-16,PROBE3,-,ASSY-M3,PROBE3,-,100,s,-,500000,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-17,PROBE2,-,ASSY-M2,PROBE2,-,500,s,-,2000000,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-18,WAFER1,-,WPROB-M1,WAFER1,-,25,s,-,75000,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-19,COMPONENT11,-,FIN-ASSY,COMPONENT11,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-20,COMPONENT12,-,FIN-ASSY,COMPONENT12,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-21,COMPONENT13,-,FIN-ASSY,COMPONENT13,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-22,COMPONENT21,-,FIN-ASSY,COMPONENT21,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-23,COMPONENT22,-,FIN-ASSY,COMPONENT22,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-24,COMPONENT23,-,FIN-ASSY,COMPONENT23,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-25,COMPONENT31,-,FIN-ASSY,COMPONENT31,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-26,COMPONENT32,-,FIN-ASSY,COMPONENT32,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-27,COMPONENT33,-,FIN-ASSY,COMPONENT33,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-28,COMPONENT41,-,FIN-ASSY,COMPONENT41,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-29,COMPONENT42,-,FIN-ASSY,COMPONENT42,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-30,COMPONENT43,-,FIN-ASSY,COMPONENT43,-,5000,s,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,-,-,-
Inv-31,WAFER1,-,FAB1,WAFER1,7/26/2017,50,f,-,150000,FAB1,WAFER1,-,65NM,43,12,-,PI,-,-,-,-,-,-,-,Free,-,-,-
Inv-32,WAFER2,-,FAB1,WAFER2,7/17/2017,100,f,-,400000,FAB1,WAFER2,-,40LP,43,12,-,PI,-,-,-,-,-,-,-,Free,-,-,-
Inv-33,WAFER3,-,FAB1,WAFER3,7/12/2017,50,f,-,250000,FAB1,WAFER3,-,28HPM,47,12,-,PI,-,-,-,-,-,-,-,Free,-,-,-
Inv-34,WAFER4,-,FAB1,WAFER4,7/12/2017,50,f,-,250000,FAB1,WAFER4,-,28HPM,47,12,-,PI,-,-,-,-,-,-,-,Free,-,-,-
FS_1,ASSY,,ASSY-M3,ASM3,8/7/2017,32544,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_2,ASSY,,ASSY-M3,ASM3,8/14/2017,13579,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_3,ASSY,,ASSY-M3,ASM3,8/21/2017,10116,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_4,ASSY,,ASSY-M3,ASM3,8/28/2017,9366,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_5,ASSY,,ASSY-M3,ASM3,9/4/2017,10794,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_6,ASSY,,ASSY-M3,ASM3,9/11/2017,9606,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_7,ASSY,,ASSY-M3,ASM3,9/18/2017,12754,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_8,ASSY,,ASSY-M3,ASM3,9/25/2017,12082,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M3,-,Free,-,-,-
FS_9,ASSY,,ASSY-M2,ASM2,8/1/2017,29057,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_10,ASSY,,ASSY-M2,ASM2,8/7/2017,18794,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_11,ASSY,,ASSY-M2,ASM2,8/14/2017,14136,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_12,ASSY,,ASSY-M2,ASM2,8/21/2017,14142,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_14,ASSY,,ASSY-M2,ASM2,9/1/2017,5166,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_15,ASSY,,ASSY-M2,ASM2,9/4/2017,21294,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_16,ASSY,,ASSY-M2,ASM2,9/11/2017,23274,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_17,ASSY,,ASSY-M2,ASM2,9/18/2017,24732,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_18,ASSY,,ASSY-M2,ASM2,9/25/2017,23100,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASM2,-,Free,-,-,-
FS_19,ASSY,,ASSY-M2,ASM1a,8/1/2017,59406,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_20,ASSY,,ASSY-M2,ASM1a,8/7/2017,29703,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_21,ASSY,,ASSY-M2,ASM1a,8/14/2017,29704,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_22,ASSY,,ASSY-M2,ASM1a,8/21/2017,59408,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_23,ASSY,,ASSY-M2,ASM1a,9/1/2017,29704,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_24,ASSY,,ASSY-M2,ASM1a,9/4/2017,29702,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_25,ASSY,,ASSY-M2,ASM1a,9/11/2017,26644,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_26,ASSY,,ASSY-M2,ASM1a,9/18/2017,21359,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_27,ASSY,,ASSY-M2,ASM1a,9/25/2017,2722,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_28,ASSY,,ASSY-M2,ASM1b,8/21/2017,9897,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_29,ASSY,,ASSY-M2,ASM1b,9/1/2017,18702,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_30,ASSY,,ASSY-M2,ASM1b,9/4/2017,22146,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_31,ASSY,,ASSY-M2,ASM1b,9/11/2017,18492,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
FS_32,ASSY,,ASSY-M2,ASM1c,9/18/2017,171,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ASSY-M2,-,Free,-,-,-
SI_COPPER_M2,ASM3,-,ASSY-M2,ASM3,-,2000,s,-,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,COPPER,ASSY
SI_GOLD_M2,ASM3,-,ASSY-M2,ASM3,7/15/2017,1500,f,-,1500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GOLD,ASSY
SI_FG4VMI2,FG4,-,VMI2,FG4,-,2000,s,-,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DEMAND_4,-,-
