SUPPLY_ID,DESCRIPTION,VENDOR_ID,LOCATION_ID,PRODUCT_ID,SUPPLY_DATE,QTY,STATUS,METHOD,COST,FAB_LOC,FAB_PART_ID,LOT_ID,TECHNOLOGY,MASK_LAYERS,WAFER_SIZE,MAT_TYPE,PASSIVATION,BUMP_LOC,PROBE_LOC,DB_LOC,PACKAGE_FAMILY,PACKAGE,ASSY_LOC,TEST_LOC,DM_SPEC,DEMAND_ID,WIRE_COLOR,PROD_AREA,ALLOCATION
SI_COPPER_M2,ASM3,-,WTEST-M1,ASM3,-,200,s,-,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,COPPER,ASSY,FREE
SI_GOLD_M2,ASM3,-,WTEST-M1,ASM3,-,200,s,-,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,GOLD,ASSY,FREE
SI_FG4VMI2,FG4,-,VMI2,FG4,-,2000,s,-,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,DEMAND_4,COPPER,-,DEMAND_4
SI-VIP,ASM4,,ASSY-M2,ASM4,-,10000,s,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,COPPER,-,VIP
FS-1,RAW,-,FAB1,RAW,8/11/2022,1500,f,-,1500,FAB1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
FS-2,RAW,-,FAB2,RAW,8/11/2022,2000,f,-,2000,FAB2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-1,RAW,-,FAB1,RAW,-,1500,s,-,1500,FAB1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-2,RAW,-,FAB2,RAW,-,3000,s,-,3000,FAB2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-3,FG2,-,FG-DC1,FG2,-,10000,s,-,10000,-,-,-,-,-,-,-,-,WBUMP-M2,WPROB-M2,-,-,-,ASSY-M2,WTEST-M2,Free,FREE,COPPER,-,FREE
Inv-4,FG3,-,FG-DC1,FG2,-,10000,s,-,10000,-,-,-,-,-,-,-,-,WBUMP-M3,WPROB-M3,-,-,-,ASSY-M2,WTEST-M2,Free,FREE,COPPER,-,FREE
Inv-5,FG4,-,FG-DC1,FG4,-,100,s,-,100,-,-,-,-,-,-,-,-,WBUMP-M4,WPROB-M4,-,-,-,ASSY-M3,WTEST-M2,Free,FREE,COPPER,-,FREE
Inv-6,FG1a,-,FIN-ASSY,FG1a,-,100,s,-,100,FAB1,WAFER1,-,PMOS,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,FREE,COPPER,-,FREE
Inv-7,FG1b,-,FIN-ASSY,FG1b,-,11000,s,-,11000,-,WAFER1,-,PMOS,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,FREE,COPPER,-,FREE
Inv-8,FG1c,-,FIN-ASSY,FG1c,-,100,s,-,100,-,WAFER1,-,PMOS,47,12,NEW_DESIGN,PI,WBUMP-M2,WPROB-M2,DB-M3,-,601BGA-BDFC,ASSY-M2,WTEST-M2,Free,FREE,COPPER,-,FREE
Inv-9,WAFER1,-,WPROB-M1,WAFER1,-,25,s,-,25,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-10,COMPONENT11,-,FIN-ASSY,COMPONENT11,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-11,COMPONENT12,-,FIN-ASSY,COMPONENT12,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
