PRODUCT,FROM_LOCATION,TO_LOCATION,TRANS_RT,MODE,PREFERENCE,COST,TRANSIT_TIME,TRANSIT_TIME_UOM,EFFECTIVE_START,EFFECTIVE_END,DEST_TYPE,ASSY_LOC,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
FG2,FG-DC1,VMI2,T_VMI2_FG-DC1_MOVE,ROAD,2,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG2,FG-DC1,VMI1,T_VMI1_FG-DC1_MOVE,ROAD,1,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG3,FG-DC1,VMI2,T_VMI2_FG-DC1_MOVE,ROAD,2,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG3,FG-DC1,VMI1,T_VMI1_FG-DC1_MOVE,ROAD,1,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG4,FG-DC1,VMI2,T_VMI2_FG-DC1_MOVE,ROAD,2,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG4,FG-DC1,VMI1,T_VMI1_FG-DC1_MOVE,ROAD,1,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG2,FG-DC2,VMI2,T_VMI2_FG-DC2_MOVE,ROAD,1,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG3,FG-DC2,VMI2,T_VMI2_FG-DC2_MOVE,ROAD,1,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG4,FG-DC2,VMI2,T_VMI2_FG-DC2_MOVE,ROAD,1,0.002,1,DAYS,-,-,VMI,-,MOVE_VMI,MOVE_VMI,MOVE,1
FG1a,FIN-ASSY,FG-DC1,T_FG-DC1_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG1b,FIN-ASSY,FG-DC1,T_FG-DC1_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
