PRODUCT,FROM_LOCATION,TO_LOCATION,TRANS_RT,MODE,PREFERENCE,COST,TRANSIT_TIME,TRANSIT_TIME_UOM,EFFECTIVE_START,EFFECTIVE_END,DEST_TYPE,ASSY_LOC,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
500-4292,SZ_MOD,VIRTUAL,-,ROAD,1,0.002,0,DAYS,-,-,-,-,VIRTUAL,VIRTUAL,ALL,1
500-4292,TL_MOD,VIRTUAL,-,ROAD,1,0.002,0,DAYS,-,-,-,-,VIRTUAL,VIRTUAL,ALL,1
500-4292,TH_MOD,VIRTUAL,-,ROAD,1,0.002,0,DAYS,-,-,-,-,VIRTUAL,VIRTUAL,ALL,1
500-4292,TW_MOD,VIRTUAL,-,ROAD,1,0.002,0,DAYS,-,-,-,-,VIRTUAL,VIRTUAL,ALL,1
260-0199,SZ_OB,SZ_MOD,-,ROAD,1,0.002,1,DAYS,-,-,-,-,SZ_MOD,MODULE,ALL,1
260-0199,SZ_OB,TW_MOD,-,ROAD,4,0.002,1,DAYS,-,-,-,-,TW_MOD,MODULE,ALL,1
260-0199,SZ_OB,TH_MOD,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_MOD,MODULE,ALL,1
260-0199,SZ_OB,TL_MOD,-,ROAD,2,0.002,1,DAYS,-,-,-,-,TL_MOD,MODULE,ALL,1
260-0199,TH_OB,SZ_MOD,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_MOD,MODULE,ALL,1
260-0199,TH_OB,TW_MOD,-,ROAD,4,0.002,1,DAYS,-,-,-,-,TW_MOD,MODULE,ALL,1
260-0199,TH_OB,TH_MOD,-,ROAD,1,0.002,1,DAYS,-,-,-,-,TH_MOD,MODULE,ALL,1
260-0199,TH_OB,TL_MOD,-,ROAD,2,0.002,1,DAYS,-,-,-,-,TL_MOD,MODULE,ALL,1
260-0199,TL_OB,SZ_MOD,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_MOD,MODULE,ALL,1
260-0199,TL_OB,TW_MOD,-,ROAD,4,0.002,1,DAYS,-,-,-,-,TW_MOD,MODULE,ALL,1
260-0199,TL_OB,TH_MOD,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_MOD,MODULE,ALL,1
260-0199,TL_OB,TL_MOD,-,ROAD,1,0.002,1,DAYS,-,-,-,-,TL_MOD,MODULE,ALL,1
280-1806,SZ_CB,SZ_OB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,SZ_OB,OB,ALL,1
280-1806,SZ_CB,TL_OB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,TL_OB,OB,ALL,1
280-1806,SZ_CB,TH_OB,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_OB,OB,ALL,1
280-1806,TL_CB,TL_OB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,TL_OB,OB,ALL,1
280-1806,TL_CB,SZ_OB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_OB,OB,ALL,1
280-1806,TL_CB,TH_OB,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_OB,OB,ALL,1
280-1806,TH_CB,TH_OB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,TH_OB,OB,ALL,1
280-1806,TH_CB,SZ_OB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_OB,OB,ALL,1
280-1806,TH_CB,TL_OB,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_OB,OB,ALL,1
280-1312-27,SZ_TXCOC,SZ_CB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-29,SZ_TXCOC,SZ_CB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-31,SZ_TXCOC,SZ_CB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-33,SZ_TXCOC,SZ_CB,-,ROAD,1,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-27,TL_TXCOC,SZ_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
280-1312-29,TL_TXCOC,SZ_CB,-,ROAD,2,0.002,1,DAYS,-,-,-,-,SZ_CB,CB,ALL,1
