LOT_ID,COMMODITY,LOCATION,STATUS,DUE_DATE,QUANTITY,COST,OpOverrideType,ASSY_LOC,GRADE_DECOMPOSITION,FAB_LOC,FAB_PART_ID,WAFER_LOT,TECHNOLOGY,MASK_LAYERS,WAFER_SIZE,MAT_TYPE,PASSIVATION,BUMP_LOC,BUMP_TYPE,PROBE_LOC,DB_LOC,PACKAGE_FAMILY,PACKAGE,TEST_LOC
WIP-TEST_ASYM2,TEST4,WTEST-M2,waiting_after,7/10/2022,50001,50001,-,ASSY-M2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WO-1,WAFER1,FAB1,fixed,7/10/2022,6000,100000,-,-,-,FAB1,-,-,PMOS,-,-,-,-,-,-,-,-,-,-,-
WO-2,WAFER2,FAB1,fixed,7/10/2022,2000,100000,-,-,-,FAB1,-,-,PMOS,-,-,-,-,-,-,-,-,-,-,-
WO-3,WAFER1,FAB2,fixed,7/10/2022,1000,100000,-,-,-,FAB2,-,-,PMOS,-,-,-,-,-,-,-,-,-,-,-
WIP-1,BUMP4,WBUMP-M2,in_process,7/11/2022,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-2,PROBE4,WPROB-M2,in_process,7/12/2022,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-3,ASM4,ASSY-M2,in_process,7/14/2022,25950,25950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-4,ASM4,ASSY-M2,in_process,8/4/2022,25850,25850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-5,ASM4,ASSY-M2,in_process,10/20/2022,25750,25750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-6,ASM4,ASSY-M2,in_process,11/10/2022,25650,25650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-7,TEST1a,WTEST-M1,waiting_after,7/10/2022,100000,100000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-8,TEST2,WTEST-M2,waiting_after,7/10/2022,80000,80000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-9,TEST4,WTEST-M2,in_process,7/12/2022,25675,25675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-10,DIE2,ASSY-M2,waiting_after,7/10/2022,150000,150000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-11,DIE1,ASSY-M2,waiting_after,7/10/2022,100000,100000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-12,DIE1,ASSY-M2,waiting_after,7/10/2022,200000,200000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-13,DIE2,ASSY-M2,in_process,8/1/2022,80000,80000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-14,DIE1,ASSY-M2,in_process,9/1/2022,14000,14000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-15,DIE3,ASSY-M3,waiting_after,7/10/2022,20000,20000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-16,DIE3,ASSY-M3,in_process,9/1/2022,12000,12000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-17,ASM1a,ASSY-M2,waiting_after,7/10/2022,200000,200000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-18,ASM2,ASSY-M2,waiting_after,7/10/2022,100000,100000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-19,ASM3,ASSY-M3,waiting_after,7/10/2022,10000,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-20,ASM3,WTEST-M1,waiting_after,7/10/2022,10000,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
