LOT_ID,COMMODITY,LOCATION,STATUS,DUE_DATE,QUANTITY,COST,OpOverrideType,ASSY_LOC,GRADE_DECOMPOSITION,FAB_LOC,WIRE_COLOR,ALLOCATION,WAFER_LOT,TECHNOLOGY,MASK_LAYERS,WAFER_SIZE,MAT_TYPE,PASSIVATION,BUMP_LOC,BUMP_TYPE,PROBE_LOC,DB_LOC,PACKAGE_FAMILY,PACKAGE,TEST_LOC
WIP-TEST_ASYM2,TEST4,WTEST-M2,waiting_after,7/10/2022,5000,5000,-,ASSY-M2,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-1,BUMP4,WBUMP-M2,in_process,7/11/2022,25,25,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-2,PROBE4,WPROB-M2,in_process,7/12/2022,25,25,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-3,ASM4,ASSY-M2,in_process,7/14/2022,25950,25950,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-4,ASM4,ASSY-M2,in_process,8/4/2022,25850,25850,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-5,ASM4,ASSY-M2,in_process,10/20/2022,25750,25750,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-6,ASM4,ASSY-M2,in_process,11/10/2022,25650,25650,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-7,TEST1a,WTEST-M1,waiting_after,7/10/2022,500000,100000,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-8,TEST1b,WTEST-M1,waiting_after,7/10/2022,500000,100000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-9,TEST1c,WTEST-M1,waiting_after,7/10/2022,50000,100000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-10,TEST2,WTEST-M2,waiting_after,7/10/2022,80000,80000,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-11,TEST4,WTEST-M2,in_process,7/12/2022,51350,51350,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-12,DIE2,ASSY-M2,waiting_after,7/10/2022,15000,150000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-13,DIE1,ASSY-M2,waiting_after,7/10/2022,10000,100000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-14,DIE1,ASSY-M2,waiting_after,7/10/2022,20000,200000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-15,DIE2,ASSY-M2,in_process,8/1/2022,80000,80000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-16,DIE1,ASSY-M2,in_process,9/1/2022,14000,14000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-17,DIE3,ASSY-M3,waiting_after,7/10/2022,20000,20000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-18,DIE3,ASSY-M3,in_process,9/1/2022,12000,12000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-19,ASM1a,ASSY-M2,waiting_after,7/10/2022,500000,500000,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-20,ASM2,ASSY-M2,waiting_after,7/10/2022,500001,500001,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-21,ASM4,ASSY-M3,waiting_after,7/10/2022,100000,100000,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-22,ASM4,WTEST-M1,waiting_after,7/10/2022,100000,100000,-,-,-,-,COPPER,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-23,ASM1b,ASSY-M2,waiting_after,7/10/2022,50000,50000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
WIP-24,ASM1c,ASSY-M2,waiting_after,7/10/2022,50000,50000,-,-,-,-,-,FREE,-,-,-,-,-,-,-,-,-,-,-,-,-
