process,location,manufacture
TX,1000,M
OE,1000,M
Module,VIRTUAL,NULL
Preform,1000,M
RX,1000,M
LENS,1000,M
OB,1000,M
TX COC,1000,M
CB,1000,M
TX,2000,M
OE,2000,M
Module,1000,M
Preform,2000,M
RX,2000,M
LENS,2000,M
OB,2000,M
TX COC,2000,M
CB,2000,M
TX,5000,M
OE,5000,M
Module,2000,M
Preform,5000,M
RX,5000,M
LENS,5000,M
OB,5000,M
TX COC,5000,M
CB,5000,M
TX,6000,NULL
OE,6000,NULL
Preform,6000,NULL
RX,6000,NULL
LENS,6000,NULL
OB,6000,NULL
TX COC,6000,NULL
CB,6000,NULL
subcon,SUB_PCBA,M
subcon,1000,NULL
subcon,2000,NULL
subcon,5000,NULL
subcon,6000,NULL
Saleable,VIRTUAL,M
Module,5000,M
Module,6000,M
dummy,1000,M
dummy,2000,M
dummy,5000,M
dummy,6000,M
