process,from,to,length
OE,1000,2000,2
OE,1000,5000,11
OE,1000,6000,11
OE,2000,5000,11
OE,2000,6000,11
OB,1000,2000,2
OB,1000,5000,11
OB,1000,6000,11
OB,2000,5000,11
OB,2000,6000,11
Module,1000,VIRTUAL,0
Module,2000,VIRTUAL,0
Module,5000,VIRTUAL,0
Module,6000,VIRTUAL,0
subcon,SUB_PCBA,1000,2
subcon,SUB_PCBA,2000,2
subcon,SUB_PCBA,5000,11
subcon,SUB_PCBA,6000,11
OE,2000,1000,2
LENS,1000,2000,2
LENS,2000,1000,2
CB,1000,5000,11
CB,2000,5000,11
Receptacle,1000,5000,11
Receptacle,2000,5000,11
TX,1000,5000,11
TX,2000,5000,11
Preform,1000,5000,11
Preform,2000,5000,11
