USER_CLASS_ID,USER_NAME,USER_TYPE,USER_DESC
BOM_0,NEW_SUPPLY,String,
CONSTRAINT_0,CATEGORY,String,
CONSTRAINT_0,COMMODITY,String,
CONSTRAINT_0,CORRESPONDS,String,
CONSTRAINT_0,HIER_LEVEL_1,String,
CONSTRAINT_0,HIER_LEVEL_2,String,
CONSTRAINT_0,HIER_LEVEL_3,String,
CONSTRAINT_0,LOCATION,String,
CONSTRAINT_0,PLANNER,String,
CONSTRAINT_0,RELATION,String,
CONSTRAINT_0,TIME_LEVEL,String,
CONSTRAINT_0,VENDOR,String,
CUSTOMER_0,CUSTOMER_PREF,String,
CUSTOMER_0,HIER_LEVEL_1,String,
CUSTOMER_0,HIER_LEVEL_2,String,
CUSTOMER_0,HIER_LEVEL_3,String,
DEMANDS_0,ALLOCATION_GROUPING,String,
DEMANDS_0,ALLOCATION_S,String,
DEMANDS_0,ASSY_LOC_S,String,
DEMANDS_0,DM_SPEC_S,String,
DEMANDS_0,FAB_LOC_S,String,
DEMANDS_0,REL_OK,String,
LOCATION_0,HIER_LEVEL_1,String,
LOCATION_0,HIER_LEVEL_2,String,
LOCATION_0,HIER_LEVEL_3,String,
LOCATION_0,LOC_ID,String,
LOCATION_0,LOC_TYPE,String,
LOCATION_0,REGION,String,
METHOD_0,ASSY_LOC,String,
METHOD_0,BUMP_LOC,String,
METHOD_0,BUMP_TYPE,String,
METHOD_0,COST_DIRECT,Cost,
METHOD_0,COST_INDIRECT,Cost,
METHOD_0,DB_LOC,String,
METHOD_0,DM_SPEC,String,
METHOD_0,END_ITEM,String,
METHOD_0,FAB_LOC,String,
METHOD_0,FAB_PART_ID,String,
METHOD_0,HIER_LEVEL_1,String,
METHOD_0,HIER_LEVEL_2,String,
METHOD_0,HIER_LEVEL_3,String,
METHOD_0,LOC_ID,String,
METHOD_0,MASK_LAYERS,String,
METHOD_0,MAT_TYPE,String,
METHOD_0,OpOverrideType,String,
METHOD_0,PACKAGE_TYPE,String,
METHOD_0,PASSIVIATION,String,
METHOD_0,PROBE_LOC,String,
METHOD_0,process_unit_cost,Cost,
METHOD_0,PROD_AREA,String,
METHOD_0,PSI_GROUP,String,
METHOD_0,TECHNOLOGY,String,
METHOD_0,TEST_LOC,String,
METHOD_0,WAFER_LOT,String,
METHOD_0,WAFER_SIZE,String,
PRODLOC_0,A_MAT_STATUS,String,
PRODLOC_0,ASSY_LOC,String,
PRODLOC_0,BUMP_LOC,String,
PRODLOC_0,BUMP_TYPE,String,
PRODLOC_0,COST_DIRECT,Cost,
PRODLOC_0,COST_INDIRECT,Cost,
PRODLOC_0,DB_LOC,String,
PRODLOC_0,DM_SPEC,String,
PRODLOC_0,END_ITEM,String,
PRODLOC_0,FAB_LOC,String,
PRODLOC_0,FAB_PART_ID,String,
PRODLOC_0,HIER_LEVEL_1,String,HIER_LEVEL_1
PRODLOC_0,HIER_LEVEL_2,String,HIER_LEVEL_2
PRODLOC_0,HIER_LEVEL_3,String,HIER_LEVEL_3
PRODLOC_0,HOLD_COST,Number,OpOverrideType
PRODLOC_0,LOC_ID,String,PROD_AREA
PRODLOC_0,MASK_LAYERS,String,PRODUCT_FAMILY
PRODLOC_0,MAT_TYPE,String,PRODUCT_GROUP
PRODLOC_0,OpOverrideType,String,product_unit_cost
PRODLOC_0,PACKAGE,String,
PRODLOC_0,PACKAGE_FAMILY,String,SOURCING_UDA
PRODLOC_0,PASSIVATION,String,
PRODLOC_0,PROBE_LOC,String,
PRODLOC_0,PROD_AREA,String,
PRODLOC_0,PRODUCT_FAMILY,String,
PRODLOC_0,PRODUCT_GROUP,String,
PRODLOC_0,product_unit_cost,Cost,
PRODLOC_0,PSI_GROUP,String,
PRODLOC_0,SHARED,String,
PRODLOC_0,SOURCING_UDA,String,
PRODLOC_0,TECHNOLOGY,String,
PRODLOC_0,TEST_LOC,String,
PRODLOC_0,WAFER_LOT,String,
PRODLOC_0,WAFER_SIZE,String,
PRODUCT_0,A_MAT_STATUS,String,END_ITEM
PRODUCT_0,END_ITEM,String,
PRODUCT_0,FG_HIER_LEVEL_1,String,FG_HIER_LEVEL_1
PRODUCT_0,FG_HIER_LEVEL_2,String,FG_HIER_LEVEL_2
PRODUCT_0,FG_HIER_LEVEL_3,String,FG_HIER_LEVEL_3
PRODUCT_0,HIER_LEVEL_1,String,HIER_LEVEL_1
PRODUCT_0,HIER_LEVEL_2,String,HIER_LEVEL_2
PRODUCT_0,HIER_LEVEL_3,String,HIER_LEVEL_3
PRODUCT_0,LATE_FORECAST,String,PRODAREA
PRODUCT_0,LATE_SALES,String,
PRODUCT_0,PRODAREA,String,
PRODUCT_0,PSI_GROUP,String,
RESOURCE_0,HIER_LEVEL_1,String,HIER_LEVEL_1
RESOURCE_0,HIER_LEVEL_2,String,HIER_LEVEL_2
RESOURCE_0,HIER_LEVEL_3,String,HIER_LEVEL_3
RESOURCE_0,OpOverrideType,String,OpOverrideType
SUPPLY_0,ALLOCATION,String,
SUPPLY_0,ASSY_LOC,String,
SUPPLY_0,BUMP_LOC,String,
SUPPLY_0,BUMP_TYPE,String,
SUPPLY_0,DB_LOC,String,
SUPPLY_0,DM_SPEC,String,
SUPPLY_0,FAB_LOC,String,
SUPPLY_0,FAB_PART_ID,String,
SUPPLY_0,GradeDecomposition,String,
SUPPLY_0,LOT_ID,String,
SUPPLY_0,MASK_LAYERS,String,
SUPPLY_0,MAT_TYPE,String,
SUPPLY_0,PACKAGE_FAMILY,String,
SUPPLY_0,PACKAGE_TYPE,String,
SUPPLY_0,PASSIVATION,String,
SUPPLY_0,PROBE_LOC,String,
SUPPLY_0,TECHNOLOGY,String,
SUPPLY_0,TEST_LOC,String,
SUPPLY_0,WAFER_LOT,String,
SUPPLY_0,WAFER_SIZE,String,
VENDOR_0,HIER_LEVEL_1,String,
VENDOR_0,HIER_LEVEL_2,String,
VENDOR_0,HIER_LEVEL_3,String,
VENDOR_0,VENDOR_TYPE,String,
WIP_0,ALLOCATION,String,
WIP_0,ALLOCATION_S,String,
WIP_0,ASSY_LOC,String,
WIP_0,ASSY_LOC_S,String,
WIP_0,BUMP_LOC,String,
WIP_0,BUMP_TYPE,String,
WIP_0,DB_LOC,String,
WIP_0,DM_SPEC,String,
WIP_0,DM_SPEC_S,String,
WIP_0,FAB_LOC,String,
WIP_0,FAB_LOC_S,String,
WIP_0,FAB_PART_ID,String,
WIP_0,GradeDecomposition,String,
WIP_0,MASK_LAYERS,String,
WIP_0,MAT_TYPE,String,
WIP_0,OpOverrideType,String,
WIP_0,PACKAGE_FAMILY,String,
WIP_0,PACKAGE_TYPE,String,
WIP_0,PASSIVATION,String,
WIP_0,PROBE_LOC,String,
WIP_0,PSI_GROUP,String,
WIP_0,REL_OK,String,
WIP_0,TECHNOLOGY,String,
WIP_0,TEST_LOC,String,
WIP_0,WAFER_LOT,String,
WIP_0,WAFER_SIZE,String,
