ATT_CORE_NAME,TABLE_NAME
act_duration,ActLots
act_ix,ActLots
act_ix,SFSActPortion
act_ix,SFSLotAct
act_ix,SFSResAct
act_ix,SFSResPortion
action_1,ConstraintActElem
action_2,ConstraintActElem
action_3,ConstraintActElem
action_end,ConstraintActElem
action_end,ConstraintOverrideEl
action_is_script,BusinessRule
action_one,ConstraintOverrideEl
action_start,ConstraintActElem
action_start,ConstraintOverrideEl
action_text,BusinessRule
action_three,ConstraintOverrideEl
action_two,ConstraintOverrideEl
ada_id,ObjectCharacteristic
algorithm_stage,Constraint
algorithm_stage_focus,Constraint
atom_flag,Connections
atom_grade,Connections
atom_qty,Connections
attr_value,PriorityMatrixElem
attribute_id,FilterRuleCriteria
avg_batch_volume,Resource
avg_time,Resource
bal_per_mgr_id,Cal
balance_order,Inventory
base_id,Supply
base_id,WorkOrders
base_percent,Demand
batch_id,BatchIdElem
batch_period,Op
batch_period,OpOverridesCom
batch_period,OpOverridesRes
batch_period,OpOverridesString
batch_period,OpOverridesTime
batch_period,Resource
batch_scale_factor,Op
batch_scale_factor,OpOverridesCom
batch_scale_factor,OpOverridesRes
batch_scale_factor,OpOverridesString
batch_scale_factor,OpOverridesTime
batch_size,BoM
batch_type,Resource
boc_id,BoCElem
boc_id,Method
bog_id,BoGElem
bog_id,Method
bom_batch_size,SFSConnections
bom_elem_ix,SFSConnections
bom_id,BoMElem
bom_id,BoMElemProperty
bom_id,Method
bor_alt_id,BoRAltElem
bor_alt_id,Op
bor_alt_id,OpOverridesCom
bor_alt_id,OpOverridesRes
bor_alt_id,OpOverridesString
bor_alt_id,OpOverridesTime
bor_choice_rule,BoRAlt
bor_id,BoRAltElem
bor_id,BoRElem
bor_id,SetupBoRs
bor_id,WipStepLots
bor_pre_rule,BoRAlt
boundary,PeriodMgrElem
bucket_size,DemandProperty
build_period,Inventory
c_type,Constraint
cap_exc_desc,ResCapExc
cap_exc_desc,StorageCapExc
cap_exc_dur,ResCapExc
cap_exc_dur,StorageCapExc
cap_exc_qty,ResCapExc
cap_exc_qty,StorageCapExc
cap_exc_type,ResCapExc
cap_exc_type,StorageCapExc
cap_factor,ResCapInter
cap_factor,StorageCapInter
cap_pattern_id,CapPatternElem
capable_override_flag,ResCapInter
capable_override_flag,StorageCapInter
capable_type,Op
capable_type,OpOverridesCom
capable_type,OpOverridesRes
capable_type,OpOverridesString
capable_type,OpOverridesTime
capable_type,ResCapInter
capable_type,Resource
capable_type,StorageCapInter
capacity_check,Cal
care,Resource
care,Storage
care_flag,Inventory
care_flag,Location
carry_cost,Inventory
carry_cost,Location
casc_time,Resource
cascade_flag,Resource
cassete_number,Resource
CFI,Inventory
cfi,Method
cfi,WorkOrders
cfi_class,CfiOverrideElem
cfi_flag,CfiOverrideElem
cfi_override,Op
cfi_override,OpOverridesCom
cfi_override,OpOverridesRes
cfi_override,OpOverridesString
cfi_override,OpOverridesTime
cfi_override,RouteRouteSegm
cfi_override,RouteSegment
cfi_override_id,CfiOverrideElem
cfi_type,CfiOverrideElem
CFI_type,Inventory
cfi_type,Method
cfi_type,WorkOrders
check_all_methods,Inventory
class_id,VAttr
class_id,VAttrValueBag
class_id,VAttrValueDouble
class_id,VAttrValueInt
class_id,VAttrValueString
class_id,VAttrValueTime
cluster_list,Resource
com_grp_id,ComGrpElem
com_id,BoMElem
com_id,OpOverridesCom
com_id,OpOverridesRes
com_id,OpOverridesString
com_id,OpOverridesTime
combinable,Supply
combinable,WorkOrders
comm_bom_id,BoM
committed_due_time,Demand
commodity,Inventory
commodity,RouteSegStepSeq
commodity_id,BoCElem
commodity_id,ComGrpElem
commodity_id,CommodityGrades
condition,FilterRuleCriteria
condition_is_script,BusinessRule
condition_text,BusinessRule
conjunction,BoMElem
connection_ix,Connections
cons_lot_setup,Resource
constraint_id,ConstraintActElem
constraint_id,ConstraintElem
constraint_id,ConstraintOverrideEl
consume,WorkOrders
consumption_mode,BoMElem
consumption_mode,Method
consumption_mode,SFSConnections
consumption_rate,SFSConnections
consumption_rule,BoMElem
context_name,ConstraintElem
conv_factor,Inventory
cost,MethodAltElem
cost,SafetyStock
cost,Supply
cost,WorkOrders
create_index,Supply
create_index,WorkOrders
criteria_order,SortRuleCriteria
criteria_string,SortRuleCriteria
criterion_name,EMSThresCriterRankElem
criterion_rank,EMSThresCriterRankElem
criterion_type,EMSCriterion
ct_id,ConstraintElem
ct_id,ConstraintOverrideEl
ct_id,ConstraintTargetElem
ct_type,ConstraintTarget
ctf,DemandElem
ctf,WorkOrders
current_base_id,Inventory
cust_id,CustGrpElem
custgrp_id,CustGrpElem
customer_id,Demand
cycle,PrevMain
cycle_days_supply,Method
cycle_mode,CfiFactor
cycle_type,PrevMain
d_endtime,Connections
d_grade,Connections
d_index,Connections
d_ref_id,Connections
d_starttime,Connections
d_status,Connections
d_time,Connections
d_type,Connections
default_setup_time,Op
default_setup_time,OpOverridesCom
default_setup_time,OpOverridesRes
default_setup_time,OpOverridesString
default_setup_time,OpOverridesTime
degradation_ratio,WipBuffer
delay_allowed,Resource
deliver_processed_qty,WorkOrders
delta,EMSCriterion
delta_excess,EMSThresholds
delta_excess_level,EMSThresholds
delta_lost_time,EMSThresholds
delta_max_push,EMSThresholds
delta_max_push_level,EMSThresholds
delta_penalty,PenaltyFunction
delta_wip,EMSThresholds
delta_wip_level,EMSThresholds
demand_id,DemandElem
demand_id,DemandMaster
demand_id,SFSConnections
demand_master_id,DemandMasterElem
demand_period,Inventory
description,BatchId
description,BoC
description,BoG
description,BoM
description,BoR
description,BoRAlt
description,BusinessRule
description,CapPattern
description,CfiOverride
description,ComGrp
description,Commodity
description,Constraint
description,ConstraintTarget
description,CustGrp
description,Customer
description,Demand
description,DemandMaster
description,DemandProperty
description,EMSCriterion
description,EMSThresholds
description,FilterRule
description,Holiday
description,HolidayElem
description,Inventory
description,KeepBatch
description,Location
description,Method
description,MethodAlt
description,ObjectCharacteristic
description,Op
description,Penalty
description,PenaltyFunction
description,PeriodMgr
description,PrevMain
description,PriorityMatrix
description,ResAlt
description,Resource
description,ResPrevPrgrm
description,Route
description,RouteSegment
description,Setup
description,SetupMatrix
description,SortRule
description,StepSeq
description,Storage
description,StorageAlt
description,Supply
description,VAttr
description,Vendor
description,WipBuffer
description,WorkOrders
description2_text,BusinessRule
desired_start_time,WorkOrders
dest_loc_id,Method
discrete_rounding,BoMElem
disjunction,BoMElem
downstream_propagation,Inventory
downtime_mode,Resource
dst_rule,Cal
due_time,WorkOrders
duration,CapPatternElem
duration,ResTransferTime
duration,SetupMatrixModif
efective_end,MethodAltElem
efective_start,MethodAltElem
effective_end,BoMElem
effective_start,BoMElem
elem_ix,BoCElem
elem_ix,BoMElem
elem_ix,BoMElemProperty
elem_ix,BoRAltElem
elem_ix,ConstraintActElem
elem_ix,ConstraintElem
elem_ix,ConstraintOverrideEl
elem_ix,ConstraintTargetElem
elem_ix,DemandElem
elem_ix,EMSThresCriterRankElem
