ATT_USER_CLASS_ID,ATT_UDS_CLASS_ID,ATT_USER_CLASS_DESC,SOURCE_TABLE_NAME,UDS_TABLE_NAME,UPDATE_CONDITION
BOM_0,BoM,BOM UDAS ASSOCIATED TO UDS BoM_M2U,ADX_BOM,BoM_M2U,u.id = 'BOM' + '_' + m.BOM_ID COLLATE DATABASE_DEFAULT
BOMELEM_0,BoMElem,BOM UDAS ASSOCIATED TO UDS BoMElem_M2U,ADX_BOM,BoMElem_M2U,u.bom_id = 'BA' + '_' + PARENT_ID + '_' + BOM_ID + '_' + LOCATION_ID + CASE WHEN ALT_GROUP IS NOT NULL THEN '_' + ALT_GROUP ELSE '' END
CAPPATTERNELEM_0,CapPatternElem,CAPPATTERNELEM UDAs associated to UDS CapPatternElem,ADX_CAPPATTERN,CapPatternElem_M2U,"u.cap_pattern_id = m.CAP_PATTERN_ID COLLATE DATABASE_DEFAULT AND u.idx = m.IDX "
CUSTOMER_0,Customer,CUSTOMER UDAS ASSOCIATED TO UDS CUSTOMER,ADX_CUSTOMER,Customer_M2U,u.id = m.SOLD_TO_ID COLLATE DATABASE_DEFAULT
DEMAND_0,Demand,DEMAND UDAS ASSOCIATED TO UDS DEMANDS,ADX_DEMAND,Demand_M2U,u.id = m.DEMAND_ID COLLATE DATABASE_DEFAULT
DEMANDELEM_0,DemandElem,DEMANDELEM UDAS ASSOCIATED TO UDS DemandElem,ADX_DEMAND,DemandElem_M2U,u.demand_id = m.DEMAND_ID COLLATE DATABASE_DEFAULT AND u.elem_ix = m.ELEM_IX
DEMANDS_0,Demand,DEMAND UDAS ASSOCIATED TO UDS DEMANDS,ADX_DEMAND,Demand_M2U,u.id = m.id COLLATE DATABASE_DEFAULT
LOCATION_0,Location,Location UDAs associated to UDS Location,ADX_LOCATION,Location_M2U,u.id = m.LOCATION_ID COLLATE DATABASE_DEFAULT
METHODBUY_0,Method,Method UDAs associated to UDS Method,ADX_METHOD_BUY,Method_M2U,u.method_type = 'MethodBuy' AND u.id = 'P_' + m.PRODUCT_ID  + 'SEP' + m.LOCATION_ID
METHODMAKE_0,Method,Method UDAs associated to UDS Method,ADX_METHOD_MAKE,Method_M2U,"u.method_type = 'MethodMake' AND u.route_id = m.route_id COLLATE DATABASE_DEFAULT AND u.location_id = m.LOCATION_ID COLLATE DATABASE_DEFAULT AND "
METHODMOVE_0,Method,Method UDAs associated to UDS Method,ADX_TRANSPORTATION,Method_M2U,u.method_type = 'MethodMove' AND u.id = 'T_' + PRODUCT_ID + 'SEP' + TO_LOCATION + '_' + FROM_LOCATION + CASE TRANSPORTATION_MODE WHEN NULL THEN '' ELSE '_' + TRANSPORTATION_MODE END
OPERATION_0,Operation,Operation UDAs associated to UDS Operation,ADX_OPERATION,Op_M2U,u.id = m.OPERATION_ID COLLATE DATABASE_DEFAULT
PRODLOC_0,Inventory,PRODUCT - location UDAS ASSOCIATED TO UDS inventory,ADX_PRODUCTLOCATION,Inventory_M2U,u.commodity = m.PROD_SKU_ID COLLATE DATABASE_DEFAULT AND u.location = m.LOCATION_ID COLLATE DATABASE_DEFAULT
PRODUCT_0,Commodity,Commodit UDAs,ADX_PRODUCT,Commodity_M2U,u.id = m.PROD_SKU_ID COLLATE DATABASE_DEFAULT
PRODUCTSUB_0,Method,Product Substitute UDA on Method,ADX_PRODUCT_SUBSTITUTE,Method_M2U,"u.method_type = 'MethodMake' AND u.id = 'M_' + m.PRODUCT_ID COLLATE DATABASE_DEFAULT + '_SUB_' + m.SUB_PROD_ID COLLATE DATABASE_DEFAULT + '_' + m.LOCATION_ID COLLATE DATABASE_DEFAULT + '_' + "
RESOURCE_0,Resource,RESOURCE UDAS ASSOCIATED TO UDS RESOURCE,ADX_RESOURCE,Resource_M2U,u.id = m.RESOURCE_ID COLLATE DATABASE_DEFAULT
SETUPMATRELATION_0,SetupMatRelation,SetupMatRelation UDAs associated to UDS SetupMatRelation,ADX_SETUP,SetupMatRelation_M2U,NULL
SUPPLY_0,Supply,SUPPLY UDAS ASSOCIATED TO UDS SUPPLY,ADX_SUPPLY,Supply_M2U,u.id = m.SUPPLY_ID COLLATE DATABASE_DEFAULT
VENDOR_0,Vendor,Vendor UDAs associated to UDS Vendor,ADX_VENDOR,Vendor_M2U,u.id=m.VENDOR_ID COLLATE DATABASE_DEFAULT
WIP_0,WorkOrders,WORKORDER UDAS ASSOCIATED TO UDS WORKORDERS - BOTH WIP AND GRAYBOX_WIP,ADX_WORKORDERS,WorkOrders_M2U,u.id = m.LOT_ID COLLATE DATABASE_DEFAULT
WIP_1,WipStepLots,WIP UDAS ASSOCIATED TO UDS WipStepLots,ADX_WIP,WipStepLots_M2U," u.lot_id = m.LOT_ID COLLATE DATABASE_DEFAULT AND u.sequence_id=m.STEP_SEQUENCE_ID COLLATE DATABASE_DEFAULT "
