MODEL_ID,ERROR_ID,SOURCE_TABLE_NAME,SOURCE_COLUMN_NAME,LOOKUP_TABLE_NAME,ERROR_VALUE,ERROR_TIMESTAMP,RELATED_IDENTIFIER
DSM,22000,NULL,NULL,NULL,000000000005050241@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050251@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050252@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050281@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050291@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050292@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050303@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050591@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050592@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000000005050593@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650017@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650040@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650041@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650042@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650043@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650044@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650045@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650046@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650047@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650048@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650049@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650050@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650051@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650052@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650053@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650054@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650055@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650056@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650057@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650059@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650060@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650061@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650111@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650112@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650113@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650114@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650115@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650211@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650212@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650213@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650214@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,000000002051650215@7040,2024-05-03 06:10:07.040,NULL
