BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END
BOM_500-3301,1000,500-3301,,1,1,502-1559,-,-,-,-,-,-
BOM_500-3301,2000,500-3301,,1,1,502-1559,-,-,-,-,-,-
BOM_500-3301,5000,500-3301,,1,1,502-1559,-,-,-,-,-,-
BOM_500-3301,6000,500-3301,,1,1,502-1559,-,-,-,-,-,-
BOM_502-1559,1000,502-1559,,1,1,260-0102,-,-,-,-,-,-
BOM_502-1559,2000,502-1559,,1,1,260-0102,-,-,-,-,-,-
BOM_502-1559,5000,502-1559,,1,1,260-0102,-,-,-,-,-,-
BOM_260-0102,1000,260-0102,,1,1,280-0927,-,-,-,-,-,-
BOM_260-0102,2000,260-0102,,1,1,280-0927,-,-,-,-,-,-
BOM_260-0102,5000,260-0102,,1,1,280-0927,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,1,1,280-0804-27,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,1,1,280-0804-27,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,1,1,280-0804-27,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,2,2,280-0804-29,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,2,2,280-0804-29,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,2,2,280-0804-29,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,3,3,280-0804-31,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,3,3,280-0804-31,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,3,3,280-0804-31,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,4,4,280-0804-33,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,4,4,280-0804-33,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,4,4,280-0804-33,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0926,LOCATION-PCBA-Subcon,280-0926,,1,1,504-1319,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,1,1,140-0392,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,2,2,140-0221,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,3,3,140-0341,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,4,4,140-0179,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,5,5,140-0246,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,6,6,140-0386,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,7,7,140-0253,-,-,-,-,-,-
