PRODUCT_ID,LOCATION,ROUTE_ID,PREFERENCE,COST,BOM_ID,BOG_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost,UDA_string_-_-_DMDSPEC,UDA_string_to_workorder_no_ASSY_LOC,UDA_string_to_workorder_no_FAB_LOC
500-3301,1000,ROUTE_COP_Module,1,0,BOM_500-3301,-,-,-,-,-,-,1,-,-,-
502-1559,1000,ROUTE_dummy,1,0,BOM_502-1559,-,-,-,-,-,-,1,-,-,-
260-0102,1000,ROUTE_COP_OB,1,0,BOM_260-0102,-,-,-,-,-,-,1,-,-,-
280-0927,1000,ROUTE_COP_CB,1,0,BOM_280-0927,-,-,-,-,-,-,1,-,-,-
280-0804-27,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-27,-,-,-,-,-,-,1,-,-,-
280-0804-29,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-29,-,-,-,-,-,-,1,-,-,-
280-0804-31,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-31,-,-,-,-,-,-,1,-,-,-
280-0804-33,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-33,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-0927_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-0927_A2,-,-,-,-,-,-,1,-,-,-
280-0926,1000,ROUTE_dummy,1,0,BOM_280-0926,-,-,-,-,-,-,1,-,-,-
504-1319,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1319,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-0927_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-0927_A2,-,-,-,-,-,-,1,-,-,-
280-0926-02,1000,ROUTE_dummy,1,0,BOM_280-0926-02,-,-,-,-,-,-,1,-,-,-
504-1548,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1548,-,-,-,-,-,-,1,-,-,-
280-0802,1000,ROUTE_COP_Preform,1,0,BOM_280-0802,-,-,-,-,-,-,1,-,-,-
280-0913,1000,ROUTE_COP_Preform,1,0,BOM_280-0913,-,-,-,-,-,-,1,-,-,-
280-0551,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0551,-,-,-,-,-,-,1,-,-,-
280-0552,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0552,-,-,-,-,-,-,1,-,-,-
500-3378,1000,ROUTE_COP_Module,1,0,BOM_500-3378,-,-,-,-,-,-,1,-,-,-
502-1633,1000,ROUTE_dummy,1,0,BOM_502-1633,-,-,-,-,-,-,1,-,-,-
500-3394,1000,ROUTE_COP_Module,1,0,BOM_500-3394,-,-,-,-,-,-,1,-,-,-
502-1678,1000,ROUTE_dummy,1,0,BOM_502-1678,-,-,-,-,-,-,1,-,-,-
260-0120,1000,ROUTE_COP_OB,1,0,BOM_260-0120,-,-,-,-,-,-,1,-,-,-
280-0927,1000,ROUTE_COP_CB,1,0,BOM_280-0927,-,-,-,-,-,-,1,-,-,-
280-0804-27,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-27,-,-,-,-,-,-,1,-,-,-
