RESOURCE_ID,DESCRIPTION,LOCATION,RES_TYPE,BATCH_PERIOD,BATCH_TYPE,AVG_BATCH_VOLUME,MIN_BATCH_VOLUME,MAX_BATCH_VOLUME,SPEED_FACTOR,MULTI_RES_FACTOR,CARE,DELAY_ALLOWED,PERIOD_MGR_ID,SETUP_MATRIX_ID,CAPABLE_TYPE,MIX_TYPE,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,OpOverrideType,HIER_LEVEL_3-bak,HIER_LEVEL_1_bak
RESOURCE_dummy,-,,,-,-,-,-,-,-,0,2,-,,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ASSY,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ASSY,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ASSY,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ASSY,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,1000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,2000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,5000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,6000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ATS,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ATS,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ATS,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-ATS,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-TCT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-TCT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-TCT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-TCT,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-BI,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-BI,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-BI,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Module-BI,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TXAA,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TXAA,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TXAA,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-RXAA,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-RXAA,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-RXAA,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TCT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TCT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TCT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TEST,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TEST,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-OB-TEST,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-ASSY,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-ASSY,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
