,ROUTE_dummy,ROUTE_dummy,1,0,OP_dummy
Module,ROUTE-COP-Module,ROUTE-COP-Module,1,1,OP-COP-Module-ASSY
Module,ROUTE-COP-Module,ROUTE-COP-Module,1,2,OP-COP-Module-ATS
Module,ROUTE-COP-Module,ROUTE-COP-Module,1,3,OP-COP-Module-TCT
Module,ROUTE-COP-Module,ROUTE-COP-Module,1,4,OP-COP-Module-BI
Optical,ROUTE-COP-OB,ROUTE-COP-OB,1,1,OP-OB-TXAA
Optical,ROUTE-COP-OB,ROUTE-COP-OB,1,2,OP-OB-RXAA
Optical,ROUTE-COP-OB,ROUTE-COP-OB,1,3,OP-OB-TCT
Optical,ROUTE-COP-OB,ROUTE-COP-OB,1,4,OP-OB-TEST
Optical,ROUTE-COP-CB,ROUTE-COP-CB,1,1,OP-CB-ASSY
Optical,ROUTE-COP-CB,ROUTE-COP-CB,1,2,OP-CB-DA
Optical,ROUTE-COP-CB,ROUTE-COP-CB,1,3,OP-CB-TXLENS
Optical,ROUTE-COP-CB,ROUTE-COP-CB,1,4,OP-CB-WB
Optical,ROUTE-COP-CB,ROUTE-COP-CB,1,5,OP-CB-RXLENS
Optical,ROUTE-COP-CB,ROUTE-COP-CB,1,6,OP-CB-TEST
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,1,OP-TXCOC-GT
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,2,OP-TXCOC-WB
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,3,OP-TXCOC-BI
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,1,OP-TXCOC-GT
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,2,OP-TXCOC-WB
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,3,OP-TXCOC-BI
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,1,OP-TXCOC-GT
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,2,OP-TXCOC-WB
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,3,OP-TXCOC-BI
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,1,OP-TXCOC-GT
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,2,OP-TXCOC-WB
Optical,ROUTE-COP-TX-COC,ROUTE-COP-TX-COC,1,3,OP-TXCOC-BI
Optical,ROUTE-COP-PCBA-Home,ROUTE-COP-PCBA-Home,1,1,OP-PCBA-Home
Optical,ROUTE-COP-Preform,ROUTE-COP-Preform,1,1,OP-COP-Preform-ASSY
Optical,ROUTE-COP-Preform,ROUTE-COP-Preform,1,2,OP-COP-Preform-LASER
Optical,ROUTE-COP-Preform,ROUTE-COP-Preform,1,1,OP-COP-Preform-ASSY
Optical,ROUTE-COP-Preform,ROUTE-COP-Preform,1,2,OP-COP-Preform-LASER
Optical,ROUTE-COP-Receptacle,ROUTE-COP-Receptacle,1,1,OP-Receptacle
Optical,ROUTE-COP-Receptacle,ROUTE-COP-Receptacle,1,1,OP-Receptacle
Module,ROUTE-SR4-Module,ROUTE-SR4-Module,1,1,OP-SR4-Module-ASSY
Module,ROUTE-SR4-Module,ROUTE-SR4-Module,1,2,OP-SR4-Module-ATS
Module,ROUTE-SR4-Module,ROUTE-SR4-Module,1,3,OP-SR4-Module-TCT
Module,ROUTE-SR4-Module,ROUTE-SR4-Module,1,4,OP-SR4-Module-BI
Optical,ROUTE-SR4-OE,ROUTE-SR4-OE,1,1,OP-SR4-OE-TXAA
Optical,ROUTE-SR4-OE,ROUTE-SR4-OE,1,2,OP-SR4-OE-RXAA
Optical,ROUTE-SR4-OE,ROUTE-SR4-OE,1,3,OP-SR4-OE-TCT
Optical,ROUTE-SR4-OE,ROUTE-SR4-OE,1,4,OP-SR4-OE-TEST
Optical,ROUTE-SR4-Preform,ROUTE-SR4-Preform,1,1,OP-SR4-Preform-ASSY
Optical,ROUTE-SR4-Preform,ROUTE-SR4-Preform,1,2,OP-SR4-Preform-LASER
Module,ROUTE-AOC-Module,ROUTE-AOC-Module,1,1,OP-AOC-Module-ASSY
Module,ROUTE-AOC-Module,ROUTE-AOC-Module,1,2,OP-AOC-Module-ATS
Module,ROUTE-AOC-Module,ROUTE-AOC-Module,1,3,OP-AOC-Module-TCT
Module,ROUTE-AOC-Module,ROUTE-AOC-Module,1,4,OP-AOC-Module-BI
Optical,ROUTE-AOC-OE,ROUTE-AOC-OE,1,1,OP-AOC-OE-TXAA
Optical,ROUTE-AOC-OE,ROUTE-AOC-OE,1,2,OP-AOC-OE-RXAA
Optical,ROUTE-AOC-OE,ROUTE-AOC-OE,1,3,OP-AOC-OE-TCT
Optical,ROUTE-AOC-OE,ROUTE-AOC-OE,1,4,OP-AOC-OE-TEST
Optical,ROUTE-AOC-Preform,ROUTE-AOC-Preform,1,1,OP-AOC-Preform-ASSY
Optical,ROUTE-AOC-Preform,ROUTE-AOC-Preform,1,2,OP-AOC-Preform-LASER
