BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END,OBSOLETE
BOM_VirtualProduct_504-1718_D1,-,VirtualProduct_504-1718_D1,140-0645,1,1,140-0645,-,-,1,-,-,-,1
BOM_VirtualProduct_504-1878_B1,-,VirtualProduct_504-1878_B1,120-0260,1,1,120-0260,-,-,1,-,-,-,1
BOM_VirtualProduct_504-1878_C1,-,VirtualProduct_504-1878_C1,120-0310,1,1,120-0310,-,-,1,-,-,-,1
BOM_VirtualProduct_504-1878_A1,-,VirtualProduct_504-1878_A1,130-0077,100,1,130-0077,-,-,1,-,-,-,-
BOM_VirtualProduct_504-1878_D1,-,VirtualProduct_504-1878_D1,140-0253,100,1,140-0253,-,-,1,-,-,-,-
BOM_VirtualProduct_504-1820_A1,-,VirtualProduct_504-1820_A1,504-1718,1,1,504-1718,-,-,1,-,-,-,-
BOM_VirtualProduct_504-1820_A1,-,VirtualProduct_504-1820_A1,504-1878,100,1,504-1878,-,-,1,-,-,-,-
BOM_VirtualProduct_504-1820_E1,-,VirtualProduct_504-1820_E1,310-0395,1,1,310-0395,-,-,1,-,-,-,1
BOM_VirtualProduct_504-1820_E1,-,VirtualProduct_504-1820_E1,313-0010,100,1,313-0010,-,-,1,-,-,-,-
BOM_VirtualProduct_504-1972_B1,-,VirtualProduct_504-1972_B1,280-0654,1,1,280-0654,-,-,1,-,-,-,1
BOM_VirtualProduct_504-1972_C1,-,VirtualProduct_504-1972_C1,310-0395,1,1,310-0395,-,-,1,-,-,-,1
BOM_VirtualProduct_504-1972_A1,-,VirtualProduct_504-1972_A1,504-1718,100,1,504-1718,-,-,1,-,-,-,-
BOM_VirtualProduct_504-1972_B1,-,VirtualProduct_504-1972_B1,280-0654-CN,100,1,280-0654-CN,-,-,1,-,-,-,-
BOM_VirtualProduct_504-1972_C1,-,VirtualProduct_504-1972_C1,313-0010,100,1,313-0010,-,-,1,-,-,-,-
BOM_VirtualProduct_502-2502_A1,-,VirtualProduct_502-2502_A1,262-0016,1,1,262-0016,-,-,1,-,-,-,-
BOM_VirtualProduct_262-0016_A1,-,VirtualProduct_262-0016_A1,504-1718,1,1,504-1718,-,-,1,-,-,-,-
BOM_VirtualProduct_262-0016_A1,-,VirtualProduct_262-0016_A1,504-1878,100,1,504-1878,-,-,1,-,-,-,-
BOM_VirtualProduct_262-0016_E1,-,VirtualProduct_262-0016_E1,310-0395,1,1,310-0395,-,-,1,-,-,-,1
BOM_VirtualProduct_262-0016_E1,-,VirtualProduct_262-0016_E1,313-0010,100,1,313-0010,-,-,1,-,-,-,-
BOM_VirtualProduct_502-2502_A1,-,VirtualProduct_502-2502_A1,262-0018,1,1,262-0018,-,-,1,-,-,-,-
BOM_VirtualProduct_262-0018_A1,-,VirtualProduct_262-0018_A1,504-1718,1,1,504-1718,-,-,1,-,-,-,-
BOM_VirtualProduct_262-0018_A1,-,VirtualProduct_262-0018_A1,504-1878,100,1,504-1878,-,-,1,-,-,-,-
BOM_VirtualProduct_262-0018_E1,-,VirtualProduct_262-0018_E1,310-0395,1,1,310-0395,-,-,1,-,-,-,1
