BORA_ID,BOR_ID,PREFERENCE
T_BORALT_MOVE,BOR_dummy,1
BORA_dummy,BOR_dummy,1
BORA_Module_ASSY,BOR_Module_ASSY,1
BORA_Module_ATS,BOR_Module_ATS,1
BORA_Module_TCT,BOR_Module_TCT,1
BORA_Module_BI,BOR_Module_BI,1
BORA_Module_LINK,BOR_Module_LINK,1
BORA_Module_OVERLOAD,BOR_Module_OVERLOAD,1
BORA_Module_PrePKG,BOR_Module_PrePKG,1
BORA_Module_PostPKG,BOR_Module_PostPKG,1
BORA_OB_TXAA,BOR_OB_TXAA,1
BORA_OB_RXAA,BOR_OB_RXAA,1
BORA_OB_TCT,BOR_OB_TCT,1
BORA_OB_TEST,BOR_OB_TEST,1
BORA_CB_ASSY,BOR_CB_ASSY,1
BORA_CB_DA,BOR_CB_DA,1
BORA_CB_TXLENS,BOR_CB_TXLENS,1
BORA_CB_WB,BOR_CB_WB,1
BORA_CB_RXLENS,BOR_CB_RXLENS,1
BORA_CB_TEST,BOR_CB_TEST,1
BORA_TXCOC_CRYSTAL,BOR_TXCOC_CRYSTAL,1
BORA_TXCOC_LASER,BOR_TXCOC_LASER,1
BORA_TXCOC_GT,BOR_TXCOC_GT,1
BORA_TXCOC_WB,BOR_TXCOC_WB,1
BORA_TXCOC_BI,BOR_TXCOC_BI,1
BORA_Preform_ASSY,BOR_Preform_ASSY,1
BORA_Preform_TX_LENS,BOR_Preform_TX_LENS,1
BORA_Preform_RX_LENS,BOR_Preform_RX_LENS,1
BORA_Preform_TX_CLENS,BOR_Preform_TX_CLENS,1
BORA_Preform_RX_CLENS,BOR_Preform_RX_CLENS,1
BORA_Preform_OB,BOR_Preform_OB,1
BORA_Preform_LASER,BOR_Preform_LASER,1
