OPERATION_ID,DESCRIPTION,MIN_WAIT_TIME,MAX_WAIT_TIME,DEFAULT_SETUP_TIME,FIRST_BATCH_TIME,FIRST_UNIT_TIME,UPH,POST_PROCESSING_TIME,BATCH_SCALE_FACTOR,YIELD_FACTOR,YIELD_LOST_QTY,BORA_ID,SETUP_TYPE,PROCESS_TYPE,CAPABLE_TYPE,TRANSFER_LOT_SIZE,column18
OP_dummy,-,-,-,-,-,-,-,-,-,1,-,BORA_dummy,-,-,-,-,-
OP_COP_Module-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_COP_Module-ASSY,-,-,-,-,-
OP_COP_Module-ATS,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_COP_Module-ATS,-,-,-,-,-
OP_COP_Module-TCT,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_COP_Module-TCT,-,-,-,-,-
OP_COP_Module-BI,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_COP_Module-BI,-,-,-,-,-
OP_OB-TXAA,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_OB-TXAA,-,-,-,-,-
OP_OB-RXAA,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_OB-RXAA,-,-,-,-,-
OP_OB-TCT,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_OB-TCT,-,-,-,-,-
OP_OB-TEST,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_OB-TEST,-,-,-,-,-
OP_CB-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_CB-ASSY,-,-,-,-,-
OP_CB-DA,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_CB-DA,-,-,-,-,-
OP_CB-TXLENS,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_CB-TXLENS,-,-,-,-,-
OP_CB-WB,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_CB-WB,-,-,-,-,-
OP_CB-RXLENS,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_CB-RXLENS,-,-,-,-,-
OP_CB-TEST,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_CB-TEST,-,-,-,-,-
OP_TXCOC-GT,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_TXCOC-GT,-,-,-,-,-
OP_TXCOC-WB,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_TXCOC-WB,-,-,-,-,-
OP_TXCOC-BI,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_TXCOC-BI,-,-,-,-,-
OP_PCBA-Home,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_PCBA-Home,-,-,-,-,-
OP_COP_Preform-LASER,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_COP_Preform-LASER,-,-,-,-,-
OP_COP_Preform-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_COP_Preform-ASSY,-,-,-,-,-
OP_Receptacle,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_Receptacle,-,-,-,-,-
OP_SR4_Module-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_Module-ASSY,-,-,-,-,-
OP_SR4_Module-ATS,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_Module-ATS,-,-,-,-,-
OP_SR4_Module-TCT,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_Module-TCT,-,-,-,-,-
OP_SR4_Module-BI,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_Module-BI,-,-,-,-,-
OP_SR4_OE-TXAA,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_OE-TXAA,-,-,-,-,-
OP_SR4_OE-RXAA,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_OE-RXAA,-,-,-,-,-
OP_SR4_OE-TCT,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_OE-TCT,-,-,-,-,-
OP_SR4_OE-TEST,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_OE-TEST,-,-,-,-,-
OP_SR4_Preform-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_Preform-ASSY,-,-,-,-,-
OP_SR4_Preform-LASER,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_SR4_Preform-LASER,-,-,-,-,-
OP_AOC_Module-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_Module-ASSY,-,-,-,-,-
OP_AOC_Module-ATS,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_Module-ATS,-,-,-,-,-
OP_AOC_Module-TCT,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_Module-TCT,-,-,-,-,-
OP_AOC_Module-BI,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_Module-BI,-,-,-,-,-
OP_AOC_OE-TXAA,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_OE-TXAA,-,-,-,-,-
OP_AOC_OE-RXAA,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_OE-RXAA,-,-,-,-,-
OP_AOC_OE-TCT,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_OE-TCT,-,-,-,-,-
OP_AOC_OE-TEST,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_OE-TEST,-,-,-,-,-
OP_AOC_Preform-ASSY,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_Preform-ASSY,-,-,-,-,-
OP_AOC_Preform-LASER,-,-,-,-,-,-,-,-,-,1,-,BORA_OP_AOC_Preform-LASER,-,-,-,-,-
