PRODAREA,ROUTE_ID,SEGMENT_ID,SEGMENT_IX,STEP_IX,OPERATION_ID
NULL,ROUTE_dummy,ROUTE_dummy,1,0,OP_dummy
MODULE,ROUTE_COP_Module,ROUTE_COP_Module,1,1,OP_COP_Module-ASSY
MODULE,ROUTE_COP_Module,ROUTE_COP_Module,1,2,OP_COP_Module-ATS
MODULE,ROUTE_COP_Module,ROUTE_COP_Module,1,3,OP_COP_Module-TCT
MODULE,ROUTE_COP_Module,ROUTE_COP_Module,1,4,OP_COP_Module-BI
OPTICAL,ROUTE_COP_OB,ROUTE_COP_OB,1,1,OP_OB-TXAA
OPTICAL,ROUTE_COP_OB,ROUTE_COP_OB,1,2,OP_OB-RXAA
OPTICAL,ROUTE_COP_OB,ROUTE_COP_OB,1,3,OP_OB-TCT
OPTICAL,ROUTE_COP_OB,ROUTE_COP_OB,1,4,OP_OB-TEST
OPTICAL,ROUTE_COP_CB,ROUTE_COP_CB,1,1,OP_CB-ASSY
OPTICAL,ROUTE_COP_CB,ROUTE_COP_CB,1,2,OP_CB-DA
OPTICAL,ROUTE_COP_CB,ROUTE_COP_CB,1,3,OP_CB-TXLENS
OPTICAL,ROUTE_COP_CB,ROUTE_COP_CB,1,4,OP_CB-WB
OPTICAL,ROUTE_COP_CB,ROUTE_COP_CB,1,5,OP_CB-RXLENS
OPTICAL,ROUTE_COP_CB,ROUTE_COP_CB,1,6,OP_CB-TEST
OPTICAL,ROUTE_COP_TX-COC,ROUTE_COP_TX-COC,1,1,OP_TXCOC-GT
OPTICAL,ROUTE_COP_TX-COC,ROUTE_COP_TX-COC,1,2,OP_TXCOC-WB
OPTICAL,ROUTE_COP_TX-COC,ROUTE_COP_TX-COC,1,3,OP_TXCOC-BI
OPTICAL,ROUTE_COP_PCBA-Home,ROUTE_COP_PCBA-Home,1,1,OP_PCBA-Home
OPTICAL,ROUTE_COP_PCBA-Subcon,ROUTE_COP_PCBA-Subcon,1,1,OP_dummy
OPTICAL,ROUTE_COP_Preform,ROUTE_COP_Preform,1,1,OP_COP_Preform-ASSY
OPTICAL,ROUTE_COP_Preform,ROUTE_COP_Preform,1,2,OP_COP_Preform-LASER
OPTICAL,ROUTE_COP_Receptacle,ROUTE_COP_Receptacle,1,1,OP_Receptacle
MODULE,ROUTE_SR4_Module,ROUTE_SR4_Module,1,1,OP_SR4_Module-ASSY
MODULE,ROUTE_SR4_Module,ROUTE_SR4_Module,1,2,OP_SR4_Module-ATS
MODULE,ROUTE_SR4_Module,ROUTE_SR4_Module,1,3,OP_SR4_Module-TCT
MODULE,ROUTE_SR4_Module,ROUTE_SR4_Module,1,4,OP_SR4_Module-BI
OPTICAL,ROUTE_SR4_OE,ROUTE_SR4_OE,1,1,OP_SR4_OE-TXAA
OPTICAL,ROUTE_SR4_OE,ROUTE_SR4_OE,1,2,OP_SR4_OE-RXAA
OPTICAL,ROUTE_SR4_OE,ROUTE_SR4_OE,1,3,OP_SR4_OE-TCT
OPTICAL,ROUTE_SR4_OE,ROUTE_SR4_OE,1,4,OP_SR4_OE-TEST
OPTICAL,ROUTE_SR4_Preform,ROUTE_SR4_Preform,1,1,OP_SR4_Preform-ASSY
OPTICAL,ROUTE_SR4_Preform,ROUTE_SR4_Preform,1,2,OP_SR4_Preform-LASER
MODULE,ROUTE_AOC_Module,ROUTE_AOC_Module,1,1,OP_AOC_Module-ASSY
MODULE,ROUTE_AOC_Module,ROUTE_AOC_Module,1,2,OP_AOC_Module-ATS
MODULE,ROUTE_AOC_Module,ROUTE_AOC_Module,1,3,OP_AOC_Module-TCT
MODULE,ROUTE_AOC_Module,ROUTE_AOC_Module,1,4,OP_AOC_Module-BI
OPTICAL,ROUTE_AOC_OE,ROUTE_AOC_OE,1,1,OP_AOC_OE-TXAA
OPTICAL,ROUTE_AOC_OE,ROUTE_AOC_OE,1,2,OP_AOC_OE-RXAA
OPTICAL,ROUTE_AOC_OE,ROUTE_AOC_OE,1,3,OP_AOC_OE-TCT
OPTICAL,ROUTE_AOC_OE,ROUTE_AOC_OE,1,4,OP_AOC_OE-TEST
OPTICAL,ROUTE_AOC_LENS,ROUTE_AOC_LENS,1,1,OP_AOC_Preform-ASSY
OPTICAL,ROUTE_AOC_LENS,ROUTE_AOC_LENS,1,2,OP_AOC_Preform-LASER
