VENDOR_ID,VENDOR_DESCRIPTION,VENDOR_HIER_LEVEL_1,VENDOR_HIER_LEVEL_2,VENDOR_HIER_LEVEL_3,VENDOR_TYPE
0000200170,0000200170,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000500061,0000500061,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200177,0000200177,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
S2000,S2000,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200079,0000200079,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200175,0000200175,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000500100,0000500100,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000400481,0000400481,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000500115,0000500115,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
S1000,S1000,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100473,0000100473,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000400432,0000400432,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200216,0000200216,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100436,0000100436,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100566,0000100566,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200131,0000200131,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200278,0000200278,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100552,0000100552,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100551,0000100551,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100393,0000100393,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
SXZ01,SXZ01,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100017,0000100017,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100024,0000100024,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100119,0000100119,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200019,0000200019,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200057,0000200057,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200070,0000200070,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200082,0000200082,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200075,0000200075,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100195,0000100195,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100199,0000100199,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100204,0000100204,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100189,0000100189,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100191,0000100191,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100197,0000100197,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200011,0000200011,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200110,0000200110,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100230,0000100230,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200006,0000200006,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100193,0000100193,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100073,0000100073,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100207,0000100207,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100148,0000100148,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100144,0000100144,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100294,0000100294,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200140,0000200140,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100299,0000100299,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100136,0000100136,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100009,0000100009,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200122,0000200122,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100330,0000100330,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200039,0000200039,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100063,0000100063,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100291,0000100291,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100337,0000100337,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100357,0000100357,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100318,0000100318,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100094,0000100094,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100355,0000100355,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100345,0000100345,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200125,0000200125,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100011,0000100011,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200025,0000200025,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200053,0000200053,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100041,0000100041,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200032,0000200032,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100163,0000100163,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200059,0000200059,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100110,0000100110,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100039,0000100039,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100164,0000100164,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100018,0000100018,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100132,0000100132,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200017,0000200017,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100034,0000100034,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100190,0000100190,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100198,0000100198,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100167,0000100167,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100100,0000100100,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100146,0000100146,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100200,0000100200,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000200085,0000200085,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
0000100210,0000100210,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,VENDOR_TYPE
