Plant,FG,旧的物料编号,FGDescription,FGDescription2,成品尺寸,BOMLevel,BOMVersion,可选文本,基本数量,项目编号,SubstituteGroup,Priority,Usage,partnumber,BOM物料单,组,生产版本,特定工厂物料状态,成本收集器订单号,初始估算成功日期,是否仍需初始估算,是否已成本估算,组件旧物料号,PartDescription,PartDescription2,组件尺寸,projecttype,组件数量,Scrap,UOM,中止指示符,中断日期,后续物料,项目文本行1,项目文本行 2,项目长文本,ParentPart,成本核算标识相关,错误,组件采购组,组件采购类型,组件特殊采购类型,调拨工厂,标准采购信息记录,外协采购信息记录,组,操作/活动,长描述,插件,反冲,供应商,供应商名称,组件库存,未清采购订单数量,图号,生产商(制造商),产地,componenttype,创建日期,计划交货日期,专用/通用
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,0,1,,1000.000,0001,,0,0,503-0084-ID,00048074,50791835,,,,,,是,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,,1000.000,0.00,PC,,,,,,,,X,,,E,,,,,,,,,,,,0,0,,,,M,,0,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1,1,,1000.000,0010,,0,0,502-2602,00048036,,,,,,,,,"Mod BOM,TR-FC13T-N307,QSFP28 CWDM4,Cisco",,,N,1000.000,0.00,PC,,,,,,,503-0084-ID,,,,E,50,,,,,,,,,,,0,0,,,,virtual,,0,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.1,1,,1000.000,0010,,0,0,260-0199,,,,,,,,是,,"BOSA Ass-BOM,CWDM4 V2.0(Gen3 Mit DFB)",,,L,1000.000,0.00,PC,,,,,,,502-2602,X,,厂内光自组件,F,,,X,,,,,,,,,336.000,0,,,,P,,50,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.2,1,,1000.000,0020,,0,0,300-0150,,,,,,,,是,,Housing body,,,L,1000.000,0.00,PC,,,,,,,502-2602,X,,李跃红,F,41,2000,X,,,,,,,,,636.000,0,,,,,,0,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.3,1,,1000.000,0030,,0,0,300-0151,,,,,,,,是,,Housing lid,,,L,1000.000,0.01,PC,,,,,,,502-2602,X,,李跃红,F,41,2000,X,,,,,,,,,221.000,0,,,,,,0,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.4,1,,1000.000,0040,,0,0,300-0152,,,,,,,,是,,Housing adapter,,,L,1000.000,0.00,PC,,,,,,,502-2602,X,,李跃红,F,41,2000,X,,,,,,,,,691.000,0,,,,,,0,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.5,1,,1000.000,0050,,0,0,310-0573,,,,,,,,是,,"Pull tab,green,for Cisco",,,L,1000.000,0.00,PC,,,,,,,502-2602,X,,李跃红,F,10,,X,,,,,,,,,296.000,0,,,,寄售件,,42,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.6,1,,1000.000,0060,,0,0,302-0007,,,,,,,,是,,TSLG Nylok Screw M1.4x0.3x4.63,,,L,2000.000,0.02,PC,,,,,,,502-2602,X,,李跃红,F,10,,X,,,,,,,,,65075.000,0,,,,寄售件,,56,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.7,1,,1000.000,0070,,0,0,302-0004,,,,,,,,是,,TSLG Nylok Screw M1.4x0.3x5.45,,,L,2000.000,0.02,PC,,,,,,,502-2602,X,,李跃红,F,10,,X,,,,,,,,,84218.000,0,,,,寄售件,,56,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.8,1,,1000.000,0080,,0,0,310-0401,,,,,,,,是,,"Dust cover EPDM,Duplex LC,Black",,,L,1000.000,0.00,PC,,,,,,,502-2602,X,,辛帆,F,,,X,,,,,,,,,7413.000,0,,,,P,,35,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.9,1,,1000.000,0090,,0,0,320-0284,,,,,,,,是,,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",,,L,2000.000,0.00,PC,,,,,,,502-2602,X,,李跃红,F,10,,X,,,,,,,,,122644.000,0,,,,寄售件,,56,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.10,1,,1000.000,0130,,0,0,330-0101,,,,,,,,是,,"Label,rounded corner,white,blank,for Box",,,L,1000.000,0.00,PC,,,,,,,502-2602,X,,辛帆,F,,,X,,,,,,,,,90000.000,0,,,,P,,14,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.11,1,,1000.000,0140,,0,0,311-0276,,,,,,,,是,,EMI PAD,,,L,2000.000,0.00,PC,,,,,,,502-2602,X,,辛帆,F,10,,X,,,,,,,,,4772.000,0,,,,寄售件,,35,
5000,503-0084-ID,,100G QSFP28 CWDM4 COP 2Km Cisco TH,,,1.12,1,,1000.000,0150,,0,0,311-0244,,,,,,,,是,,"mylar,PC98,10.2X14X0.1MM",,,L,2000.000,0.00,PC,,,,,,,502-2602,X,,辛帆,F,10,,X,,,,,,,,,1386.000,0,,,,寄售件,,21,
