Plant,FG,旧的物料编号,FGDescription,FGDescription2,成品尺寸,BOMLevel,BOMVersion,可选文本,基本数量,项目编号,SubstituteGroup,Priority,Usage,partnumber,BOM物料单,组,生产版本,特定工厂物料状态,成本收集器订单号,初始估算成功日期,是否仍需初始估算,是否已成本估算,组件旧物料号,PartDescription,PartDescription2,组件尺寸,projecttype,组件数量,Scrap,UOM,中止指示符,中断日期,后续物料,项目文本行1,项目文本行 2,项目长文本,ParentPart,成本核算标识相关,错误,组件采购组,组件采购类型,组件特殊采购类型,调拨工厂,标准采购信息记录,外协采购信息记录,组,操作/活动,长描述,插件,反冲,供应商,供应商名称,组件库存,未清采购订单数量,图号,生产商(制造商),产地,componenttype,创建日期,计划交货日期,专用/通用
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,0,1,,1000.000,0001,,0,0,500-3953-06-TW,00035802,50040525,,,,,,是,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,,1000.000,0.00,PC,,,,,,,,X,,,X,,,,,,,,,,,,0,0,,,,自制/外购,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,1,1,,1000.000,0010,,0,0,601-2026,,,,,,,,,,"LP&FMT,N239,QSFP28 CWDM4,Amazon Taiwan",,,N,1000.000,0.00,PC,,,,,,,500-3953-06-TW,,,,E,,,,,,,,,,,,0,0,,,,M,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,2,1,,1000.000,0020,,0,0,601-2027,,,,,,,,,,"FMT,N239,QSFP28 CWDM4,Amazon Taiwan",,,N,1000.000,0.00,PC,,,,,,,500-3953-06-TW,,,,E,,,,,,,,,,,,0,0,,,,M,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,3,1,,1000.000,0030,,0,0,602-1371,,,,,,,,,,"FQC,N239,QSFP28 CWDM4,Amazon Taiwan",,,N,1000.000,0.00,PC,,,,,,,500-3953-06-TW,,,,E,,,,,,,,,,,,0,0,,,,M,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,4,1,,1000.000,0040,,0,0,611-0851,,,,,,,,,,"TR-FC13T-N09(QSFP28 CWDM4,Amazon)Se/ID",,,N,1000.000,0.00,PC,,,,,,,500-3953-06-TW,,,,E,,,,,,,,,,,,0,0,,,,M,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,5,1,,1000.000,0050,,0,0,612-0276,,,,,,,,,,"TR-FC13X-NAZ(QSFP28 eCWDM4,Amazon)A/W",,,N,1000.000,0.00,PC,,,,,,,500-3953-06-TW,,,,E,,,,,,,,,,,,0,0,,,,M,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,6,1,,1000.000,0060,,0,0,613-1419,,,,,,,,,,"Label,TR-FC13T-NAZ,CWDM4(AZ,from Taiwan)",,,N,1000.000,0.00,PC,,,,,,,500-3953-06-TW,,,,E,,,,,,,,,,,,0,0,,,,M,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,7,1,,1000.000,0070,,0,0,621-008D,,,,,,,,,,"F/W,QSFP28 CWDM4 With Maxim&Semtech",,,N,1000.000,0.00,PC,,,,,,,500-3953-06-TW,,,,E,,,,,,,,,,,,0,0,,,,M,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,8,1,,1000.000,0080,,0,0,330-0081,,,,,,,,是,,"Label,29.0*15.0,white,inno-logo",,,L,1000.000,10.00,PC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,88751.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,9,1,,1000.000,0090,,0,0,350-0230,,,,,,,,是,,"Tray,215x205x18.5mm,8pcs,Pack",,,L,125.000,0.00,PC,,,,,,,500-3953-06-TW,X,,辛帆,F,,,X,,,,,,,,,1000.000,0,,,,P,,40,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,10,1,,1000.000,0100,,0,0,350-0016,,,,,,,,是,,"EPE Sponge,240*230*10,pink,shipments",,,L,78.600,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,,,X,,,,,,,,,4313.454,0,,,,P,,66,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,11,1,,1000.000,0110,,0,0,350-0017,,,,,,,,是,,抗静电EPE 220*85*10,,,L,157.100,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,,,X,,,,,,,,,6920.176,0,,,,P,,66,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,12,1,,1000.000,0120,,0,0,350-0015,,,,,,,,是,,"Carton,270*239*109,innolight,shipments",,,L,39.300,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,,,X,,,,,,,,,1410.000,0,,,,P,,38,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,13,1,,1000.000,0130,,0,0,350-0027,,,,,,,,是,,"Carton,505*285*245,innolight,shipments",,,L,6.000,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,,,X,,,,,,,,,460.000,0,,,,P,,38,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,14,1,,1000.000,0140,,0,0,350-0154,,,,,,,,是,,"Bag,386.0*353.0*0.15mm Packing",,,L,39.300,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,,,X,,,,,,,,,4939.000,0,,,,P,,14,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,15,1,,1000.000,0150,,0,0,330-0194,,,,,,,,是,,"Label,60×40mm,white,blank,pack label",,,L,10.600,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,7066.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,16,1,,1000.000,0160,,0,0,330-0025,,,,,,,,是,,"Label,150*100*0.1,white,bk,ESK outer box",,,L,63.000,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,3000.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,17,1,,1000.000,0170,,0,0,350-0029,,,,,,,,是,,粉红防静电EPE 220*210*15MM,,,L,15.300,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,2695.159,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,18,1,,1000.000,0180,,0,0,351-0001,,,,,,,,是,,"Carton,515*295*245mm,Innolight,shipments",,,L,3.600,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,362.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,19,1,,1000.000,0190,,0,0,910-0499,,,,,,,,是,,"L型硬纸护角板,50x50x5mm,L225mm",,,L,14.300,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,5000.000,0,,,,,,1,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,20,1,,1000.000,0200,,0,0,350-0275,,,,,,,,是,,"Tray,217*203*17,14PCS,OE",,,L,71.400,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,21,1,,1000.000,0210,,0,0,330-0006,,,,,,,,是,,"Label,80×50mm,white,blank",,,L,3.600,0.00,ZPC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,3897.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22,1,,1000.000,0230,A1,0,100,260-0141-02,00036354,50041329,,,,,,是,,"BOSA Ass-BOM,CWDM4 V2.0(Weld+Oclaro DFB)",,,L,1000.000,0.00,PC,,,,,,,500-3953-06-TW,X,,潘咏梅,X,,,X,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.1,1,,1000.000,0010,A1,0,0,280-1160-02,,,,Z1,,,,是,,"TX CB Ass-BOM,CWDM4 V2.0(Weld+Oclar DFB)",,,L,1000.000,0.00,PC,,,,,,,260-0141-02,X,,潘咏梅,X,,,,,,,,,,,,0,0,,,,自制/外购,,40,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.2,1,,1000.000,0020,,0,0,280-1133,,,,Z1,,,,是,,"OB Ass-BOM,CWDM4 V2.0(Welding version)",,,L,1000.000,0.00,PC,,,,,,,260-0141-02,X,,潘咏梅,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.3,1,,1000.000,0030,,0,0,280-1020,,,,,,,,是,,"Mold Lens&Al Cover Sub-Ass-BOM,CWDM4V2.0",,,L,1000.000,0.00,PC,,,,,,,260-0141-02,X,,潘咏梅,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.4,1,,1000.000,0040,,0,0,320-0550,,,,,,,,是,,"Metal Cover,OB BOX Weld version",,,L,1000.000,0.00,PC,,,,,,,260-0141-02,X,,薛凤,F,40,1000,X,,,,,,,,,5608.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.5,1,,1000.000,0050,,0,0,280-0695,,,,,,,,是,,TX Devide Side C-Lens Holder 2.2*1.8*3,,,L,4000.000,0.00,PC,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,X,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.6,1,,1000.000,0060,,0,0,280-0791,,,,,,,,是,,CLENS NSF11 R1.65*T1.70*D1.4,,,L,4000.000,0.00,PC,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,X,,,,,,,,,2608.000,0,,,,,,0,
