FG,版次,物料描述,工厂,BOM用途,创建日期,修改日期,component,版次,组件描述,quantity,超领率,UOM,采购类型,优先级,替代组,使用可能性,ICT项目类别,排序字符串,项目文本行 2,策略,与核算成本相关标识,项目文本行1,生产仓储地点
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,,260-0113,2B,"Ass-Bom,CGR4 Gen3,Ocl DFB+PD+GN2110",1000.000,0,ST,E,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,12/5/22,300-0150,1E,Housing body,1000.000,10.00,ST,F,0,,0,L,,,,X,,6010
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,12/5/22,300-0151,1D,Housing lid,1000.000,0,ST,F,0,,0,L,,,,X,,6010
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,12/5/22,300-0152,1E,Housing adapter,1000.000,10.00,ST,F,0,,0,L,,,,X,,6010
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,12/5/22,310-0504,1A,"Pull tab+Latch,Yellow,Pantone color135C",1000.000,0,ST,F,0,,0,L,,,,X,,6010
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0014,1A,"Screw,FDD-101154-M 1.4X4.5",2000.000,10.00,ST,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0323,1A,"Flat head screw,sus304,M1.4x0.3x5x5.5",2000.000,10.00,ST,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,,310-0401,1C,"Dust cover EPDM,Duplex LC,Black",1000.000,0,ST,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,320-0284,1A,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",2000.000,10.00,ST,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0178,1A,"Thermal Pad,4*4*0.50mm(L*W*H),11W/m∙K",1000.000,10.00,ST,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0464,1A,"EMI pad,11.7x3.15x2mm",2000.000,1.00,ST,F,0,,0,L,,,,X,,5016
