P/N,PLANT,Process,需更改
503-0084-ID,5000,Module,
562-0099,5000,Module,
562-0100,5000,Module,
500-3953-06-TW,6000,Module,
260-0141-02,6000,OB,
260-0236,6000,OB,
500-4294-02-TW,6000,Module,
500-4295-02-TW,6000,Module,
500-4607-TW,6000,Module,
260-0199,6000,OB,
500-5008-TW,6000,Module,
500-5009-TW,6000,Module,
500-5071-TW,6000,Module,
260-0278,6000,OB,
561-0001,6000,Module,
561-0008,6000,Module,
561-0009,6000,Module,
260-0149,6000,OB,
561-0010,6000,Module,
561-0011,6000,Module,
561-0015,6000,Module,
561-0016,6000,Module,
561-0017,6000,Module,
561-0023,6000,Module,
561-0024,6000,Module,
561-0025,6000,Module,
561-0026,6000,Module,
561-0031,6000,Module,
561-0032,6000,Module,
561-0033,6000,Module,
561-0035,6000,Module,
561-0036,6000,Module,
561-0037,6000,Module,
260-0274,6000,OB,
561-0056,6000,Module,
561-0057,6000,Module,
561-0081,6000,Module,
561-0082,6000,Module,
561-0083,6000,Module,
561-0098,6000,Module,
561-0099,6000,Module,
561-0140,6000,Module,
561-0141,6000,Module,
561-0171,6000,Module,
561-0183,6000,Module,
561-0184,6000,Module,
500-3301,1000,Module,
260-0102,1000,OB,
280-0927,1000,TX,
280-0804-27,1000,TX COC,
280-0804-29,1000,TX COC,
280-0804-31,1000,TX COC,
280-0804-33,1000,TX COC,
280-0926,1000,RX,
280-0926-02,1000,RX,
280-1189,1000,RX,
280-1189-02,1000,RX,
280-0788,1000,Preform,
280-0802,1000,Preform,
500-3378,1000,Module,
500-3394,1000,Module,
260-0120,1000,OB,
500-3394-05,1000,Module,
260-0132,1000,OB,
280-1085,1000,TX,
280-1049-27,1000,TX COC,
280-1049-29,1000,TX COC,
280-1049-31,1000,TX COC,
280-1049-33,1000,TX COC,
500-3418,1000,Module,
260-0128,1000,OB,
280-1065,1000,TX,
280-1071-27,1000,TX COC,
280-1071-29,1000,TX COC,
280-1071-31,1000,TX COC,
280-1071-33,1000,TX COC,
280-1070,1000,RX,
280-1008,1000,Preform,
280-1067,1000,Preform,Preform
500-3490,1000,Module,
500-3532,1000,Module,
260-0115,1000,OB,
280-0934,1000,TX,
280-0803,1000,Preform,
280-0916-27,1000,TX COC,
280-0916-29,1000,TX COC,
280-0916-31,1000,TX COC,
280-0916-33,1000,TX COC,
280-0930,1000,RX,
500-3621,1000,Module,
260-0121,1000,OB,
280-0929,1000,TX,
280-0928,1000,RX,
280-1095,1000,RX,
500-3633,1000,Module,
500-3633-01,1000,Module,
260-0124,1000,OB,
280-1041,1000,TX,
280-1042-27,1000,TX COC,
280-1042-29,1000,TX COC,
280-1042-31,1000,TX COC,
280-1042-33,1000,TX COC,
500-3633-04,1000,Module,
500-3644,1000,Module,
500-3662,1000,Module,
500-3674,1000,Module,
260-0135,1000,OB,
280-1091,1000,TX,
280-1090,1000,RX,
280-1054-27,1000,TX COC,
280-1054-29,1000,TX COC,
280-1054-31,1000,TX COC,
280-1054-33,1000,TX COC,
280-0941,1000,Preform,
500-3695,1000,Module,
500-3712,1000,Module,
260-0131,1000,OB,
280-1083,1000,TX,
280-1050,1000,RX,
280-1050-02,1000,RX,
280-1190,1000,RX,
280-1190-02,1000,RX,
280-1052,1000,Preform,
500-3717,1000,Module,
500-3743,1000,Module,
260-0136,1000,OB,
280-1094,1000,TX,
280-1093-27,1000,TX COC,
280-1093-29,1000,TX COC,
280-1093-31,1000,TX COC,
280-1093-33,1000,TX COC,
500-3744,1000,Module,
260-0137,1000,OB,
280-1096,1000,TX,
500-3776-01,1000,Module,
260-0141-01,1000,OB,
280-1160-01,1000,TX,
280-1159,1000,RX,
280-1210-02,1000,RX,
280-1133,1000,Preform,
280-1457,1000,Preform,
280-1458,1000,Preform,
280-1459,1000,Preform,Preform
280-1460,1000,Preform,Preform
280-1020,1000,Preform,
500-3776-02,1000,Module,
260-0141-02,1000,OB,
280-1160-02,1000,TX,
280-1663,1000,CB,
260-0236,1000,OB,
280-1418,1000,TX,
280-1800,1000,CB,
260-0141-02-R,1000,OB,
280-1020-R,1000,Preform,
280-1133-R,1000,Preform,
280-1663-R,1000,CB,
280-1160-02-R,1000,TX,
280-1159-R,1000,RX,
260-0278,1000,OB,
280-1531,1000,TX,
280-1532-27,1000,TX COC,
280-1532-29,1000,TX COC,
280-1532-31,1000,TX COC,
280-1532-33,1000,TX COC,
280-1801,1000,CB,
500-3776-02-RW,1000,Module,
260-0236-R,1000,OB,
280-1418-R,1000,TX,
500-3776-03,1000,Module,
260-0141-03,1000,OB,
280-1160-03,1000,TX,
280-1802,1000,CB,
500-3776-04,1000,Module,
260-0141-04,1000,OB,
280-1160-04,1000,TX,
280-1086-27,1000,TX COC,
280-1086-29,1000,TX COC,
280-1086-31,1000,TX COC,
280-1086-33,1000,TX COC,
280-1803,1000,CB,
500-3776-05,1000,Module,
260-0141-05,1000,OB,
280-1160-05,1000,TX,
280-1146-27,1000,TX COC,
280-1146-29,1000,TX COC,
280-1146-31,1000,TX COC,
280-1146-33,1000,TX COC,
280-1804,1000,CB,
500-3800,1000,Module,
260-0144,1000,OB,
280-1145,1000,TX,
500-3806,1000,Module,
260-0145,1000,OB,
280-1149,1000,TX,
280-1148,1000,RX,
280-1821,1000,CB,
260-0247,1000,OB,
280-1456,1000,TX,
280-1822,1000,CB,
500-3811-02,1000,Module,
260-0146-02,1000,OB,
280-1154-02,1000,TX,
280-1151,1000,RX,
500-3811-03,1000,Module,
260-0146-03,1000,OB,
280-1154-03,1000,TX,
280-1150,1000,RX,
500-3811-04,1000,Module,
260-0146-04,1000,OB,
280-1154-04,1000,TX,
500-3815,1000,Module,
260-0148,1000,OB,
280-1157,1000,TX,
280-1156,1000,RX,
280-1820,1000,CB,
500-3816,1000,Module,
260-0149,1000,OB,
280-1158,1000,TX,
280-1480-27,1000,TX COC,
280-1480-29,1000,TX COC,
280-1480-31,1000,TX COC,
280-1480-33,1000,TX COC,
280-1818,1000,CB,
500-3817,1000,Module,
500-3817-01,1000,Module,
500-3817-04,1000,Module,
500-3820,1000,Module,
500-3820-04,1000,Module,
500-3822,1000,Module,
500-3823,1000,Module,
500-3827,1000,Module,
500-3848,1000,Module,
260-0150,1000,OB,
280-1178,1000,TX,
280-1202-27,1000,TX COC,
280-1202-29,1000,TX COC,
280-1202-31,1000,TX COC,
280-1202-33,1000,TX COC,
280-1180,1000,RX,
280-1179,1000,Preform,
500-3853-01,1000,Module,
260-0152-01,1000,OB,
280-1192-01,1000,TX,
280-1193,1000,RX,
500-3853-02,1000,Module,
260-0152-02,1000,OB,
280-1192-02,1000,TX,
280-1811,1000,CB,
500-3853-03,1000,Module,
260-0152-03,1000,OB,
280-1192-03,1000,TX,
280-1814,1000,CB,
500-3853-04,1000,Module,
260-0152-04,1000,OB,
280-1192-04,1000,TX,
280-1815,1000,CB,
500-3854-01,1000,Module,
260-0153-01,1000,OB,
280-1195-01,1000,TX,
280-1194,1000,RX,
280-1823,1000,CB,
500-3854-02,1000,Module,
260-0153-02,1000,OB,
280-1195-02,1000,TX,
280-1824,1000,CB,
500-3901-01,1000,Module,
260-0156,1000,OB,
280-1201,1000,TX,
500-3901-02,1000,Module,
500-3913,1000,Module,
260-0158-01,1000,OB,
280-1203-01,1000,TX,
280-1204,1000,RX,
280-1205,1000,RX,
500-3913-02,1000,Module,
260-0158-02,1000,OB,
280-1203-02,1000,TX,
500-3913-03,1000,Module,
260-0158-03,1000,OB,
280-1203-03,1000,TX,
500-3916,1000,Module,
500-3917,1000,Module,
500-3918,1000,Module,
260-0262,1000,OB,
280-1482,1000,TX,
280-1813,1000,CB,
500-3922,1000,Module,
500-3925,1000,Module,
500-3925-02,1000,Module,
500-3926,1000,Module,
500-3927,1000,Module,
500-3927-02,1000,Module,
500-3928,1000,Module,
500-3940,1000,Module,
260-0162,1000,OB,
280-1206,1000,TX,
500-3941,1000,Module,
500-3943,1000,Module,
500-3953-02,1000,Module,
500-3953-06,1000,Module,
500-3954-01,1000,Module,
500-3954-02,1000,Module,
500-3954-03,1000,Module,
500-3954-05,1000,Module,
500-3954-06,1000,Module,
500-3956,1000,Module,
500-3971-02,1000,Module,
500-3972-01,1000,Module,
500-3972-02,1000,Module,
500-3984,1000,Module,
500-3986-01,1000,Module,
500-3987-01,1000,Module,
500-3987-02,1000,Module,
500-3987-03,1000,Module,
500-3987-04,1000,Module,
500-4001,1000,Module,
500-4008,1000,Module,
500-4011-01,1000,Module,
260-0164-01,1000,OB,
280-1211-01,1000,TX,
280-1210-01,1000,RX,
500-4012-01,1000,Module,
500-4013-01,1000,Module,
260-0165-01,1000,OB,
280-1213-01,1000,TX,
280-1212-01,1000,RX,
280-1212-02,1000,RX,
500-4014-01,1000,Module,
500-4021,1000,Module,
500-4022-02,1000,Module,
500-4023-01,1000,Module,
500-4023-02,1000,Module,
500-4028-01,1000,Module,
500-4028-02,1000,Module,
500-4037,1000,Module,
500-4039-02,1000,Module,
500-4042,1000,Module,
260-0147-02,1000,OB,
280-1155-02,1000,TX,
280-1153,1000,RX,
500-4046,1000,Module,
260-0193,1000,OB,
280-1297,1000,TX,
280-1298-N0,1000,TX COC,
280-1298-N1,1000,TX COC,
280-1298-N2,1000,TX COC,
280-1298-N3,1000,TX COC,
500-4065-01,1000,Module,
500-4066-01,1000,Module,
500-4066-02,1000,Module,
500-4067-01,1000,Module,
500-4067-02,1000,Module,
500-4074-01,1000,Module,
500-4074-02,1000,Module,
500-4102,1000,Module,
260-0172,1000,OB,
280-1222,1000,TX,
280-1223-N0,1000,TX COC,
280-1223-N1,1000,TX COC,
280-1223-N2,1000,TX COC,
280-1223-N3,1000,TX COC,
500-4103,1000,Module,
260-0175,1000,OB,
280-1235,1000,TX,
500-4106,1000,Module,
500-4106-01,1000,Module,
500-4110,1000,Module,
