substitution group,Priority,Usage percentage,component,Assemble P/N
A1,0,100,260-0141-02,500-3953-06-TW
A1,0,0,280-1160-02,260-0141-02
A1,0,100,280-1663,260-0141-02
A1,0,0,260-0236,500-3953-06-TW
A1,0,0,280-1418,260-0236
A1,0,100,280-1800,260-0236
C1,0,0,313-0043,500-3953-06-TW
A1,0,100,260-0141-02,500-4294-02-TW
A1,0,0,260-0236,500-4294-02-TW
A2,0,0,310-0407,500-4294-02-TW
A2,0,100,340-0063,500-4294-02-TW
A1,0,100,260-0141-02,500-4295-02-TW
A1,0,0,260-0236,500-4295-02-TW
A2,0,100,340-0063,500-4295-02-TW
A2,0,0,310-0407,500-4295-02-TW
A1,0,0,280-1314,260-0199
A1,0,100,280-1806,260-0199
A2,0,100,340-0063,500-5008-TW
A2,0,0,310-0407,500-5008-TW
A2,0,100,310-0407,500-5009-TW
A2,0,0,340-0063,500-5009-TW
A1,0,0,280-1531,260-0278
A1,0,100,280-1801,260-0278
A2,0,100,340-0063,500-5071-TW
A2,0,0,310-0407,500-5071-TW
A1,0,100,260-0141-02,561-0001
A1,0,0,260-0236,561-0001
A1,0,0,280-1158,260-0149
A1,0,100,280-1818,260-0149
A1,0,100,260-0141-02,561-0017
A1,0,0,260-0236,561-0017
A1,0,0,260-0278,561-0017
A1,0,100,330-0006,561-0025
A1,0,0,330-0214,561-0025
A1,0,100,260-0141-02,561-0032
A1,0,0,260-0236,561-0032
C1,0,100,260-0237,561-0033
C1,0,0,260-0261,561-0033
A1,0,100,260-0141-02,561-0036
A1,0,0,260-0236,561-0036
A1,0,0,280-1524,260-0274
A1,0,100,280-1819,260-0274
A1,0,100,260-0141-02,561-0056
A1,0,0,260-0236,561-0056
A1,0,100,260-0141-02,561-0081
A1,0,0,260-0236,561-0081
A1,0,0,260-0278,561-0081
A1,0,0,260-0441,561-0083
A1,0,100,260-0199,561-0083
AA,0,100,351-0009,561-0098
AA,0,0,351-0011,561-0098
AA,0,0,351-0012,561-0098
AA,0,0,351-0013,561-0098
