RESOURCE_ID,LOCATION_ID,RES_TYPE,CARE,PERIOD_MGR_ID,DESCRIPTION,Month Capacity(H),Number of station,
TXCOC_CRYSTAL,2000,Machine,,,,1959,3,
TXCOC_LASER,2000,Machine,,,,1303,2,
TXCOC_GT,2000,Machine,,,,3267,5,
TXCOC_WB,2000,Machine,,,,613,1,
TXCOC_BI,2000,Machine,,,,11576,22,
TXCOC_CRYSTAL_s,2000,Machine,,,,627,0.96,
TXCOC_LASER_s,2000,Machine,,,,189,0.29,
TXCOC_GT_s,2000,Machine,,,,3267,5,
TXCOC_WB_s,2000,Machine,,,,184,0.3,
TXCOC_BI_s,2000,Machine,,,,3157,6,
Preform_Assembly,2000,Machine,,,,0,0,
Preform_LASER,2000,Machine,,,,6421,12,
Preform_Assembly_s,2000,Machine,,,,0,0,
Preform_LASER_s,2000,Machine,,,,2943,5.5,
CB_ASSY,2000,Machine,,,,0,0,
CB_DA,2000,Machine,,,,3363.6,6,
CB_TXLENS,2000,Machine,,,,1133,2,
CB_WB,2000,Machine,,,,612,1,
CB_RXLENS,2000,Machine,,,,655,1,
CB_ASSY_s,2000,Machine,,,,0,0,
CB_DA_s,2000,Machine,,,,2803,3364,
CB_TXLENS_s,2000,Machine,,,,1133,1133,
CB_WB_s,2000,Machine,,,,306,612,
CB_RXLENS_s,2000,Machine,,,,131,655,
OB_TEST,2000,Machine,,,,3676,8,
OB_TXAA,2000,Machine,,,,2654,5,
OB_RXAA,2000,Machine,,,,1998,4,
OB_TCT,2000,Machine,,,,2000,1,
OB_TEST_s,2000,Machine,,,,1838,4,
OB_TXAA_s,2000,Machine,,,,2654,5,
OB_RXAA_s,2000,Machine,,,,1998,4,
OB_TCT_s,2000,Machine,,,,2000,1,
Module_ASSY,2000,Machine,,,,0,0,
Module_ATS,2000,Machine,,,,62096,118,
Module_BI,2000,Machine,,,,1220,2,
Module_LINK,2000,Machine,,,,18312,14,
Module_OVERLOAD,2000,Machine,,,,9529,17,
Module_TCT,2000,Machine,,,,609,1,
Module_PostPKG,2000,Machine,,,,1031,2,
Module_ASSY_s,2000,Machine,,,,0,0,
Module_ATS_s,2000,Machine,,,,11051,21,
Module_BI_s,2000,Machine,,,,1220,2,
Module_LINK_s,2000,Machine,,,,3924,3,
Module_OVERLOAD_s,2000,Machine,,,,2242,4,
Module_TCT_s,2000,Machine,,,,451,0.74,
Module_PostPKG_s,2000,Machine,,,,134,0.26,
