PN,Plant,Process,Scrap
223-0011,1000,,0.00
223-0011,2000,,0.00
223-0012,1000,,0.00
223-0012,2000,,0.00
260-0102,1000,OB,7.00
260-0102,2000,OB,0.00
260-0113,1000,,5.00
260-0113,2000,,0.00
260-0115,1000,OB,7.00
260-0115,2000,OB,0.00
260-0120,1000,OB,5.50
260-0120,2000,OB,0.00
260-0121,1000,OB,5.00
260-0121,2000,OB,0.00
260-0124,1000,OB,5.50
260-0124,2000,OB,0.00
260-0128,1000,OB,10.00
260-0128,2000,OB,0.00
260-0131,1000,OB,5.50
260-0131,2000,OB,0.00
260-0132,1000,OB,5.50
260-0132,2000,OB,0.00
260-0135,1000,OB,2.31
260-0135,2000,OB,0.00
260-0136,1000,OB,5.00
260-0136,2000,OB,0.00
260-0137,1000,OB,5.00
260-0137,2000,OB,0.00
260-0141-01,1000,OB,2.31
260-0141-01,2000,OB,0.00
260-0141-02,1000,OB,2.31
260-0141-02,2000,OB,2.31
260-0141-02-R,1000,OB,2.31
260-0141-02-R,2000,OB,2.31
260-0141-03,1000,OB,2.31
260-0141-03,2000,OB,2.31
260-0141-04,1000,OB,2.31
260-0141-04,2000,OB,2.31
260-0141-05,1000,OB,2.31
260-0141-05,2000,OB,2.31
260-0144,1000,OB,5.50
260-0144,2000,OB,0.00
260-0145,1000,OB,2.31
260-0145,2000,OB,2.31
260-0146-02,1000,OB,5.00
260-0146-02,2000,OB,0.00
260-0146-03,1000,OB,5.00
260-0146-03,2000,OB,0.00
260-0146-04,1000,OB,5.00
260-0146-04,2000,OB,0.00
260-0147-02,1000,OB,10.50
260-0147-02,2000,OB,0.00
260-0148,1000,OB,2.31
260-0148,2000,OB,2.31
260-0149,1000,OB,2.31
260-0149,2000,OB,2.31
260-0150,1000,OB,10.00
260-0150,2000,OB,0.00
260-0152-01,1000,OB,2.31
260-0152-01,2000,OB,0.00
260-0152-02,1000,OB,2.31
260-0152-02,2000,OB,2.31
260-0152-03,1000,OB,2.31
260-0152-03,2000,OB,2.31
260-0152-04,1000,OB,2.31
260-0152-04,2000,OB,2.31
260-0153-01,1000,OB,3.20
260-0153-01,2000,OB,2.31
260-0153-02,1000,OB,2.31
260-0153-02,2000,OB,2.31
260-0156,1000,OB,2.31
260-0156,2000,OB,0.00
260-0158-01,1000,OB,5.50
260-0158-01,2000,OB,0.00
260-0158-02,1000,OB,5.50
260-0158-02,2000,OB,0.00
260-0158-03,1000,OB,5.50
260-0158-03,2000,OB,0.00
260-0162,1000,OB,10.00
260-0162,2000,OB,0.00
260-0164-01,1000,OB,5.50
260-0164-01,2000,OB,0.00
260-0165-01,1000,OB,5.47
260-0165-01,2000,OB,0.00
260-0172,1000,OB,10.00
260-0172,2000,OB,0.00
260-0174-02,1000,OB,2.31
260-0174-02,2000,OB,2.31
260-0175,1000,OB,10.00
260-0175,2000,OB,0.00
260-0176,1000,OB,2.31
260-0176,2000,OB,0.00
260-0193,1000,OB,10.00
260-0193,2000,OB,0.00
260-0198,1000,OB,2.31
260-0198,2000,OB,2.31
260-0199,1000,OB,2.31
260-0199,2000,OB,2.31
260-0199,5000,OB,2.31
260-0199-R,1000,OB,2.31
260-0199-R,2000,OB,2.30
260-0209,1000,OB,2.31
260-0225,1000,,3.20
260-0233,1000,OB,2.31
260-0233,2000,OB,2.31
260-0236,1000,OB,2.31
260-0236,2000,OB,2.31
260-0236-R,1000,OB,2.31
260-0237,1000,OB,2.31
260-0237,2000,OB,2.31
260-0247,1000,OB,2.31
260-0247,2000,OB,2.31
260-0250,1000,OB,3.20
260-0250,2000,OB,3.20
260-0261,1000,OB,2.31
260-0261,2000,OB,2.31
260-0262,1000,OB,2.31
260-0262,2000,OB,2.31
260-0267,1000,OB,2.31
260-0267,2000,OB,2.31
260-0274,1000,OB,2.31
260-0274,2000,OB,2.31
260-0277,1000,OB,2.31
260-0277,2000,OB,2.31
260-0278,1000,OB,2.31
260-0278,2000,OB,2.31
260-0298,1000,OB,2.31
260-0306,1000,OB,3.20
260-0306,2000,OB,3.20
260-0325,1000,OB,3.20
260-0325,2000,OB,3.20
260-0353,1000,OB,2.31
260-0353,2000,OB,2.31
260-0354,1000,OB,2.31
260-0354,2000,OB,2.31
260-0365-CD,1000,OB,4.49
260-0365-CD,2000,OB,4.49
260-0366-CD,1000,OB,4.49
260-0366-CD,2000,OB,4.49
260-0385,1000,OB,5.00
260-0385,2000,OB,3.30
260-0417,1000,OB,3.20
260-0417,2000,OB,3.20
260-0441,1000,OB,2.31
260-0441,2000,OB,2.31
260-0459-CD,1000,OB,4.49
260-0459-CD,2000,OB,4.49
260-0460-CD,1000,OB,4.49
260-0460-CD,2000,OB,4.49
260-0464-CD,1000,OB,2.50
260-0464-CD,2000,OB,2.50
260-0470-CD,1000,OB,4.49
260-0470-CD,2000,OB,4.49
260-0471-CD,1000,OB,4.49
260-0471-CD,2000,OB,4.49
260-0555,1000,OB,3.20
260-0555,2000,OB,3.20
280-0788,1000,Preform,0.00
280-0788,2000,Preform,0.00
280-0802,1000,Preform,0.00
280-0802,2000,Preform,0.00
280-0803,1000,Preform,0.00
280-0803,2000,Preform,0.00
280-0804-27,1000,TX COC,6.69
280-0804-27,2000,TX COC,8.50
280-0804-29,1000,TX COC,6.69
280-0804-29,2000,TX COC,8.50
280-0804-31,1000,TX COC,6.69
280-0804-31,2000,TX COC,8.50
280-0804-33,1000,TX COC,6.69
280-0804-33,2000,TX COC,8.50
280-0916-27,1000,TX COC,6.69
280-0916-27,2000,TX COC,6.69
280-0916-29,1000,TX COC,6.69
280-0916-29,2000,TX COC,6.69
280-0916-31,1000,TX COC,6.69
280-0916-31,2000,TX COC,6.69
280-0916-33,1000,TX COC,6.69
280-0916-33,2000,TX COC,6.69
280-0926,1000,RX,0.46
280-0926,2000,RX,0.00
280-0926-02,1000,RX,0.46
280-0926-02,2000,RX,0.00
280-0927,1000,TX,1.92
280-0927,2000,TX,0.00
280-0928,1000,RX,1.12
280-0928,2000,RX,0.00
280-0929,1000,TX,2.25
280-0929,2000,TX,0.00
280-0930,1000,RX,2.00
280-0930,2000,RX,0.00
280-0934,1000,TX,3.00
280-0934,2000,TX,0.00
280-0941,1000,Preform,0.00
280-0941,2000,Preform,0.00
280-1008,1000,Preform,1.00
280-1008,2000,Preform,0.00
280-1020,1000,Preform,0.00
280-1020,2000,Preform,0.00
280-1020-R,1000,Preform,0.00
280-1020-R,2000,Preform,0.00
280-1041,1000,TX,2.48
280-1041,2000,TX,0.00
280-1042-27,1000,TX COC,6.69
280-1042-27,2000,TX COC,8.50
280-1042-29,1000,TX COC,6.69
280-1042-29,2000,TX COC,8.50
280-1042-31,1000,TX COC,6.69
280-1042-31,2000,TX COC,8.50
280-1042-33,1000,TX COC,6.69
280-1042-33,2000,TX COC,8.50
280-1049-27,1000,TX COC,6.69
280-1049-27,2000,TX COC,7.00
280-1049-29,1000,TX COC,6.69
280-1049-29,2000,TX COC,7.00
280-1049-31,1000,TX COC,6.69
280-1049-31,2000,TX COC,7.00
280-1049-33,1000,TX COC,6.69
280-1049-33,2000,TX COC,7.00
280-1050,1000,RX,0.46
280-1050,2000,RX,0.00
280-1050-02,1000,RX,0.46
280-1050-02,2000,RX,0.00
280-1052,1000,Preform,0.00
280-1052,2000,Preform,0.00
280-1054-27,1000,TX COC,6.69
280-1054-27,2000,TX COC,0.00
280-1054-29,1000,TX COC,6.69
280-1054-29,2000,TX COC,0.00
280-1054-31,1000,TX COC,6.69
280-1054-31,2000,TX COC,0.00
280-1054-33,1000,TX COC,6.69
280-1054-33,2000,TX COC,0.00
280-1065,1000,TX,10.00
280-1065,2000,TX,0.00
280-1067,1000,LENS,0.00
280-1067,2000,LENS,0.20
280-1070,1000,RX,2.50
280-1070,2000,RX,0.00
280-1071-27,1000,TX COC,0.00
280-1071-27,2000,TX COC,0.00
280-1071-29,1000,TX COC,0.00
280-1071-29,2000,TX COC,0.00
280-1071-31,1000,TX COC,0.00
280-1071-31,2000,TX COC,0.00
280-1071-33,1000,TX COC,0.00
280-1071-33,2000,TX COC,0.00
280-1083,1000,TX,1.92
280-1083,2000,TX,0.00
280-1085,1000,TX,1.92
280-1085,2000,TX,0.00
280-1086-27,1000,TX COC,6.69
280-1086-27,2000,TX COC,8.50
280-1086-29,1000,TX COC,6.69
280-1086-29,2000,TX COC,8.50
280-1086-31,1000,TX COC,6.69
280-1086-31,2000,TX COC,8.50
280-1086-33,1000,TX COC,6.69
280-1086-33,2000,TX COC,8.50
280-1090,1000,RX,0.42
280-1090,2000,RX,0.00
280-1091,1000,TX,1.30
280-1091,2000,TX,0.00
280-1093-27,1000,TX COC,6.69
280-1093-27,2000,TX COC,8.50
280-1093-29,1000,TX COC,6.69
280-1093-29,2000,TX COC,8.50
280-1093-31,1000,TX COC,6.69
280-1093-31,2000,TX COC,8.50
280-1093-33,1000,TX COC,6.69
280-1093-33,2000,TX COC,8.50
280-1094,1000,TX,2.24
280-1094,2000,TX,0.00
280-1095,1000,RX,1.12
280-1095,2000,RX,0.00
280-1096,1000,TX,2.24
280-1096,2000,TX,0.00
280-1133,1000,Preform,0.00
280-1133,2000,Preform,0.00
280-1133-R,1000,Preform,0.00
280-1133-R,2000,Preform,0.00
280-1145,1000,TX,2.46
280-1145,2000,TX,0.00
280-1146-27,1000,TX COC,6.69
280-1146-27,2000,TX COC,8.50
280-1146-29,1000,TX COC,6.69
280-1146-29,2000,TX COC,8.50
280-1146-31,1000,TX COC,6.69
280-1146-31,2000,TX COC,8.50
280-1146-33,1000,TX COC,6.69
280-1146-33,2000,TX COC,8.50
280-1148,1000,RX,0.42
280-1148,2000,RX,0.42
280-1149,1000,TX,1.30
280-1149,2000,TX,1.30
280-1150,1000,RX,1.11
280-1150,2000,RX,0.00
280-1151,1000,RX,1.11
280-1151,2000,RX,0.00
280-1153,1000,RX,0.42
280-1153,2000,RX,0.00
280-1154-02,1000,TX,2.25
280-1154-02,2000,TX,0.00
280-1154-03,1000,TX,2.24
280-1154-03,2000,TX,0.00
280-1154-04,1000,TX,2.24
280-1154-04,2000,TX,0.00
280-1155-02,1000,TX,1.30
280-1155-02,2000,TX,0.00
280-1156,1000,RX,0.42
280-1156,2000,RX,0.42
280-1157,1000,TX,1.30
280-1157,2000,TX,1.30
280-1158,1000,TX,1.30
280-1158,2000,TX,1.30
280-1159,1000,RX,0.42
280-1159,2000,RX,0.42
280-1159-R,1000,RX,0.42
280-1159-R,2000,RX,0.42
280-1160-01,1000,TX,1.22
280-1160-01,2000,TX,0.00
280-1160-02,1000,TX,1.30
280-1160-02,2000,TX,1.30
280-1160-02-R,1000,TX,1.30
280-1160-02-R,2000,TX,1.30
280-1160-03,1000,TX,1.30
280-1160-03,2000,TX,1.30
280-1160-04,1000,TX,1.30
280-1160-04,2000,TX,1.30
280-1160-05,1000,TX,1.30
280-1160-05,2000,TX,1.30
280-1178,1000,TX,8.00
280-1178,2000,TX,0.00
280-1179,1000,Preform,1.00
280-1179,2000,Preform,0.00
280-1180,1000,RX,1.70
280-1180,2000,RX,0.00
280-1189,1000,RX,0.46
280-1189,2000,RX,0.00
280-1189-02,1000,RX,0.46
280-1189-02,2000,RX,0.00
280-1190,1000,RX,0.46
280-1190,2000,RX,0.00
280-1190-02,1000,RX,0.46
280-1190-02,2000,RX,0.00
280-1192-01,1000,TX,1.30
280-1192-01,2000,TX,0.00
280-1192-02,1000,TX,1.30
280-1192-02,2000,TX,1.30
280-1192-03,1000,TX,1.30
280-1192-03,2000,TX,1.30
280-1192-04,1000,TX,1.30
280-1192-04,2000,TX,1.30
280-1193,1000,RX,0.42
280-1193,2000,RX,0.75
280-1194,1000,RX,0.42
280-1194,2000,RX,0.00
280-1195-01,1000,TX,1.30
280-1195-01,2000,TX,1.30
280-1195-02,1000,TX,1.30
280-1195-02,2000,TX,1.30
280-1201,1000,TX,1.30
280-1201,2000,TX,0.00
280-1202-27,1000,TX COC,12.00
280-1202-27,2000,TX COC,0.00
280-1202-29,1000,TX COC,12.00
280-1202-29,2000,TX COC,0.00
280-1202-31,1000,TX COC,12.00
280-1202-31,2000,TX COC,0.00
280-1202-33,1000,TX COC,12.00
280-1202-33,2000,TX COC,0.00
280-1203-01,1000,TX,1.91
280-1203-01,2000,TX,0.00
280-1203-02,1000,TX,2.50
280-1203-02,2000,TX,0.00
280-1203-03,1000,TX,1.90
280-1203-03,2000,TX,0.00
280-1204,1000,RX,0.46
280-1204,2000,RX,0.00
280-1205,1000,RX,0.46
280-1205,2000,RX,0.00
280-1206,1000,TX,4.32
280-1206,2000,TX,0.00
280-1210-01,1000,,0.46
280-1210-01,2000,,0.46
280-1210-02,1000,RX,0.42
280-1210-02,2000,RX,0.42
280-1211-01,1000,TX,1.92
280-1211-01,2000,TX,0.00
280-1212-01,1000,RX,1.29
280-1212-01,2000,RX,0.00
280-1212-02,1000,RX,1.29
280-1212-02,2000,RX,0.00
280-1213-01,1000,TX,2.48
280-1213-01,2000,TX,0.00
280-1222,1000,TX,4.18
280-1222,2000,TX,0.00
280-1223-N0,1000,TX COC,10.00
280-1223-N0,2000,TX COC,0.00
280-1223-N1,1000,TX COC,10.00
280-1223-N1,2000,TX COC,0.00
280-1223-N2,1000,TX COC,10.00
280-1223-N2,2000,TX COC,0.00
280-1223-N3,1000,TX COC,10.00
280-1223-N3,2000,TX COC,0.00
280-1227,1000,RX,0.42
280-1227,2000,RX,0.00
280-1229-02,1000,TX,1.30
280-1229-02,2000,TX,1.30
280-1235,1000,TX,4.18
280-1235,2000,TX,0.00
280-1245-01,1000,RX,0.42
280-1245-01,2000,RX,0.00
280-1245-02,1000,RX,0.42
280-1245-02,2000,RX,0.00
280-1246,1000,TX,1.30
280-1246,2000,TX,0.00
280-1297,1000,TX,4.18
280-1297,2000,TX,0.00
280-1298-N0,1000,TX COC,10.00
280-1298-N0,2000,TX COC,0.00
280-1298-N1,1000,TX COC,10.00
280-1298-N1,2000,TX COC,0.00
280-1298-N2,1000,TX COC,10.00
280-1298-N2,2000,TX COC,0.00
280-1298-N3,1000,TX COC,10.00
280-1298-N3,2000,TX COC,0.00
280-1312-27,1000,TX COC,6.10
280-1312-27,2000,TX COC,7.00
280-1312-29,1000,TX COC,6.10
280-1312-29,2000,TX COC,7.00
280-1312-31,1000,TX COC,6.60
280-1312-31,2000,TX COC,7.00
280-1312-33,1000,TX COC,6.10
280-1312-33,2000,TX COC,7.00
280-1313,1000,TX,1.30
280-1313,2000,TX,1.30
280-1314,1000,TX,1.30
280-1314,2000,TX,1.30
280-1314-R,1000,TX,1.30
280-1314-R,2000,TX,1.30
280-1334-27,1000,TX COC,7.40
280-1334-29,1000,TX COC,7.40
280-1334-31,1000,TX COC,7.40
280-1334-33,1000,TX COC,7.40
280-1335,1000,RX,0.42
280-1336,1000,TX,1.30
280-1337,1000,Preform,0.00
280-1391,1000,Preform,0.00
280-1391,2000,Preform,0.00
280-1392,1000,Preform,0.00
280-1392,2000,Preform,0.00
280-1393,1000,,0.00
280-1395,1000,,0.00
280-1404,1000,TX,1.30
280-1404,2000,TX,1.30
280-1405,1000,RX,0.42
280-1405,2000,RX,0.42
280-1418,1000,TX,1.30
280-1418,2000,TX,1.30
280-1418-R,1000,TX,0.82
280-1423,1000,TX,1.30
280-1423,2000,TX,1.30
280-1456,1000,TX,1.30
280-1456,2000,TX,1.30
280-1457,1000,Preform,0.00
280-1457,2000,Preform,0.00
280-1458,1000,Preform,0.00
280-1458,2000,Preform,0.00
280-1459,1000,Receptacle,0.00
280-1459,2000,Receptacle,0.00
280-1460,1000,Receptacle,0.00
280-1460,2000,Receptacle,0.00
280-1464,1000,TX,1.30
280-1464,2000,TX,1.30
280-1465,1000,RX,0.42
280-1465,2000,RX,0.42
280-1480-27,1000,TX COC,6.69
280-1480-27,2000,TX COC,7.00
280-1480-29,1000,TX COC,6.69
280-1480-29,2000,TX COC,7.00
280-1480-31,1000,TX COC,6.69
280-1480-31,2000,TX COC,7.00
280-1480-33,1000,TX COC,6.69
280-1480-33,2000,TX COC,7.00
280-1481,1000,TX,1.30
280-1481,2000,TX,1.30
280-1482,1000,TX,1.30
280-1482,2000,TX,1.30
280-1498-27,1000,TX COC,6.69
280-1498-27,2000,TX COC,6.69
280-1498-29,1000,TX COC,6.69
280-1498-29,2000,TX COC,6.69
280-1498-31,1000,TX COC,6.69
280-1498-31,2000,TX COC,6.69
280-1498-33,1000,TX COC,6.69
280-1498-33,2000,TX COC,6.69
280-1499,1000,TX,1.30
280-1499,2000,TX,1.30
280-1524,1000,TX,1.30
280-1524,2000,TX,1.30
280-1530,1000,TX,1.30
280-1530,2000,TX,1.30
280-1531,1000,TX,1.30
280-1531,2000,TX,1.30
280-1532-27,1000,TX COC,6.69
280-1532-27,2000,TX COC,8.50
280-1532-29,1000,TX COC,6.69
280-1532-29,2000,TX COC,8.50
