FG/PN,FG description,Model,Customer abbreviate,PN for customer,,
500-5500,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",CWDM4 Lite,677,TR-FC13H-HCI,,
500-6204,"100G Q28 CWDM4 Gen3,BD(SEI,2105B+2110S)",COP GEN3,855,TR-FC13T-N00,,
500-4640,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",QSFP+ IR4,888,TR-FC13T-N4T,,inner join condition
500-5529,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",COP GEN3 ECWDM4,818,TR-FC13X-N00,,PN for customer +customer abbr is a group
500-6390,"100G LX4 C1.1,1310nm,Macom+Oclaro,CT,HT",100G LX4,888,TR-FC13Y-N00,,
500-4888,"CWDM4 COP V2.0,FlexOptix(Gen3 Mit DFB)",CWDM4,FlexOptix,TR-FC13T-N00,,
500-4611,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",CWDM4,828,TR-FC13T-N00,,
561-0026,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",CWDM4,633,TR-FC13T-NJ3,,
500-5785,"40G&100G CWDM4 COP(S-180),AWS(Mit Gen3)",CWDM4,688,TR-FC13T-NWB,,
500-4957,100G CWDM4 Gen3 for Alibaba,COP GEN3,818,TR-FC13T-N00,,
500-6448,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",LX4,858,TR-QQ13Y-N00,,
500-4067-02,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JC,QSFP+ LR4,633,TR-QQ13L-NJC,,
500-6285,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",COP GEN3 ECWDM4,888,TR-FC13T-N00,,
500-6035,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",COP GEN3-CLR4,888,TR-FC13V-N00,,
500-5595,"100G QSFP28 CWDM4 Gen3,Tencent(SEI,Sif)",COP GEN3 ,898,TR-FC13T-NTC,,
500-4672,"CWDM4 V2.0,for UNIS,Weld(Ocl+M37244)",QSFP+ LR4,858,TR-FC13T-N00,,
561-0183,100G QSFP28 CWDM4 COP V2.0 2Km Blank TW,CWDM4,international_others,TR-FC13T-NBK,,
500-4066-02,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,QSFP+ LR4,633,TR-QQ13L-NJP,,
561-0057,"100G QSFP28 CWDM4 COP Std(Weld+Mit),TW",CWDM4,domestic_others,TR-FC13T-N00,,
500-6266,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",QSFP+ IR4,858,TR-FC13T-N4T,,
500-4752,"QSFP+ LR4 V3.0 Ocl,GCS)HT(34060645-002)",QSFP+ LR4,888,TR-FC13T-N4X,,
500-6160,"40G QSFP+ IR4 V3.0(100G CWDM4 Ocl),UNIS",QSFP+ IR4,858,TR-FC13T-N4T,,
500-4378,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",CWDM4,858,TR-FC13T-NHP,,
500-6161,"40G QSFP+ LR4 V3.0(100G CWDM4 Ocl),UNIS",QSFP+ LR4,858,TR-FC13T-N4X,,
500-5550,"100G QSFP28 CWDM4 Gen3,HT,SEI DFB",COP GEN3,888,TR-FC13T-N00,,
500-3776-02,"100G CWDM4 V2.0,Std(Welding+Oclaro DFB)",CWDM4,international_others,TR-FC13T-N00,,
500-4792,QSFP+ LR4 V3.0(100G CWDM4_Oclaro) HP,QSFP+ LR4,858,TR-FC13T-XHP,,
500-5499,"100G Q28 CWDM4 V2.0,Cisco(Weld+Mit DFB)",CWDM4,677,TR-FC13T-NCI,,
