Plant,PN,Description,版次,单位,MRP控制者,MRP控制者描述,JIT进料周期,最小起订量,最小包装量,计划类型,机种,采购员,采购员描述,MRP库存,审核中的PRPO,执行中PO,ITEM,20240317,20240324,20240331,20240407,20240414,20240421,20240428,20240505,20240512,20240519,20240526,20240602,20240707,20240804,20240901,20241006
1000,140-0340,"IC,Four Channel 25/28G CDR with TIA/LA",1A,PC,073,E14098张丽,62,3800,3800,PD,,A03,徐敏,60002,0,100296,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,140-0345,"IC,Quad VCSEL Driver,25.8G/28G",1A,PC,085,E19G58崔丽丽,62,3800,3800,PD,,A03,徐敏,60000,0,100982,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,140-0364,"IC,Quad 25Gb/s TIA & CDR Receiver Array",1A,PC,047,E18B27晁沙沙,62,72,1,PD,F36 M16,A03,徐敏,12200,0,5115,PMC,0,0,0,422.000,422.000,422.000,425.000,1009.000,1009.000,1009.000,1009.000,5150.000,5148.000,5048.000,3940.000,2428.000
1000,140-0472,"IC,25Gb/s Dual CDR VCSEL Driver&TIA",1A,PC,056,T21246张鲁,62,2500,1,PD,,A03,徐敏,0,0,28408,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,140-0851,"IC,25Gb/s,Quad-Channel,Vpp<900mV",1A,PC,090,E2216J陆雪娟,76,100,1,PD,,A03,徐敏,0,0,44272,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,220-0072,MT Ferrule Connector /MM(OM3),1D,PC,085,E19G58崔丽丽,45,100,100,PD,,A10,王紫慧,0,0,2,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,220-0227,MT Ferrule Conn/MM(OM3),1A,PC,085,E19G58崔丽丽,45,100,100,PD,,A04,李宗洋,0,0,1060,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-0431,"recptacle side C-lens,R1.65*D1.8*T1.7",1B,PC,090,E2216J陆雪娟,66,100,100,PD,F50,A10,王紫慧,1816,0,6700,PMC,1300.000,1300.000,1300.000,1375.000,1375.000,1375.000,1375.000,1154.000,1154.000,1154.000,1151.000,5125.000,5125.000,5125.000,2460.000,2460.000
1000,280-0489,850nm 25G 1*4 PD,1A,PC,085,E19G58崔丽丽,62,1,1,PD,,A07,吕文悦,8993,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-0574,ALN 0.3mm*0.3mm*0.127mmtwo-side plated,1C,PC,087,E16680郑路路,45,35000,35000,PD,F50,A02,唐莹,7216,0,35304,PMC,0,0,0,8750.000,8750.000,8750.000,8750.000,1157.000,1157.000,1157.000,1153.000,5135.000,5136.000,5136.000,2465.000,2468.000
