Plant,PN,Description,版次,单位,MRP控制者,MRP控制者描述,JIT进料周期,最小起订量,最小包装量,计划类型,机种,采购员,采购员描述,MRP库存,审核中的PR,执行中PO,ITEM,20240714,20240721,20240728,20240804,20240811,20240818,20240825,20240901,20240908,20240915,20240922,20240929,20241006,20241103,20241201,20250105,20250202,20250302,20250406,20250504,20250601
1000,140-0547,"IC,Quad 25Gb/s TIA & CDR Receiver Array",1A,PC,090,E2216J陆雪娟,45,1,1,PD,F50,A03,徐敏,7197,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,832.000,520.000,0,0,0,0,0,0,0
1000,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",1A,PC,090,E2216J陆雪娟,45,1,1,PD,F36 M16,A07,吕文悦,39993,0,30456,PMC,6245.000,6245.000,6248.000,4821.000,4821.000,4821.000,4194.000,3521.000,3521.000,3521.000,3521.000,3524.000,16768.000,13624.000,12120.000,12116.000,12116.000,3815.000,3811.000,3811.000,0
1000,280-0897,"Light path lift,73.3deg,2.54*3.15*1.27mm",1A,PC,090,E2216J陆雪娟,38,100,100,PD,,A10,王紫慧,0,0,4700,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-0898,"Tilt Prism PEI Lens,14.45deg* 4.86 deg",1B,PC,090,E2216J陆雪娟,38,100,100,PD,F50,A10,王紫慧,2658,0,1300,PMC,0,0,0,407.000,407.000,306.000,80.000,240.000,240.000,240.000,240.000,240.000,816.000,512.000,0,0,0,0,0,0,0
1000,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",1B,PC,090,E2216J陆雪娟,38,100,100,PD,F50,A04,李宗洋,6142,0,4500,PMC,0,0,0,0,0,0,0,0,0,0,0,0,832.000,520.000,0,0,0,0,0,0,0
1000,283-0098,"Pin PD Array,4*25Gbps,250um ptich",1A,PC,090,E2216J陆雪娟,45,100,1,PD,F50,A07,吕文悦,3949,0,835,PMC,497.000,0,0,414.000,414.000,311.000,105.000,207.000,207.000,207.000,207.000,210.000,832.000,520.000,0,0,0,0,0,0,0
1000,287-0003,Isolator D2.5mm CA 0.7 single 7degree,1B,PC,090,E2216J陆雪娟,38,100,100,PD,F50,A05,薛凤,3027,0,3700,PMC,0,0,0,300.000,0,0,0,200.000,200.000,200.000,200.000,200.000,780.000,487.000,0,0,0,0,0,0,0
1000,302-0004,TSLG Nylok Screw M1.4x0.3x5.45,1B,PC,090,E2216J陆雪娟,38,1000,1000,PD,I44 M66 I55 I64 N20 I66 M42 M22 I14 F50 I59 M07 M49 I15,A06,李跃红,529147,0,93000,PMC,0,0,0,57036.000,61668.000,296.000,0,49600.000,49600.000,49600.000,49600.000,49600.000,259397.000,254044.000,160807.000,90258.000,105136.000,119614.000,89842.000,99738.000,91242.000
1000,311-0436,"EMI Composite Tape,15.0*5.7*0.08mm",1A,PC,090,E2216J陆雪娟,45,1000,1000,PD,M22 M41,A16,辛帆,42132,0,652690,PMC,223690.000,0,0,107250.000,107250.000,107250.000,107250.000,90200.000,90200.000,90200.000,90200.000,90200.000,459522.000,524926.000,721421.000,577974.000,577974.000,706415.000,556570.000,556570.000,688981.000
2000,101-0001,"WB Capacitor,220pF,+80%,-20%,16V",1A,PC,090,E2216J陆雪娟,45,16000,16000,PD,F52 F30 F13 M88 F37,A07,吕文悦,34894,0,464091,PMC,42666.000,42668.000,0,36000.000,36000.000,36000.000,36000.000,32000.000,32000.000,32000.000,32000.000,32000.000,190135.000,217956.000,182160.000,182160.000,91080.000,91080.000,91080.000,91080.000,91080.000
2000,140-0547,"IC,Quad 25Gb/s TIA & CDR Receiver Array",1A,PC,090,E2216J陆雪娟,45,1,1,PD,F13 F16,A03,徐敏,40666,0,168123,PMC,0,0,0,5709.000,5709.000,2602.000,0,6023.000,6023.000,6023.000,6023.000,6026.000,32312.000,32312.000,37355.000,35332.000,18172.000,18175.000,18172.000,18172.000,15135.000
2000,280-0511-03,"Clens,3dB(R1.419xD1.4xT1.7)",1A,PC,090,E2216J陆雪娟,38,100,100,PD,F37,A10,王紫慧,6526,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,220.000,656.000,0,0,0,0,0,0,0
2000,280-0511-04,"Clens,4dB(R1.419xD1.4xT1.7)",1A,PC,090,E2216J陆雪娟,38,100,100,PD,F37,A10,王紫慧,1974,0,2740,PMC,0,0,0,0,0,0,0,0,0,0,0,0,436.000,1308.000,0,0,0,0,0,0,0
2000,280-0511-05,"Clens,5dB(R1.419xD1.4xT1.7)",1A,PC,090,E2216J陆雪娟,38,100,100,PD,F37,A10,王紫慧,3355,0,2500,PMC,0,0,0,0,0,0,0,0,0,0,0,0,2180.000,6540.000,0,0,0,0,0,0,0
2000,280-0511-06,"Clens,6dB(R1.419xD1.4xT1.7)",1A,PC,090,E2216J陆雪娟,38,100,100,PD,F37,A10,王紫慧,29582,0,15400,PMC,0,0,0,0,0,0,0,0,0,0,0,0,18912.000,56736.000,0,0,0,0,0,0,0
2000,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",1A,PC,090,E2216J陆雪娟,45,1,1,PD,M41 F13 F16,A07,吕文悦,311686,0,638851,PMC,34569.000,0,0,67761.000,67761.000,67761.000,67764.000,54006.000,54006.000,54006.000,54006.000,54010.000,276524.000,352532.000,433370.000,354552.000,337232.000,408095.000,325424.000,325424.000,334160.000
2000,280-0695,TX Devide Side C-Lens Holder 2.2*1.8*3,1C,PC,090,E2216J陆雪娟,38,100,100,PD,F30 F37 F13,A10,王紫慧,144258,0,178320,PMC,37310.000,0,0,28750.000,28750.000,28750.000,28750.000,24200.000,24200.000,24200.000,24200.000,24200.000,138352.000,170400.000,113400.000,113400.000,60480.000,60480.000,60480.000,60480.000,60480.000
2000,280-0696,TIA Submount,1B,PC,090,E2216J陆雪娟,45,100000,1,PD,F13,A02,唐莹,21911,0,48740,PMC,0,0,0,3267.000,3267.000,3267.000,2458.000,4522.000,4522.000,4522.000,4522.000,4526.000,25128.000,25128.000,30150.000,30152.000,15076.000,15075.000,15076.000,15076.000,15075.000
