code,DPModel
F02,100G QSFP28 SR4 Gen2.0
F01,100G QSFP28 AOC Gen2.0
F13,100G QSFP28 CWDM4 Gen1.0
M09,100G QSFP28 CGR4 Gen3.0 W/CDR
F11,100G QSFP28 CLR4 non-FEC Gen1.0
F17,100G QSFP28 CWDM4 BiDi Gen1.0
M51,100G QSFP28 CWDM4 Gen2.0
M53,100G QSFP28 CWDM4 Lite Gen2.0
F13,100G QSFP28 CWDM4 Gen2.0
F35,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform)
F33,40G QSFP+ IR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform)
F30,100G QSFP28 CWDM4 Gen3.0
F29,100G QSFP28 SR4 Gen3.0
F28,100G QSFP28 AOC Gen3.0
M91,100G QSFP28 to 2x50G QSFP28 breakout AOC Gen3.0
F38,40G QSFP+ SR4 Gen3.0
F31,100G QSFP28 eCWDM4 Gen3.0
F40,100G QSFP28 CWDM4 Gen3.1
F37,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform)
G10,100G QSFP28 to 4x25G SFP28 Breakout AOC Gen3.0
