Plant,删除标识,凭证日期,采购凭证,项目,PN,库存地点,Quantity,仍要交货(数量),短文本,订单单位,采购组,项目类别,物料组,Vendor,Vendor_Name
1000,,11/20/23,4500069970,10,10,6010,1,1,"Acrylate,Daikin,UV3000,5g/支",PC,A10,0,313P87C2,100331, 广州长濑贸易有限公司
2000,,7/26/23,4500062884,10,223-0011,6010,12094,1,"CM,OB Ass-BOM,500031(Welding)",PC,A04,3,223P8690,100073, 苏州伽蓝致远电子科技股份有限公司
1000,,7/24/23,4500062675,40,160-1291,6010,8207,1,PCB,PC,A07,0,160P4965,100019, 深南电路股份有限公司
1000,,4/28/23,4500058519,20,160-1291,6010,3854,1,PCB,PC,A07,0,160P4965,100204, 东莞森玛仕格里菲电路有限公司
2000,,4/23/23,4500058223,10,330-0081,6010,15000,1,"Label,29.0*15.0,white,inno-logo",PC,A16,0,330P96E3,100175, 苏州高泰电子技术股份有限公司
1000,,9/23/22,4500050120,40,160-1291,5010,5266,1,PCB,PC,A02,0,160P4965,100204, 东莞森玛仕格里菲电路有限公司
1000,,9/23/22,4500050123,50,160-1291,5010,12289,1,PCB,PC,A02,0,160P4965,100019, 深南电路股份有限公司
1000,,3/31/22,4500043323,80,220-0230-015,6010,450,1,"Fiber,OM2,15m",PC,A04,0,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,3/14/24,4500079217,10,504-1718,6010,100,2,"PCBA BOM,100G QSFP28 SR4 lowcost",PC,A22,3,504P5071,100297, 无锡索米科技有限公司
1000,,12/18/23,4900010026,70,310-0494-020,VM01,3300,2,"Pull,Green,Cisco,20m,25m,30m",PC,A06,2,310P91C8,100102, 苏州松翔电通科技有限公司
2000,,6/26/23,4500060987,10,330-0081,6010,15000,2,"Label,29.0*15.0,white,inno-logo",PC,A16,0,330P96R5,100175, 苏州高泰电子技术股份有限公司
2000,,4/11/23,4500057723,10,330-0081,6010,15000,2,"Label,29.0*15.0,white,inno-logo",PC,A16,0,330P96E3,100175, 苏州高泰电子技术股份有限公司
1000,,3/15/23,4500056682,20,350-0485,6010,4000,2,"Packing Tray,319.2*190*19,4PCS,#3",PC,A16,0,350P97E4,100323, 苏州安卓电子有限公司
2000,,3/28/23,4500057191,10,330-0081,6010,15000,3,"Label,29.0*15.0,white,inno-logo",PC,A16,0,330P96E3,100175, 苏州高泰电子技术股份有限公司
1000,,1/6/23,4500054244,50,160-1291,6010,13293,3,PCB,PC,A02,0,160P4965,100019, 深南电路股份有限公司
1000,,9/25/23,4500066472,10,313-0039,6010,3600,5,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
1000,,12/29/22,4500054002,10,330-0081,6010,50000,5,"Label,29.0*15.0,white,inno-logo",PC,A16,0,330P96E3,100063, 上海康挚实业有限公司
5000,,7/24/23,4500062695,10,330-0403,6010,6000,6,"Label,25*13,Cisco BP:473-00014-05(TMG9)",PC,A16,0,330P96R5,200079, Worldmark International Limited
5000,,3/20/24,4500079777,20,310-0368,6010,7,7,"Epoxy,Henkel,84-1 LMI SR4, 18g/支",PC,A10,0,313P87C2,200175, Shanghai Reliant Materials Technolo
5000,,3/7/24,4500078641,10,313-0010,6010,9,9,"Epoxy,Henkel,3119,3ml/支",PC,A10,0,313P87C2,200175, Shanghai Reliant Materials Technolo
1000,,3/20/24,4500079686,10,310-0234,6010,10,10,"Acrylate,Dymax,6-621,30ml/支",PC,A10,0,313P87C2,100199, 苏州美凯邦机电有限公司
1000,,3/6/24,4500078550,10,313-0062,6010,10,10,"Silicon,上海汉司,MegaGlue 6926/W,30ml/支",PC,A10,0,313P87C2,100083, 厦门信和达电子有限公司
5000,,2/29/24,4500077961,10,310-0109,6010,10,10,"Acrylate,Daikin,UV3000,5g/支",PC,A10,0,313P87C2,200032, NAGASE(HONG KONG) LTD.
5000,,2/29/24,4500077962,10,310-0368,6010,10,10,"Epoxy,Henkel,84-1 LMI SR4, 18g/支",PC,A10,0,313P87C2,200175, Shanghai Reliant Materials Technolo
5000,,1/17/24,4500074535,20,310-0238,6010,10,10,"Acrylate,Dymax,9001(Ev3.7),30ml/支",PC,A10,0,313P87C2,500100, SuzhouRuikaiNewMaterialCo.;Ltd.
1000,,2/1/24,4500075912,10,310-0282,6010,12,12,"Acrylate,EMI,AC-3761L,3ml/支",PC,A10,0,313P87C2,100200, 上海英开化工科技有限公司
5000,,1/17/24,4500074535,10,310-0284,6010,12,12,"Acrylate,Dymax,OP-60,3cc/支",PC,A10,0,313P87C2,500100, SuzhouRuikaiNewMaterialCo.;Ltd.
5000,,2/28/24,4500077846,10,310-0368,6010,13,13,"Epoxy,Henkel,84-1 LMI SR4, 18g/支",PC,A10,0,313P87C2,200175, Shanghai Reliant Materials Technolo
5000,,3/20/24,4500079778,20,313-0001,6010,16,16,"Epoxy,NGAC,P907-30,3ml/支",PC,A10,0,313P87C2,200085, NGAC LLC.
5000,,12/21/23,4500072343,10,330-0403,6010,12000,16,"Label,25*13,Cisco BP:473-00014-05(TMG9)",PC,A13,0,330P96R5,200079, Worldmark International Limited
