Customer_ID,CustomerName,PRODUCT_ID,IndustrialStandard,PO_Delivery_Date,PO_Quantity,Quantity,DATE_ID_SHIPPED
100023,华为技术有限公司,500-6390,TR-FC13Y-N00,1/18/2023,214,100.000,3/30/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,9/25/2023,24,24.000,2/18/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,9/18/2023,26,26.000,2/18/2024
100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,10/2/2023,150,150.000,5/12/2024
100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,8/4/2023,60,60.000,5/19/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,8/18/2023,24,24.000,2/5/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,8/18/2023,16,16.000,2/5/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,8/18/2023,40,40.000,2/5/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,8/18/2023,16,16.000,2/5/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,8/22/2023,10,10.000,5/19/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,8/22/2023,10,10.000,5/19/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,8/22/2023,10,10.000,5/19/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,8/22/2023,40,40.000,5/19/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,9/4/2023,40,40.000,5/19/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,9/4/2023,10,10.000,5/19/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,9/4/2023,40,40.000,5/19/2024
100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,9/18/2023,690,690.000,6/20/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,9/18/2023,50,50.000,5/19/2024
100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,10/5/2023,20,20.000,3/23/2024
100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,10/13/2023,38,38.000,1/3/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,11/17/2023,16,16.000,1/3/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,11/17/2023,256,256.000,1/3/2024
100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,10/20/2023,72,72.000,1/11/2024
100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,10/30/2023,1165,1165.000,1/29/2024
100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,11/3/2023,364,364.000,1/29/2024
200026,FlexOptix GmbH,500-4888,TR-FC13T-N00,11/8/2023,1960,700.000,3/29/2024
200026,FlexOptix GmbH,500-4888,TR-FC13T-N00,11/8/2023,1960,200.000,2/25/2024
200026,FlexOptix GmbH,500-4888,TR-FC13T-N00,11/8/2023,1960,500.000,2/25/2024
200026,FlexOptix GmbH,500-4888,TR-FC13T-N00,11/8/2023,1960,460.000,1/27/2024
200026,FlexOptix GmbH,500-4888,TR-FC13T-N00,11/8/2023,1960,100.000,1/12/2024
200026,FlexOptix GmbH,500-4889,TR-FC13T-N00,11/8/2023,1040,400.000,1/12/2024
200026,FlexOptix GmbH,500-4889,TR-FC13T-N00,11/8/2023,1040,40.000,1/27/2024
200026,FlexOptix GmbH,500-4889,TR-FC13T-N00,11/8/2023,1040,100.000,2/25/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,11/30/2023,24,24.000,1/3/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,12/1/2023,4,4.000,1/3/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,12/1/2023,2,2.000,1/3/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,12/1/2023,64,64.000,1/3/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,12/1/2023,128,128.000,1/3/2024
100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,11/11/2023,357,357.000,2/22/2024
100023,华为技术有限公司,500-6035,TR-FC13V-N00,2/11/2024,80,80.000,2/6/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,12/19/2023,64,64.000,1/3/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,12/19/2023,64,64.000,1/3/2024
100417,北京百度网讯科技有限公司,500-6204,TR-FC13T-N00,12/15/2023,4276,600.000,1/22/2024
100417,北京百度网讯科技有限公司,500-6204,TR-FC13T-N00,12/15/2023,4276,1326.000,1/22/2024
100417,北京百度网讯科技有限公司,500-6420,TR-FC13T-N00,12/4/2023,768,768.000,1/10/2024
100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,12/22/2023,2000,800.000,1/2/2024
100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,12/22/2023,2000,800.000,2/18/2024
100023,华为技术有限公司,500-6035,TR-FC13V-N00,3/23/2024,150,150.000,3/17/2024
100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,12/22/2023,1500,1500.000,1/5/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,12/8/2023,40,40.000,5/19/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,12/8/2023,60,60.000,3/11/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,12/8/2023,18,18.000,4/16/2024
100217,新华三信息技术有限公司,500-6160,TR-FC13T-N4T,12/8/2023,26,26.000,3/2/2024
100217,新华三信息技术有限公司,500-6161,TR-FC13T-N4X,12/8/2023,5,5.000,2/19/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,12/8/2023,38,38.000,5/12/2024
100217,新华三信息技术有限公司,500-6161,TR-FC13T-N4X,12/8/2023,22,22.000,1/25/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,12/8/2023,7,7.000,2/19/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,12/8/2023,40,26.000,3/2/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,12/8/2023,40,14.000,5/12/2024
200114,Hyve Solutions Corporation,500-5785,TR-FC13T-NWB,12/15/2023,2000,1000.000,1/9/2024
200114,Hyve Solutions Corporation,500-5785,TR-FC13T-NWB,12/15/2023,2000,1000.000,1/16/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,1/19/2024,2,2.000,1/19/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,1/19/2024,2,2.000,1/19/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,1/19/2024,1,1.000,1/19/2024
200390,Aceville Pte. Ltd.,500-5595,TR-FC13T-NTC,1/19/2024,256,256.000,1/3/2024
100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,12/15/2023,50,50.000,5/19/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,12/15/2023,10,10.000,3/30/2024
200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-6417,TR-FC13T-N00,1/5/2024,770,770.000,1/3/2024
100023,华为技术有限公司,500-7041,TR-FC13T-N00,4/13/2024,148,148.000,2/5/2024
100023,华为技术有限公司,500-7041,TR-FC13T-N00,4/20/2024,689,689.000,2/5/2024
100023,华为技术有限公司,500-7041,TR-FC13T-N00,5/4/2024,675,675.000,2/5/2024
100023,华为技术有限公司,500-7041,TR-FC13T-N00,5/18/2024,683,683.000,2/4/2024
100300,北京字跳网络技术有限公司,500-4562,TR-QQ13L-N00,1/12/2024,120,120.000,1/2/2024
100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,12/27/2023,330,330.000,3/23/2024
100411,阿里巴巴信息港（江苏）有限公司,500-6417,TR-FC13T-N00,1/10/2024,44,44.000,1/4/2024
100023,华为技术有限公司,500-7041,TR-FC13T-N00,6/8/2024,703,703.000,2/23/2024
100023,华为技术有限公司,500-7041,TR-FC13T-N00,6/22/2024,686,686.000,2/23/2024
100023,华为技术有限公司,500-7041,TR-FC13T-N00,7/6/2024,680,680.000,2/23/2024
200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-5529,TR-FC13X-N00,1/3/2024,76,66.000,1/3/2024
200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-5529,TR-FC13X-N00,1/3/2024,76,10.000,1/3/2024
200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-5819,TR-FC13X-NRO,1/3/2024,66,66.000,1/4/2024
200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-6417,TR-FC13T-N00,1/3/2024,580,580.000,1/5/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,12/29/2023,22,22.000,3/30/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,12/29/2023,22,22.000,5/12/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,12/29/2023,64,64.000,5/12/2024
100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,12/29/2023,22,22.000,5/12/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,12/29/2023,36,36.000,3/30/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,12/29/2023,10,10.000,4/16/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,12/29/2023,10,10.000,4/16/2024
100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,1/2/2024,70,70.000,1/15/2024
100417,北京百度网讯科技有限公司,500-6204,TR-FC13T-N00,1/27/2024,768,768.000,1/31/2024
200114,Hyve Solutions Corporation,500-4890,TR-QQ13T-NAM,1/25/2024,250,250.000,1/19/2024
200114,Hyve Solutions Corporation,500-5010,TR-QQ13T-NW2,1/25/2024,950,950.000,1/19/2024
100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,1/8/2024,520,520.000,1/10/2024
100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,1/8/2024,230,230.000,3/23/2024
200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-5529,TR-FC13X-N00,1/10/2024,72,72.000,1/12/2024
PSM01,INNOLIGHT TECHNOLOGY USA INC.,500-5281,TR-FC13T-NGL,1/10/2024,600,600.000,1/29/2024
100185,深圳融溢科技有限公司,500-6485,TR-QQ13Y-N00,1/12/2024,11,11.000,1/19/2024
100185,深圳融溢科技有限公司,500-7232,TR-BC13P-H00,1/12/2024,190,190.000,1/16/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,1/15/2024,10,10.000,3/30/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,1/15/2024,11,11.000,3/30/2024
100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,1/15/2024,11,11.000,3/30/2024
100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,1/15/2024,60,5.000,4/24/2024
100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,1/15/2024,20,20.000,5/19/2024
100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,1/15/2024,120,120.000,3/23/2024
