FG PN,PLANT,Work order code,,,,
500-3165,1000,F02,,,,
500-3166,1000,F02,,,,
500-3186,1000,F02,,,,
500-3186,2000,F02,,,,
500-3190,1000,F02,,,,
500-3190,2000,F02,,,,
500-3209,1000,F02,,,,
500-3209,2000,F02,,,,
500-3231,1000,F02,,,,
500-3231,2000,F02,,,,
500-3245,1000,F02,,,,
500-3245,2000,F02,,,,
500-3261,1000,F02,,,,
500-3264-007,1000,F01,,,,
500-3264-007,2000,F01,,,,
500-3264-010,1000,F01,,,,
500-3264-010,2000,F01,,,,
500-3264-020,1000,F01,,,,
500-3264-020,2000,F01,,,,
500-3265-005,1000,F01,,,,
500-3265-007,1000,F01,,,,
500-3265-010,1000,F01,,,,
500-3265-020,1000,F01,,,,
500-3265-030,1000,F01,,,,
500-3287,1000,F02,,,,
500-3292,1000,F02,,,,
500-3301,1000,F13,,,,
500-3335,1000,F02,,,,
500-3335,2000,F02,,,,
500-3344,1000,F02,,,,
500-3344,2000,F02,,,,
500-3347,1000,F02,,,,
500-3378,1000,M09,,,,
500-3385,1000,F02,,,,
500-3387,1000,F02,,,,
500-3394,1000,F13,,,,
500-3394,2000,F13,,,,
500-3394-05,1000,F13,,,,
500-3411,1000,F02,,,,
500-3417-001,1000,F01,,,,
500-3417-002,1000,F01,,,,
500-3417-003,1000,F01,,,,
500-3417-004,1000,F01,,,,
500-3417-005,1000,F01,,,,
500-3417-006,1000,F01,,,,
500-3417-007,1000,F01,,,,
500-3417-008,1000,F01,,,,
500-3417-010,1000,F01,,,,
500-3417-013,1000,F01,,,,
500-3417-015,1000,F01,,,,
500-3417-020,1000,F01,,,,
500-3417-025,1000,F01,,,,
500-3417-030,1000,F01,,,,
500-3417-040,1000,F01,,,,
500-3417-100,1000,F01,,,,
500-3418,1000,F11,,,,
500-3425,1000,F02,,,,
500-3425,2000,F02,,,,
500-3426-001,1000,F01,,,,
500-3426-002,1000,F01,,,,
500-3426-003,1000,F01,,,,
500-3426-005,1000,F01,,,,
500-3426-006,1000,F01,,,,
500-3426-007,1000,F01,,,,
500-3426-015,1000,F01,,,,
500-3426-025,1000,F01,,,,
500-3426-030,1000,F01,,,,
500-3426-040,1000,F01,,,,
500-3426-050,1000,F01,,,,
500-3432-001,1000,F01,,,,
500-3432-003,1000,F01,,,,
500-3432-005,1000,F01,,,,
500-3432-007,1000,F01,,,,
500-3432-010,1000,F01,,,,
500-3432-015,1000,F01,,,,
500-3432-020,1000,F01,,,,
500-3432-030,1000,F01,,,,
500-3451,1000,F02,,,,
500-3462-001,1000,F01,,,,
500-3462-002,1000,F01,,,,
500-3462-003,1000,F01,,,,
500-3462-005,1000,F01,,,,
500-3462-007,1000,F01,,,,
500-3462-010,1000,F01,,,,
500-3462-015,1000,F01,,,,
500-3462-020,1000,F01,,,,
500-3462-025,1000,F01,,,,
500-3462-030,1000,F01,,,,
500-3480,1000,F02,,,,
500-3480,2000,F02,,,,
500-3481,1000,F02,,,,
500-3481,2000,F02,,,,
500-3490,1000,F13,,,,
500-3508,1000,F02,,,,
500-3519,1000,F02,,,,
500-3532,1000,M09,,,,
500-3611-001,1000,F01,,,,
500-3621,1000,M09,,,,
500-3633,1000,F13,,,,
500-3633-01,1000,F13,,,,
500-3633-04,1000,F13,,,,
500-3644,1000,F13,,,,
500-3647-001,1000,F01,,,,
500-3647-002,1000,F01,,,,
500-3647-003,1000,F01,,,,
500-3647-005,1000,F01,,,,
500-3647-007,1000,F01,,,,
500-3647-008,1000,F01,,,,
500-3647-010,1000,F01,,,,
500-3647-012,1000,F01,,,,
500-3647-015,1000,F01,,,,
500-3647-020,1000,F01,,,,
500-3647-025,1000,F01,,,,
500-3647-030,1000,F01,,,,
500-3647-0P5,1000,F01,,,,
500-3659,1000,F02,,,,
500-3662,1000,F11,,,,
500-3664,1000,F02,,,,
500-3665,1000,F02,,,,
500-3665,2000,F02,,,,
500-3672-003,1000,F01,,,,
500-3672-007,1000,F01,,,,
500-3672-010,1000,F01,,,,
500-3672-030,1000,F01,,,,
500-3672-050,1000,F01,,,,
500-3674,1000,F17,,,,
500-3695,1000,F11,,,,
500-3712,1000,F13,,,,
500-3717,1000,F13,,,,
500-3721,1000,F13,,,,
500-3730-001,1000,F01,,,,
500-3730-002,1000,F01,,,,
500-3730-003,1000,F01,,,,
500-3730-005,1000,F01,,,,
500-3730-006,1000,F01,,,,
500-3730-007,1000,F01,,,,
500-3730-010,1000,F01,,,,
500-3730-015,1000,F01,,,,
500-3730-020,1000,F01,,,,
500-3730-030,1000,F01,,,,
500-3730-100,1000,F01,,,,
500-3743,1000,M09,,,,
500-3744,1000,M09,,,,
500-3749,1000,F02,,,,
500-3776-01,1000,M51,,,,
500-3776-02,1000,M51,,,,
500-3776-02,2000,M51,,,,
500-3776-02-RW,1000,M51,,,,
500-3776-03,1000,M51,,,,
500-3776-04,1000,M51,,,,
500-3776-05,1000,M51,,,,
500-3776-05,2000,M51,,,,
500-3782,1000,F02,,,,
500-3783,1000,F02,,,,
500-3784,1000,F02,,,,
500-3784,2000,F02,,,,
500-3786,1000,F02,,,,
500-3800,1000,F13,,,,
500-3803,1000,F02,,,,
500-3806,1000,M09,,,,
500-3806,2000,M09,,,,
500-3811-02,1000,M09,,,,
500-3811-03,1000,M09,,,,
500-3811-04,1000,M09,,,,
500-3815,1000,M09,,,,
500-3816,1000,M09,,,,
500-3816,2000,M09,,,,
500-3817,1000,F13,,,,
500-3817-01,1000,F13,,,,
500-3817-04,1000,F13,,,,
500-3820,1000,F13,,,,
500-3820-04,1000,F13,,,,
500-3822,1000,M53,,,,
500-3823,1000,M51,,,,
500-3827,1000,M51,,,,
500-3830-003,1000,F01,,,,
500-3830-010,1000,F01,,,,
500-3848,1000,F11,,,,
500-3853-01,1000,M51,,,,
500-3853-02,1000,M51,,,,
500-3853-03,1000,M51,,,,
500-3853-04,1000,M51,,,,
500-3854-01,1000,M09,,,,
500-3854-02,1000,M09,,,,
500-3884,1000,F02,,,,
500-3884,2000,F02,,,,
500-3888,1000,F02,,,,
500-3888,2000,F02,,,,
500-3901-01,1000,M51,,,,
500-3901-02,1000,M51,,,,
500-3913,1000,F13,,,,
500-3913-02,1000,F13,,,,
500-3913-03,1000,F13,,,,
500-3916,1000,F13,,,,
500-3917,1000,F13,,,,
500-3918,1000,M51,,,,
500-3918,2000,M51,,,,
500-3922,1000,F13,,,,
500-3925,1000,M51,,,,
500-3925-02,1000,M51,,,,
500-3925-02,2000,M51,,,,
500-3926,1000,M51,,,,
500-3927,1000,M53,,,,
500-3927-02,1000,M53,,,,
500-3928,1000,M53,,,,
500-3940,1000,F11,,,,
500-3941,1000,F11,,,,
500-3943,1000,F13,,,,
500-3953-02,1000,M51,,,,
500-3953-06,1000,M51,,,,
500-3953-06,2000,M51,,,,
500-3953-06-TW,6000,M51,,,,
500-3954-01,1000,M51,,,,
500-3954-02,1000,M51,,,,
500-3954-03,1000,M51,,,,
500-3954-05,1000,M51,,,,
500-3954-06,1000,M51,,,,
500-3956,1000,F13,,,,
500-3971-02,1000,M51,,,,
500-3972-01,1000,M51,,,,
500-3972-02,1000,M51,,,,
500-3972-02,2000,M51,,,,
500-3984,1000,F11,,,,
500-3986-01,1000,F13,,,,
500-3987-01,1000,M51,,,,
500-3987-02,1000,M51,,,,
500-3987-03,1000,M51,,,,
500-3987-04,1000,M51,,,,
500-3997,1000,F13,,,,
500-3998,1000,F13,,,,
500-4001,1000,F11,,,,
500-4005,1000,F02,,,,
500-4005,2000,F02,,,,
500-4008,1000,F13,,,,
500-4011-01,1000,M51,,,,
500-4012-01,1000,M51,,,,
500-4013-01,1000,M51,,,,
500-4014-01,1000,M51,,,,
500-4021,1000,F11,,,,
500-4022-02,1000,M51,,,,
500-4023-01,1000,M51,,,,
500-4023-02,1000,M51,,,,
500-4028-01,1000,F35,,,,
500-4028-02,1000,F35,,,,
500-4037,1000,M53,,,,
500-4039-02,1000,F13,,,,
500-4042,1000,F17,,,,
500-4042,2000,F17,,,,
500-4046,1000,F11,,,,
500-4054,1000,F02,,,,
500-4054,2000,F02,,,,
500-4065-01,1000,M51,,,,
500-4066-01,1000,F35,,,,
