Series,MPS model,DP model,work order model,OLD DP model
100G,100G COP,100G QSFP28 CGR4 Gen3.0 W/CDR,M09,100G QSFP28 CGR4
100G,100G COP,100G QSFP28 CLR4 non-FEC Gen1.0,F11,100G QSFP28 CLR4 ET
100G,100G COP,100G QSFP28 CWDM4 BiDi Gen1.0,F17,100G QSFP28 CWDM4 BiDi
100G,100G COP,100G QSFP28 CWDM4 Gen2.0,M51,100G QSFP28 CWDM4 Gen2
100G,100G COP,100G QSFP28 CWDM4 Gen3.0,F30,100G QSFP28 CWDM4 Gen3
100G,100G COP,100G QSFP28 CWDM4 Gen3.1,F40,100G QSFP28 CWDM4 Gen3.1
100G,100G COP,100G QSFP28 CWDM4 Lite Gen2.0,M53,100G QSFP28 CWDM4 Lite
100G,100G COP,100G QSFP28 eCWDM4 Gen3,F31,100G QSFP28 eCWDM4
100G,100G COP,100G QSFP28 eCWDM4 Gen3,F31,100G QSFP28 eCWDM4 RX
100G,100G COP,100G QSFP28 CWDM4 Gen1.0,F13,100G QSFP28 CWDM4 Gen1.0
100G,100G COP,40G QSFP+ IR4 Gen3(100G Q28 CWDM4 G2平台),F33,40G QSFP+ IR4 (100G平台)
100G,100G COP,40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),F35,40G QSFP+ LR4 (100G平台)
100G,100G COP,40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),F37,40G QSFP+ LX4 (100G平台)
100G,100G SR4,100G QSFP28 SR4 Gen3.0,F29,100G QSFP28 SR4 Gen2
100G,100G SR4,100G QSFP28 SR4 Gen2.0,F02,100G QSFP28 SR4 Gen3
100G,100G SR4,40G QSFP+ SR4 Gen3.0,F38,40G QSFP+ SR4/eSR4 (100G平台)
100G,QSFP28 AOC,100G QSFP28 to 4x25G SFP28 AOC Gen3.0,G10,100G AOC Breakout
100G,QSFP28 AOC,100G QSFP28 AOC Gen2.0,F01,100G QSFP28 AOC Gen2
100G,QSFP28 AOC,100G QSFP28 AOC Gen3.0,F28,100G QSFP28 AOC Gen3
100G,QSFP28 AOC,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0,M91,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0
