类,交货,项目,类别,创建者,时间,创建日期,PN,已输入物料,物料组,Plant,Storage,批次,供应商批次,客户物料号,产品模式,Quantity_Delivered,计,SU,分子,分母,净重量,毛重,WUn,业务量,VUn,PD,无限制,过量交货限度,交货不足限度,BS,冻结,Mat.Av.Dt.,Quantity,Description,仓位,起始凭证,项目,凭证,PrDocLogSys,参考凭证,参考项,U,上层项,BilRl,LGrp,运输组
800,0080210568,10,ZTAN,BIZLINK,10:26:12 AM,3/1/24,500-5424,500-5424,500,1000,3013,,,740-056707,SM,1,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/1/24,1,40G QSFP+ IR4 V3.0(100G Sum DFB)Juniper,,,0,,,0010039351,10,X,0,K,0001,0001
800,0080210799,10,ZTAN,BIZLINK,1:00:19 PM,3/3/24,500-6283-010,500-6283-010,500,7000,3013,,,RDH 104 03/10M,MM,1,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/4/24,1,"100G QSFP28 AOC Gen3,10m,Avago,ERI",,,0,,,0010039153,10,X,0,K,0001,0001
800,0080202458,10,ZTAN,BIZLINK,3:46:12 PM,1/5/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/5/24,2,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038573,10,X,0,K,0001,0001
800,0080205186,10,ZTAN,BIZLINK,3:13:55 PM,1/23/24,500-6382-010,500-6382-010,500,1000,3013,,,ZXS-Q8AOCZZZ-10,MM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/23/24,2,"100G QSFP28 AOC Gen3,10m,Avago,Infin",,,0,,,0010038541,20,X,0,K,0001,0001
800,0080205535,10,ZTAN,BIZLINK,3:07:58 PM,1/25/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/25/24,2,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038796,20,X,0,K,0001,0001
800,0080205720,10,ZTAN,SUNYJ,1:27:40 PM,1/26/24,500-5595,500-5595,500,1000,3013,,,795250EBKK3223,SM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,2,"100G QSFP28 CWDM4 Gen3,Tencent(SEI,Sif)",,,0,,,0010038859,10,X,0,K,0001,0001
800,0080205880,10,ZTAN,BIZLINK,3:03:20 PM,1/27/24,561-0026,561-0026,561,1000,3013,,,740-061408,SM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/29/24,2,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0010038807,10,X,0,K,0001,0001
800,0080208510,10,ZTAN,BIZLINK,9:35:15 PM,2/18/24,561-0026,561-0026,561,1000,3013,,,740-061408,SM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/18/24,2,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0010039111,40,X,0,K,0001,0001
800,0080209054,10,ZTAN,SUNYJ,3:55:06 PM,2/22/24,500-5595,500-5595,500,1000,3013,,,795250EBKK3223,SM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/8/24,2,"100G QSFP28 CWDM4 Gen3,Tencent(SEI,Sif)",,,0,,,0010039117,10,X,0,K,0001,0001
800,0080210552,40,YKEN,BIZLINK,9:55:09 PM,2/29/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,2,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0040019560,490,X,0,K,0001,0001
800,0080212635,10,ZTAN,WANGZB,9:04:21 AM,3/15/24,500-6266,500-6266,500,1000,3013,,,3406A078,SM,2,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/15/24,2,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",,,0,,,0010039290,30,X,0,K,0001,0001
800,0080203803,10,YKBN,BIZLINK,9:30:20 AM,1/15/24,500-5391-010,500-5391-010,500,1000,3013,,,10-3177-04,MM,3,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,3,Q28 AOC G3 10m Sony Vcsel Cisco,,,0,,,0020017748,240,X,0,,0001,0001
800,0080208966,10,ZTAN,BIZLINK,9:44:24 AM,2/22/24,561-0056,561-0056,561,7000,3013,,,TR-FC13T-N00,SM,3,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/22/24,3,"100G QSFP28 CWDM4 COP,Std(Weld+Ocl),TW",,,0,,,0010039248,10,X,0,K,0001,0001
800,0080209352,10,YKBN,BIZLINK,9:11:13 PM,2/23/24,500-5391-010,500-5391-010,500,1000,3013,,,10-3177-04,MM,3,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/23/24,3,Q28 AOC G3 10m Sony Vcsel Cisco,,,0,,,0020017748,500,X,0,,0001,0001
800,0080210388,10,YKEN,BIZLINK,2:16:52 PM,2/29/24,500-5391-010,500-5391-010,500,1000,3013,,,10-3177-04,MM,3,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,3,Q28 AOC G3 10m Sony Vcsel Cisco,,,0,,,0040019536,240,X,0,K,0001,0001
800,0080211704,10,YKBN,BIZLINK,9:16:35 AM,3/8/24,500-5614-020,500-5614-020,500,1000,3013,,,10-3179-04,MM,3,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/29/24,3,Q28 AOC G3 20m BRCM Vcsel Cisco,,,0,,,0020017747,1040,X,0,,0001,0001
800,0080203032,10,YKEN,ZHANGDL,4:33:35 PM,1/9/24,500-4752,500-4752,500,1000,3013,,,34060645-002,SM,4,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/9/24,4,"QSFP+ LR4 V3.0 Ocl,GCS)HT(34060645-002)",,,0,,,0040018772,1,X,0,K,0001,0001
800,0080204418,10,ZTAN,BIZLINK,3:13:27 PM,1/23/24,500-6383-010,500-6383-010,500,1000,3013,,,ZXS-Q8AOCZZZ-10,MM,4,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/23/24,4,"100G QSFP28 AOC Gen3,10m,Sony,Infin",,,0,,,0010038541,10,X,0,K,0001,0001
800,0080204659,10,ZTAN,BIZLINK,10:12:51 PM,1/19/24,500-3884,500-3884,500,1000,3013,,,5061998001,MM,4,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/19/24,4,"100G QSFP28 SR4 V2M,100m,0~70C,for ADVA",,,0,,,0010038386,20,X,0,K,0001,0001
800,0080204892,10,ZTAN,BIZLINK,10:20:44 AM,1/22/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,4,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/8/24,4,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038731,10,X,0,K,0001,0001
