Model,Model,Process,Lead time,CFI_FAMILY
100G SR4,100G QSFP28 SR4 Gen2,LENS,3,11
100G SR4,100G QSFP28 SR4 Gen2,OE,13,12
100G SR4,100G QSFP28 SR4 Gen2,Module,6,13
100G SR4,100G QSFP28 SR4 Gen3,LENS,3,14
100G SR4,100G QSFP28 SR4 Gen3,OE,13,15
100G SR4,100G QSFP28 SR4 Gen3,Module,6,16
100G SR4,40G QSFP+ SR4/eSR4 (100G平台),LENS,3,17
100G SR4,40G QSFP+ SR4/eSR4 (100G平台),OE,13,18
100G SR4,40G QSFP+ SR4/eSR4 (100G平台),Module,6,19
QSFP28 AOC,100G AOC Breakout,LENS,3,20
QSFP28 AOC,100G AOC Breakout,OE,13,21
QSFP28 AOC,100G AOC Breakout,Module,4,22
QSFP28 AOC,100G QSFP28 AOC Gen2,LENS,3,23
QSFP28 AOC,100G QSFP28 AOC Gen2,OE,13,24
QSFP28 AOC,100G QSFP28 AOC Gen2,Module,4,25
QSFP28 AOC,100G QSFP28 AOC Gen3,LENS,3,26
QSFP28 AOC,100G QSFP28 AOC Gen3,OE,13,27
QSFP28 AOC,100G QSFP28 AOC Gen3,Module,4,28
QSFP28 AOC,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0,LENS,3,29
QSFP28 AOC,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0,OE,13,30
QSFP28 AOC,100G QSFP28 to 2x50G QSFP28 AOC Gen3.0,Module,4,31
COP GEN2,100G QSFP28 CWDM4 GEN2,TX COC,3,32
COP GEN2,100G QSFP28 CWDM4 GEN2,CB,4,33
COP GEN2,100G QSFP28 CWDM4 GEN2,OB,4,34
COP GEN2,100G QSFP28 CWDM4 GEN2,Module,5.2,35
COP GEN3,100G QSFP28 CWDM4 GEN3,Preform,5,36
COP GEN3,100G QSFP28 CWDM4 GEN3,TX COC,4,37
COP GEN3,100G QSFP28 CWDM4 GEN3,CB,3.5,38
COP GEN3,100G QSFP28 CWDM4 GEN3,OB,4.5,39
COP GEN3,100G QSFP28 CWDM4 GEN3,Module,5.2,40
40G LX4,40G QSFP+ LX4 (100G平台),Preform,5,41
40G LX4,40G QSFP+ LX4 (100G平台),TX COC,4,42
40G LX4,40G QSFP+ LX4 (100G平台),CB,3.5,43
40G LX4,40G QSFP+ LX4 (100G平台),OB,4.5,44
40G LX4,40G QSFP+ LX4 (100G平台),Module,5.2,45
