PN,Plant,Vendor
310-0109,5000,0000200032
140-0386,5000,0000200009
310-0485,5000,0000100078
310-0395,5000,0000200085
313-0001,5000,0000200085
302-0007,5000,S1000
302-0004,5000,S1000
310-0401,5000,S1000
320-0284,5000,S1000
280-0654,5000,S1000
350-0227,5000,S1000
350-0026,5000,S1000
330-0006,5000,S1000
330-0194,5000,S1000
350-0154,5000,S1000
310-0376,5000,S1000
350-0027,5000,S1000
330-0081,5000,S1000
350-0015,5000,S1000
350-0016,5000,S1000
350-0017,5000,S1000
320-0128,5000,S1000
330-0101,5000,S1000
350-0029,5000,S1000
910-0499,5000,S1000
350-0229,5000,S1000
350-0025,5000,S1000
330-0088,5000,S1000
300-0169,5000,S1000
300-0180,5000,S1000
330-0228,5000,S1000
330-0233,5000,S1000
330-0025,5000,S1000
310-0414-01,5000,S1000
330-0087,5000,S1000
330-0214,5000,S1000
330-0024,5000,S1000
330-0164,5000,S1000
310-0414-01,5000,0000400234
300-0150,5000,S2000
110-0284,5000,S1000
330-0327,5000,S1000
330-0273,5000,S1000
350-0087,5000,S1000
310-0368,5000,0000200175
313-0039,5000,0000200170
313-0041,5000,0000500061
300-0151,5000,S2000
300-0152,5000,S2000
330-0266,5000,S1000
313-0043,5000,0000200177
280-0701,5000,S1000
310-0104,5000,0000200175
350-0038,5000,S1000
330-0266,5000,S2000
330-0328,5000,S1000
330-0101,5000,S2000
350-0038,5000,S2000
302-0007,5000,S2000
352-0009,5000,S1000
330-0403,5000,0000200079
330-0198,5000,S1000
313-0010,5000,0000200175
101-0001,5000,S1000
302-0004,5000,S2000
101-0001,5000,0000200075
310-0574,5000,S2000
311-0244,5000,S2000
320-0284,5000,S2000
312-0036,5000,S1000
311-0276,5000,S2000
330-0228,5000,S2000
313-0065,5000,0000200175
310-0284,5000,0000500100
310-0147,5000,0000200175
310-0238,5000,0000500100
310-0063,5000,0000400234
313-0059,5000,0000400234
330-0292,5000,S1000
310-0063,5000,0000400481
310-0414-01,5000,0000400481
313-0059,5000,0000400481
351-0009,5000,S1000
351-0010,5000,S1000
313-0068,5000,0000200170
310-0485,5000,0000500115
300-0168,5000,S2000
300-0169,5000,S2000
330-0006,5000,S2000
101-0001,5000,S2000
351-0011,5000,S1000
351-0012,5000,S1000
351-0013,5000,S1000
310-0573,5000,S2000
300-0180,5000,S2000
313-0041,5000,S6000
330-0273,5000,S2000
350-0484,5000,S1000
350-0229,5000,S2000
350-0087,5000,S2000
310-0401,5000,0000100473
350-0016,5000,0000400432
350-0017,5000,0000400432
302-0007,5000,0000200216
302-0004,5000,0000200216
320-0284,5000,0000100436
330-0194,5000,S6000
330-0233,5000,S6000
330-0228,5000,S6000
330-0292,5000,S6000
350-0016,5000,0000100393
350-0017,5000,0000100393
311-0276,5000,S6000
130-0077,5000,0000100566
140-0834,5000,0000200131
100-0061,5000,0000200278
100-0025,5000,0000200278
100-0038,5000,0000200278
100-0116,5000,0000200278
100-0088,5000,0000200278
110-0371,5000,0000100552
110-0369,5000,0000100552
100-0024,5000,0000200278
100-0062,5000,0000200278
100-0086,5000,0000200278
100-0143,5000,0000200278
120-0121,5000,0000100552
110-0379,5000,0000100552
120-0143,5000,0000200278
110-0216,5000,0000100551
110-0241,5000,0000100551
110-0099,5000,0000100551
110-0001,5000,0000100551
110-0158,5000,0000100551
110-0298,5000,0000100551
110-0064,5000,0000100551
110-0311,5000,0000100551
110-0121,5000,0000100551
351-0009,5000,0000100393
351-0013,5000,0000100393
350-0026,5000,0000100393
350-0025,5000,0000100393
352-0009,5000,0000100393
350-0154,5000,SXZ01
350-0015,5000,0000100393
350-0027,5000,0000100393
350-0015,2000,0000100003
350-0016,2000,0000100003
350-0017,2000,0000100003
350-0025,2000,0000100003
350-0026,2000,0000100003
350-0027,2000,0000100003
350-0029,2000,0000100003
350-0036,2000,0000100003
350-0045,2000,0000100003
350-0076,2000,0000100003
330-0005,2000,0000100009
330-0006,2000,0000100009
330-0007,2000,0000100009
330-0024,2000,0000100009
330-0025,2000,0000100009
330-0081,2000,0000100009
330-0087,2000,0000100009
330-0088,2000,0000100009
330-0101,2000,0000100009
330-0104,2000,0000100009
330-0111,2000,0000100009
330-0121,2000,0000100009
350-0071,2000,0000100011
330-0095,2000,0000100017
350-0056,2000,0000100024
310-0075,2000,0000100078
310-0166,2000,0000100078
310-0167,2000,0000100078
310-0178,2000,0000100078
100-0018,2000,0000100100
100-0024,2000,0000100100
100-0025,2000,0000100100
100-0031,2000,0000100100
100-0035,2000,0000100100
100-0038,2000,0000100100
100-0054,2000,0000100100
100-0062,2000,0000100100
120-0029,2000,0000100100
120-0046,2000,0000100100
120-0051,2000,0000100100
320-0109,2000,0000100102
320-0128,2000,0000100102
100-0021,2000,0000100119
100-0033,2000,0000100119
100-0061,2000,0000100119
100-0073,2000,0000100119
100-0074,2000,0000100119
120-0047,2000,0000100119
140-0022,2000,0000200009
140-0179,2000,0000200009
140-0113,2000,0000200011
140-0221,2000,0000200011
140-0240,2000,0000200019
310-0014,2000,0000200053
280-0213,2000,0000200057
310-0063,2000,0000100041
310-0104,2000,0000100033
310-0109,2000,0000200032
100-0073,2000,0000100148
100-0062,2000,0000100148
110-0001,2000,0000100067
110-0002,2000,0000100067
110-0121,2000,0000100067
120-0047,2000,0000100148
120-0046,2000,0000100148
120-0051,2000,0000100148
110-0001,2000,0000100163
110-0002,2000,0000100163
110-0003,2000,0000100163
110-0019,2000,0000100163
110-0063,2000,0000100163
110-0064,2000,0000100163
110-0083,2000,0000100163
110-0099,2000,0000100163
110-0158,2000,0000100163
110-0161,2000,0000100163
110-0172,2000,0000100163
110-0177,2000,0000100163
110-0213,2000,0000100163
110-0220,2000,0000100163
110-0237,2000,0000100163
110-0239,2000,0000100163
110-0248,2000,0000100163
100-0025,2000,0000100148
100-0021,2000,0000100148
100-0033,2000,0000100100
100-0073,2000,0000100100
100-0021,2000,0000100100
100-0084,2000,0000200059
350-0088,2000,0000100003
350-0089,2000,0000100003
350-0090,2000,0000100003
120-0029,2000,0000100148
120-0099,2000,0000100110
120-0100,2000,0000100110
100-0074,2000,0000100100
350-0087,2000,0000100003
100-0035,2000,0000100148
310-0229,2000,0000100102
330-0142,2000,0000100009
310-0228,2000,0000100102
110-0011,2000,0000100067
110-0064,2000,0000100067
110-0158,2000,0000100067
110-0241,2000,0000100067
310-0241,2000,0000100102
100-0024,2000,0000100148
310-0014,2000,0000100170
330-0162,2000,0000100063
