Creation_Date,Sales_Channel,订单类型描述,CustomerCode,CustomerName,注释,Series,PN,Model,Description,物料组2描述,物料组3描述,物料短描述,DeliveryDate0,DeliveryQuantity,Revenue,UnmetQuantity,SONumber,CompanyCode,SystemSONumber,ItemId,CompanyName,IndustrialStandard,CustomerPN,Quantity,Currency,DeliveryDate,销售员姓名,拒绝原因描述,创建人,
1/4/24,国内-直销,标准销售订单,100417,北京百度网讯科技有限公司,,100G,500-6420,100G QSFP28 CWDM4 Gen3.1,100G QSFP28 CWDM4 Gen3.1,100G QSFP28 CWDM4,,"100G CWDM4 COP Gen3.1,Mit+Sif,baidu",1/10/24,768.000,,0,PO182023021676,1000,10038165,20,苏州旭创科技有限公司,TR-FC13T-N00,TR-FC13T-N00,768,CNY,12/4/23,谭玉婷,,YANGXM,
2/6/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6267,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ LR4,,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",2/19/24,7.000,,0,111579566_2,1000,10038227,60,苏州旭创科技有限公司,TR-FC13T-N4X,3406A079,7,CNY,12/8/23,高爽,,WANGZB,
2/27/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6266,40G QSFP+ IR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ IR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ IR4,,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3/2/24,26.000,,14.000,111579566_2,1000,10038227,70,苏州旭创科技有限公司,TR-FC13T-N4T,3406A078,40,CNY,12/8/23,高爽,,WANGZB,
1/23/24,国外-直销,标准销售订单,PSM01,Innolight Technology USA Inc.,Innolight Technology USA Inc.,100G,500-7179-003,100G QSFP28 to 4x25G SFP28 Breakout AOC Gen3.0,100G QSFP28 to 4x25G SFP28 AOC Gen3.0,100G AOC Breakout,,"100G QSFP28 Gen3,SFP28 V4S AOC,3M,Std",1/31/24,2.000,,0,INU-EOS-1023-08795,1000,10038317,70,苏州旭创科技有限公司,TF-FPQY003-N00,TF-FPQY003-N00,2,USD,12/22/23,莫兆熊,,WANGS,
1/12/24,国外-渠道,标准销售订单,200357,"Delta Electronics, Inc.","Delta Electronics, Inc.",100G,500-6099,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G Q28 SR4 G3,Sony Vcsel Cisco",1/18/24,56.000,,0,FBNB3B91,1000,10038399,20,苏州旭创科技有限公司,TR-FC85S-NB2,10-3190-02,211,USD,1/12/24,吴盛,,HURN,
1/12/24,国外-渠道,标准销售订单,200357,"Delta Electronics, Inc.","Delta Electronics, Inc.",100G,500-6099,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G Q28 SR4 G3,Sony Vcsel Cisco",1/31/24,80.000,,0,FBNB3B91,1000,10038399,20,苏州旭创科技有限公司,TR-FC85S-NB2,10-3190-02,211,USD,1/12/24,吴盛,,HURN,
1/12/24,国外-渠道,标准销售订单,200357,"Delta Electronics, Inc.","Delta Electronics, Inc.",100G,500-6099,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G Q28 SR4 G3,Sony Vcsel Cisco",1/31/24,75.000,,0,FBNB3B91,1000,10038399,20,苏州旭创科技有限公司,TR-FC85S-NB2,10-3190-02,211,USD,1/12/24,吴盛,,HURN,
1/2/24,国外-直销,标准销售订单,200191,Jabil-Coriant,Jabil-Coriant,100G,500-6383-010,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G QSFP28 AOC Gen3,10m,Sony,Infin",1/26/24,4.000,,0,3013998360,1000,10038541,10,苏州旭创科技有限公司,TF-FC010-NI2,ZXS-Q8AOCZZZ-10,4,USD,1/2/24,莫兆熊,,WANGMH,
1/23/24,国外-直销,标准销售订单,200191,Jabil-Coriant,Jabil-Coriant,100G,500-6382-010,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G QSFP28 AOC Gen3,10m,Avago,Infin",1/26/24,2.000,,0,3013998360,1000,10038541,20,苏州旭创科技有限公司,TF-FC010-NI2,ZXS-Q8AOCZZZ-10,2,USD,1/2/24,莫兆熊,,HURN,
1/2/24,国内-直销,标准销售订单,100417,北京百度网讯科技有限公司,,100G,500-6204,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4,,"100G Q28 CWDM4 Gen3,BD(SEI,2105B+2110S)",1/31/24,768.000,,0,PO182024000009,1000,10038549,10,苏州旭创科技有限公司,TR-FC13T-N00,TR-FC13T-N00,768,CNY,1/27/24,谭玉婷,,YANGXM,
